"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url"
"[""HJChRfbn2h7a2XK7WtUMLj467iMUJ21EhzNZ5QU82saN"",""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3""]","Soul 91","[0,100]","","https://arweave.net/gaRZWHVLv8GP3DeiDOY3fm_zkrkzOBJ0vmee-Ng9r4k","[1,0]",true,"GYnqJEK9qCLQPqt2znXm6MS3sMGcfb1XLfFRUbh9uVnM",true,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","https://explorer.solana.com/address/GYnqJEK9qCLQPqt2znXm6MS3sMGcfb1XLfFRUbh9uVnM"
"[""G9zy4jGj6ozT3qk9F1qbsAtQ5qvbbF4KwX1CmQRbLmhd"",""GcrjZXzmNDyGDt646hy4ziWNa5ziGAMNdXGdQcDtnBaV""]","Tower Community NFT","[0,100]","TWRCMMNTY","https://arweave.net/uJzgnieykvHvJNe7r4Lxj2PO2K-a_qzqca1O2wmTBbo","[1,0]",false,"5xsYQ1dughTssMr4T9FbcetFU2eUDoEocNr8XUqNTyGx",true,"G9zy4jGj6ozT3qk9F1qbsAtQ5qvbbF4KwX1CmQRbLmhd","https://explorer.solana.com/address/5xsYQ1dughTssMr4T9FbcetFU2eUDoEocNr8XUqNTyGx"
"[""2hJVCiRvuWhjbuHrrMXREekuQ7sQYNsfRbM62Ugn9Uzz"",""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W""]","Toolkit","[0,100]","","https://arweave.net/VficjCTmB_BvRSaR3_UsyD49zV-eLUMI4gZdoyn_Fyc","[1,0]",true,"C8TzXFXd8NvqMn3xb7YMs6xrbv4rmqZVbxhLqm3Uee2T",true,"GLR4Vde7aD4DPG8gUnDMXpGEAxgTXFnK1x44nd5m9br9","https://explorer.solana.com/address/C8TzXFXd8NvqMn3xb7YMs6xrbv4rmqZVbxhLqm3Uee2T"
"[""5GUrnehPCrVeAeo29sgH3KbPhTvEDaH8HJqonYUceVM"",""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W""]","SolDad #1715","[0,100]","SOLDAD","https://arweave.net/PqLSdcyizhUTrNHzVMA8JD86CsqUPZWpZYcuPq3KR74","[1,0]",true,"GXMeGFDnAwf5uC4uwjrBJAdb3wsHBd8KMc7FmnuDy6Td",true,"9bJNTytrMHPps58zH5tk3jsaMbQjD1W13ri7D431QcJt","https://explorer.solana.com/address/GXMeGFDnAwf5uC4uwjrBJAdb3wsHBd8KMc7FmnuDy6Td"
"[""4dMFGXww53WLQggkoL13WT4Q2KGPQZAXMea3nFDc9c8Q"",""FhdcmMy4T8NaVqEqw5UyMvMSRVLRfXcpifkeFydwG1ue""]","HighStakeRollers #5503","[0,100]","","https://arweave.net/4lLNyS8QF6ifYKuwxr1KjaX078zmHhR-vTrE1jFHDF8","[1,0]",true,"2dav6k3iSJVxpyvcvU1ZUxdn9Z15gd3HxGo8qN7N2MTT",true,"FhdcmMy4T8NaVqEqw5UyMvMSRVLRfXcpifkeFydwG1ue","https://explorer.solana.com/address/2dav6k3iSJVxpyvcvU1ZUxdn9Z15gd3HxGo8qN7N2MTT"
"[""Eng8FDVHPnAWfXpf14agbdu6Q8eSLHnvcLoB44Ua4jTc"",""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3""]","Soul 2387","[0,100]","","https://arweave.net/o5MwGZ3K79qlGokoInBpgXwhUELZCV4QC-8Ttbbt1lI","[1,0]",true,"3mVEER8G8uaEMGi1AzH3SmiY8nTy7hwqYeBStbx5jn5K",true,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","https://explorer.solana.com/address/3mVEER8G8uaEMGi1AzH3SmiY8nTy7hwqYeBStbx5jn5K"
"[""64eiSEPv2KRKNkPAX6d4BZQ3b12PcFqZP2yPoNAZw9po"",""yeT3ik5jX5RuK8JF8P3RRHrr9g6ox6RMWbRMh3r9FxQ""]","Baby Yetis #912","[100,0]","","https://arweave.net/u9XraYnXCGN9MPw2BHkZP9YRPPp0JFsB9HtVyHCvdCU","[0,1]",true,"51Dd17AtVVsp3Dv9VMJEJ5UKLSfrBWHyFHN4n3wZqHz4",false,"yeT3ik5jX5RuK8JF8P3RRHrr9g6ox6RMWbRMh3r9FxQ","https://explorer.solana.com/address/51Dd17AtVVsp3Dv9VMJEJ5UKLSfrBWHyFHN4n3wZqHz4"
"[""CeYRttSvWZ6SP4QWK4CxVc4GbWtC7eJmvgqv86zLnGQ8"",""9uJRearTP2fdsFp3Sa4w8MGXoqci59SBErGZqJXaqPqa"",""DUbboetUV5A3H9WUHk6d2mHg4hyX1hEnAfvjEMcSvoHb"",""C5kegRb9XMcEEp19mUdzLKrLqmRbv98kY8YUqvMWq1Bo"",""BnZNCQz3Zqb1o4nrjW3zNGbWdKubSTw7mAU5NGYouJMF""]","Sol Slug - 01884","[0,30,30,30,10]","SLUG","https://arweave.net/_diztqP2D1oyiyhFDtLIfed8ODBornIjeOP98Om9JCY","[1,1,1,1,1]",true,"BMQniBDV3Km4AbWK3fDaiRMaiS4NBb1TLHtyLnWbY2ua",true,"BnZNCQz3Zqb1o4nrjW3zNGbWdKubSTw7mAU5NGYouJMF","https://explorer.solana.com/address/BMQniBDV3Km4AbWK3fDaiRMaiS4NBb1TLHtyLnWbY2ua"
"[""5MNyU8o4eKnT1oz4u3ckKMBH7pr84MpVf9ZTsBjt4hhS"",""MpuqgieWmABThXfBPzPbwrCyx6MZrVTpBFBK8BzBvYh"",""EozHkXipaBVkXS5ciqvN5CUwWV5bmgLuHp1oeXdPVCvY"",""4ZNYVD4xXVEdSSQHMgjAA4gYn5Y68x5xTJqeuqTCtgGF""]","SOLYETIS #5433","[0,50,25,25]","","https://arweave.net/g-SpW71GOuIqvxIzQvH_8ITKiXYuaZTCDbjArcs01LI","[1,0,0,0]",true,"E8TZyFJR2xcfZSWAQ7mEarhbE1rAJ5hZ4zVAcemKT3j8",true,"yeT3ik5jX5RuK8JF8P3RRHrr9g6ox6RMWbRMh3r9FxQ","https://explorer.solana.com/address/E8TZyFJR2xcfZSWAQ7mEarhbE1rAJ5hZ4zVAcemKT3j8"
"[""Eng8FDVHPnAWfXpf14agbdu6Q8eSLHnvcLoB44Ua4jTc"",""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3""]","Soul 2359","[0,100]","","https://arweave.net/t3CGMxGUwtjB-Zl6qGkblzZs6CLB-zLCUEP_oco5CEs","[1,0]",true,"Afx3bYC8UjKStEe9RWsax1RNG8rbTha4oZ3TZV1CFk8K",true,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","https://explorer.solana.com/address/Afx3bYC8UjKStEe9RWsax1RNG8rbTha4oZ3TZV1CFk8K"
