"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.attributes","metaResult.collection.family","metaResult.collection.name","metaResult.description","metaResult.edition","metaResult.image","metaResult.name","metaResult.properties.category","metaResult.properties.creators","metaResult.properties.files","metaResult.seller_fee_basis_points","metaResult.symbol"
"[""5RbGQoSq8wYY7ocbkiaTZiP8Qbr1q3C3cZMH5Mwu7Hgf"",""6qHxzaMvXCBtB44L55mm3deUrbhSyQHBEj52nxNRuRmz"",""8vkmc45un7yNxKWRCKmSA7LtzVEF6qNexbCA27N4jY6h"",""8SuE5tAKeHgvnVkgN8HuHCZTB4tkKdBTo9pWx3jypGfV""]","Munk #1031","[0,10,5,85]","MUNK","https://arweave.net/iwt8f2G3iy0j2qIWt0XeSjO-z-BLBig4mLWI7AoIQfk","[1,0,0,0]",true,"Cm14KkVRPGzkYeAZrKYT7Fq3sr8utvisV9uR6QYACFyV",true,"6qHxzaMvXCBtB44L55mm3deUrbhSyQHBEj52nxNRuRmz","https://explorer.solana.com/address/Cm14KkVRPGzkYeAZrKYT7Fq3sr8utvisV9uR6QYACFyV","[{""trait_type"":""background"",""value"":""adamski""},{""trait_type"":""body"",""value"":""green""},{""trait_type"":""tshirt"",""value"":""black""},{""trait_type"":""head"",""value"":""crypto""},{""trait_type"":""accessory"",""value"":""drpeste""},{""display_type"":""number"",""trait_type"":""generation"",""value"":1},{""display_type"":""number"",""trait_type"":"" sequence"",""value"":1031}]","HOAG","Munk","Munk covers the latest trends in crypto on 'This is f* advice' talk show. Because NFTs can say what we cannot.","2021","https://www.arweave.net/M1wUGSdIhWKQLuvX12PWkN6VU_feCTyHXnK3T_DKqjQ?ext=png","Munk #1031","image","[{""address"":""6qHxzaMvXCBtB44L55mm3deUrbhSyQHBEj52nxNRuRmz"",""share"":10},{""address"":""8vkmc45un7yNxKWRCKmSA7LtzVEF6qNexbCA27N4jY6h"",""share"":5},{""address"":""8SuE5tAKeHgvnVkgN8HuHCZTB4tkKdBTo9pWx3jypGfV"",""share"":85}]","[{""type"":""image/png"",""uri"":""https://www.arweave.net/M1wUGSdIhWKQLuvX12PWkN6VU_feCTyHXnK3T_DKqjQ?ext=png""}]",500,"MUNK"
"[""6PTSaVPGLzzgAqw9veQUVKhW2ggsEaV5ghBeLsQn2GVN"",""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A""]","The Tower #88-19","[0,100]","TWRDAO","https://arweave.net/X2-l-9qN56L9mkFirtxx0ngf2ajqX_5lTLm-voIPLB4","[1,1]",true,"2hrnfF2morJBRdwEFd4Dnvy6YTFZqvwJ5Vy8uwgEsim8",true,"GcrjZXzmNDyGDt646hy4ziWNa5ziGAMNdXGdQcDtnBaV","https://explorer.solana.com/address/2hrnfF2morJBRdwEFd4Dnvy6YTFZqvwJ5Vy8uwgEsim8","[{""trait_type"":""Story"",""value"":88},{""trait_type"":""Room"",""value"":19},{""trait_type"":""Wall"",""value"":""White Planks""},{""trait_type"":""Floor"",""value"":""Mud""},{""trait_type"":""Big Item"",""value"":""Blacknwhite Couch""},{""trait_type"":""Small Item 1"",""value"":""Candymachine""},{""trait_type"":""View"",""value"":""Goldwhite""},{""trait_type"":""Background"",""value"":""Burgundy""}]","TowerDAO","The Tower","Residences inside a futuristic skyscraper in the metaverse. Home of the TowerDAO.",,"https://www.arweave.net/LwMvIdQkCZbDXyiaO2Bo89KkmasVTPcCYz7w_tWplJo?ext=png","The Tower #88-19","image","[{""address"":""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A"",""share"":100}]","[{""uri"":""https://www.arweave.net/LwMvIdQkCZbDXyiaO2Bo89KkmasVTPcCYz7w_tWplJo?ext=png"",""type"":""image/png""}]",500,"TWRDAO"
"[""5RbGQoSq8wYY7ocbkiaTZiP8Qbr1q3C3cZMH5Mwu7Hgf"",""6qHxzaMvXCBtB44L55mm3deUrbhSyQHBEj52nxNRuRmz"",""8vkmc45un7yNxKWRCKmSA7LtzVEF6qNexbCA27N4jY6h"",""8SuE5tAKeHgvnVkgN8HuHCZTB4tkKdBTo9pWx3jypGfV""]","Munk #819","[0,10,5,85]","MUNK","https://arweave.net/lhfxmiLlDvhHHc3QRuHD1wL4zpEXyJumxZe4c_e_fBs","[1,0,0,0]",true,"FCGLCQV4ZaPWjohStJgqrAFY24VM1Jz6JK6YuMTpUhak",true,"6qHxzaMvXCBtB44L55mm3deUrbhSyQHBEj52nxNRuRmz","https://explorer.solana.com/address/FCGLCQV4ZaPWjohStJgqrAFY24VM1Jz6JK6YuMTpUhak","[{""trait_type"":""background"",""value"":""windows""},{""trait_type"":""body"",""value"":""white""},{""trait_type"":""tshirt"",""value"":""red""},{""trait_type"":""head"",""value"":""crypto""},{""trait_type"":""accessory"",""value"":""badge""},{""display_type"":""number"",""trait_type"":""generation"",""value"":1},{""display_type"":""number"",""trait_type"":"" sequence"",""value"":819}]","HOAG","Munk","Munk covers the latest trends in crypto on 'This is f* advice' talk show. Because NFTs can say what we cannot.","2021","https://www.arweave.net/ThCWAgFvU6WDOtgamjnATT0ouSZYf1SI7Os7v7pLWzc?ext=png","Munk #819","image","[{""address"":""6qHxzaMvXCBtB44L55mm3deUrbhSyQHBEj52nxNRuRmz"",""share"":10},{""address"":""8vkmc45un7yNxKWRCKmSA7LtzVEF6qNexbCA27N4jY6h"",""share"":5},{""address"":""8SuE5tAKeHgvnVkgN8HuHCZTB4tkKdBTo9pWx3jypGfV"",""share"":85}]","[{""type"":""image/png"",""uri"":""https://www.arweave.net/ThCWAgFvU6WDOtgamjnATT0ouSZYf1SI7Os7v7pLWzc?ext=png""}]",500,"MUNK"
"[""6PTSaVPGLzzgAqw9veQUVKhW2ggsEaV5ghBeLsQn2GVN"",""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A""]","The Tower #13-3","[0,100]","TWRDAO","https://arweave.net/SFF8iOGQjy597nd4GowOcNcWC3O-FKc6Lc_5BQyBvnk","[1,1]",true,"2VwdhqtdGW8A3HzgFChaXSsKZGryQzXctUzyvk544kv2",true,"GcrjZXzmNDyGDt646hy4ziWNa5ziGAMNdXGdQcDtnBaV","https://explorer.solana.com/address/2VwdhqtdGW8A3HzgFChaXSsKZGryQzXctUzyvk544kv2","[{""trait_type"":""Story"",""value"":13},{""trait_type"":""Room"",""value"":3},{""trait_type"":""Wall"",""value"":""Black Smooth""},{""trait_type"":""Floor"",""value"":""Black Wood""},{""trait_type"":""View"",""value"":""Orange1""},{""trait_type"":""Background"",""value"":""Black""}]","TowerDAO","The Tower","Residences inside a futuristic skyscraper in the metaverse. Home of the TowerDAO.",,"https://www.arweave.net/rQRiWC0Tdnwk6p9xqMfDPni0eb5Coo0J-lxc4eAk4mk?ext=png","The Tower #13-3","image","[{""address"":""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A"",""share"":100}]","[{""uri"":""https://www.arweave.net/rQRiWC0Tdnwk6p9xqMfDPni0eb5Coo0J-lxc4eAk4mk?ext=png"",""type"":""image/png""}]",500,"TWRDAO"
"[""6cSjZRcDEjpRxHmqXGjJXzqCEs7cHgxiWseA9gzCeQp9"",""AmgaigwTiBwXsXJ28LnQuhDH9xtEBueDVC5fEpwjthXZ""]","Astral Apes #2347","[0,100]","AAPES","https://arweave.net/OakCURYkSw9WS66RwJjswPWgDc2rMjfVOSzqlSjPB0c","[1,0]",true,"87zTsqi8as5MgCdy9TZMS9iFEkUd8PhGwU7WVfnzT1Ze",true,"AmgaigwTiBwXsXJ28LnQuhDH9xtEBueDVC5fEpwjthXZ","https://explorer.solana.com/address/87zTsqi8as5MgCdy9TZMS9iFEkUd8PhGwU7WVfnzT1Ze","[{""trait_type"":""Accessory"",""value"":""Gold Earring""},{""trait_type"":""Background"",""value"":""Peach""},{""trait_type"":""Eyewear"",""value"":""Safety Glasses""},{""trait_type"":""Helmet"",""value"":""Glass""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Skin"",""value"":""Coffee""},{""trait_type"":""Teeth"",""value"":""White""},{""trait_type"":""Top"",""value"":""Black""}]","Astral Apes","Astral Apes NFT collection","Astral Apes NFT collection",2347,"https://www.arweave.net/Cgt4fs5vF9eXihp5SNygLk3mX4ETqSxZ-xYMu2Ifjpo?ext=png","Astral Apes #2347","image","[{""address"":""AmgaigwTiBwXsXJ28LnQuhDH9xtEBueDVC5fEpwjthXZ"",""share"":100}]","[{""uri"":""https://www.arweave.net/Cgt4fs5vF9eXihp5SNygLk3mX4ETqSxZ-xYMu2Ifjpo?ext=png"",""type"":""image/png""}]",1000,"AAPES"
"[""6PTSaVPGLzzgAqw9veQUVKhW2ggsEaV5ghBeLsQn2GVN"",""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A""]","The Tower #13-6","[0,100]","TWRDAO","https://arweave.net/elyLENBP7RSdcqbGZ4qLRrgx3t1ZQRhraoq2SmNMyCI","[1,1]",true,"7po3NRLv8arUkvaSo4eg5g5XnQMarohXGrxKUf1TrwqY",true,"GcrjZXzmNDyGDt646hy4ziWNa5ziGAMNdXGdQcDtnBaV","https://explorer.solana.com/address/7po3NRLv8arUkvaSo4eg5g5XnQMarohXGrxKUf1TrwqY","[{""trait_type"":""Story"",""value"":13},{""trait_type"":""Room"",""value"":6},{""trait_type"":""Wall"",""value"":""Black Smooth""},{""trait_type"":""Floor"",""value"":""Black Wood""},{""trait_type"":""View"",""value"":""Orange1""},{""trait_type"":""Background"",""value"":""Black""}]","TowerDAO","The Tower","Residences inside a futuristic skyscraper in the metaverse. Home of the TowerDAO.",,"https://www.arweave.net/PFgLJGtcJ7zH0auicmTDTHwdjnX2kZDCEyBimHXDrcI?ext=png","The Tower #13-6","image","[{""address"":""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A"",""share"":100}]","[{""uri"":""https://www.arweave.net/PFgLJGtcJ7zH0auicmTDTHwdjnX2kZDCEyBimHXDrcI?ext=png"",""type"":""image/png""}]",500,"TWRDAO"
"[""8SY3uy9rr89JmhobmcfuUR5etSxo93rk6VdUefp4wWCn"",""GqStrR6xFc1DBYBHVYLmrA3u96WbfdgLF52fG5Giz6qB"",""8Q7h6E6zaph8CBZ6W6PVcZAmBFGVh6YQsnWTPqLLyBe"",""BwDDWNEKcB9YAkBWsnq5JBYK3tQxwwqXEkHa4CLHc5Lz"",""HRwxz2TPjdMfLmjXCULj8nhuDahpHdwitoNb185oBoNQ""]","ASS #1298","[0,50,30,10,10]","DASS","https://arweave.net/nIGJvzQzcyPH8r2YXBBsfR_2LfP700306yGglPvOHeI","[1,0,0,0,0]",true,"7SBmJUiZFHJe6NgTn3fZZ69K9RKGaXLUPakqVxm4ds9E",true,"CcUtBt2V18QVPaC2AoYwJz2a7r9QqbeC3b5xSmxyjWp7","https://explorer.solana.com/address/7SBmJUiZFHJe6NgTn3fZZ69K9RKGaXLUPakqVxm4ds9E","[{""trait_type"":""Body"",""value"":""BBL Ass (1)""},{""trait_type"":""Tattoo"",""value"":""Eye""},{""trait_type"":""Underwear"",""value"":""Sling Suit-Yellow""}]","Best ass in Solana","Deadass Sol Gen 1","The First Generative Ass NFTs. Dead Ass ",1298,"https://www.arweave.net/WAMi003JA5NCHAClS6WMj5XkpfkSvERjNYjSmW-2CpM?ext=png","ASS #1298","image","[{""address"":""GqStrR6xFc1DBYBHVYLmrA3u96WbfdgLF52fG5Giz6qB"",""share"":50},{""address"":""8Q7h6E6zaph8CBZ6W6PVcZAmBFGVh6YQsnWTPqLLyBe"",""share"":30},{""address"":""BwDDWNEKcB9YAkBWsnq5JBYK3tQxwwqXEkHa4CLHc5Lz"",""share"":10},{""address"":""HRwxz2TPjdMfLmjXCULj8nhuDahpHdwitoNb185oBoNQ"",""share"":10}]","[{""uri"":""https://www.arweave.net/WAMi003JA5NCHAClS6WMj5XkpfkSvERjNYjSmW-2CpM?ext=png"",""type"":""image/png""}]",690,"DASS"
"[""GmRHExAZszU6Wekk6MHWfcwJyzSqBZHKLx2Fj4aj5rzC"",""B47XPwArv5qMhgGaqThT2iS7MaZRLCm7Js4oJnYodgve""]","BilliBox #266","[0,100]","BilliBox","https://arweave.net/zllioHZb_pqiRPgXP8BevZuSnGrF9M0J6QNZ5UtmpFg","[1,0]",true,"HxB1PkZXyfvg8CBCoXwAk2wJaftZXXqPwks8zy6R5zQS",true,"B47XPwArv5qMhgGaqThT2iS7MaZRLCm7Js4oJnYodgve","https://explorer.solana.com/address/HxB1PkZXyfvg8CBCoXwAk2wJaftZXXqPwks8zy6R5zQS","[{""trait_type"":""Background"",""value"":""gray23""}]","Billibox","Billionaire Boxes","",,"https://www.arweave.net/Z-jC6m5fa6I92EEV8IVNvKCKlQfr_axFILNvO5iaM5c?ext=png","BilliBox #266","image","[{""address"":""B47XPwArv5qMhgGaqThT2iS7MaZRLCm7Js4oJnYodgve"",""share"":100}]","[{""uri"":""https://www.arweave.net/Z-jC6m5fa6I92EEV8IVNvKCKlQfr_axFILNvO5iaM5c?ext=png"",""type"":""image/png""}]",750,"BilliBox"
"[""7A52STQYkVqTZzBNujH3mxGvxFmXsH5WHaKZBuTGdvUg"",""AegRkuNtA8x7tgEarLiY7Zom3wJAeV4yh7FBDVKAtfEu"",""GK6abV2VZsrndxHcX4sNRsijuLA11tsFakqqyiJeJFvj"",""H9snmCCK4exWsoaWeLsjMBgaQPUHijZH5ZiPtvagJ1du"",""8pGtVD2gRLPhCQa9K67R9amDAezv8G53FB17N9sMCZcd""]","Skully Boys #1010","[0,32,10,48,10]","SkullyB ","https://arweave.net/yeVoD92flgVbEuqe-oxFZsv7xFiGeU1CHWhYe1VDtfg","[1,0,0,0,0]",true,"GyfRSov5Ht5hjiZHMMV366oEYNBZCqZhUCEqo9ztAp1r",true,"EAJBdDrmyd1L8Bw4Yx8DUEKkDsPwbYkFJB1GishcNcfZ","https://explorer.solana.com/address/GyfRSov5Ht5hjiZHMMV366oEYNBZCqZhUCEqo9ztAp1r","[{""trait_type"":""Background"",""value"":""Red""},{""trait_type"":""Skull"",""value"":""Bad Bones Skully Wood""},{""trait_type"":""Hat"",""value"":""None""},{""trait_type"":""Clothe"",""value"":""None""},{""trait_type"":""Glasses"",""value"":""None""},{""trait_type"":""Beard"",""value"":""Moustache""}]",,,"When our carbon-14 bones will disappear, the Skully Boys will still be on the dance floor shaking this digital world.",1010,"https://www.arweave.net/0hvu0T1T_F0Ns8qlOZszpERNgEjviJuQaLHCpo5vEJ4?ext=png","Skully Boys #1010","image","[{""address"":""AegRkuNtA8x7tgEarLiY7Zom3wJAeV4yh7FBDVKAtfEu"",""share"":32},{""address"":""GK6abV2VZsrndxHcX4sNRsijuLA11tsFakqqyiJeJFvj"",""share"":10},{""address"":""H9snmCCK4exWsoaWeLsjMBgaQPUHijZH5ZiPtvagJ1du"",""share"":48},{""address"":""8pGtVD2gRLPhCQa9K67R9amDAezv8G53FB17N9sMCZcd"",""share"":10}]","[{""uri"":""https://www.arweave.net/0hvu0T1T_F0Ns8qlOZszpERNgEjviJuQaLHCpo5vEJ4?ext=png"",""type"":""image/png""}]",500,"SkullyB "
"[""HWndrxyRnyrcQxo6r4vsJFQNc2A6Ym2ewwN3VX2EcX27"",""2jQgDWL2MjKtF4631BPa6NzF7tTSWLUGECar7xFVgYm1"",""54c4WjdMPoGeBX9vGbo5pyzKeSeHPDtViu25ysbXuAKs""]","Soulless #6998","[0,99,1]","SOUL","https://arweave.net/9kwE17yauHizsaRapei5eblOWAugNXWx9oTzgTthpb0","[1,0,0]",true,"7ArqGtvZjs4K5Dvp13MXby7bt6VQjwvUUktrXAqEYpD7",true,"54c4WjdMPoGeBX9vGbo5pyzKeSeHPDtViu25ysbXuAKs","https://explorer.solana.com/address/7ArqGtvZjs4K5Dvp13MXby7bt6VQjwvUUktrXAqEYpD7","[{""trait_type"":""Background"",""value"":""Coven""},{""trait_type"":""Body"",""value"":""Angelic Gold""},{""trait_type"":""Head"",""value"":""Snake""},{""trait_type"":""Eyes"",""value"":""Blue Ooze""},{""trait_type"":""Handhelds"",""value"":""Anhk Staff""},{""trait_type"":""Clothing"",""value"":""School Outfit""},{""trait_type"":""Mouth"",""value"":""Venthilator""}]","Collection 1","Soulless","4 Factions of 9,999 Souls. Each from different earthly dimensions. Mint or be Soulless forever.",,"https://www.arweave.net/S-ozkncW3SjtBzAKyQWmWpRa_HWsBt58QFjLw3RPKw0?ext=png","Soulless #6998",,"[{""address"":""2jQgDWL2MjKtF4631BPa6NzF7tTSWLUGECar7xFVgYm1"",""share"":99},{""address"":""BNXNCu1jNby1ArHarSk7gadvxs1GkzsDrgf7y9WFNsjC"",""share"":1}]",,500,"SOUL"
