"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.attributes","metaResult.properties.creators","metaResult.properties.category","metaResult.properties.files","metaResult.collection.name","metaResult.collection.family"
"[""5XTbjtKM1whecjXMMdDUz3BzWqEDRuJxTRPX3xTF1qmG"",""3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r""]","DFL Seed #1304","[0,100]","","https://d29mb09d0a2rpx.cloudfront.net/defiland/seeds/1304.json","[1,0]",true,"3zF2naadcUEdbUYX4hmiBmbFbqwWyf1dH3hMKf2pEeRo",true,"DiQHrVHgiLthhsTgmYH3iAS3pgUaYSKXvAmV2Ec2bVrP","https://explorer.solana.com/address/3zF2naadcUEdbUYX4hmiBmbFbqwWyf1dH3hMKf2pEeRo","DFL Seed #1304","","DeFi Land NFT Seeds - Plant it to grow Gen-0 Utility NFTs to start earning by playing in DeFi Land.",500,"https://d29mb09d0a2rpx.cloudfront.net/defiland/seeds/seed.png","[{""trait_type"":""Type"",""value"":""Seeds""},{""trait_type"":""Number"",""value"":""1304""},{""trait_type"":""Utility"",""value"":""Planting""}]","[{""address"":""3eqZxNVEjatz8T48RsRSQGZbSbhxzhGBjQnZF9da3m8r"",""share"":100}]","image","[{""uri"":""https://d29mb09d0a2rpx.cloudfront.net/defiland/seeds/seed.png"",""type"":""image/png""}]","DeFi Land Seeds","DeFi Land"
"[""BW7m1wf9zP42SacnUMcw7Xb2tQA8dph3GFZ5HDuReKpf"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""GirW1QZhPT7BvWQ6iZfsVCoDhmztDfYddtXWH197Xyod"",""41sMorVeHHVRnRpDXFpbh1iCtzmYFHS9cp8tarN7dy5S"",""GGhVZyUEV7eurt3tvHUXq9z3wRMjBQq3pWLXTLoMXJgo""]","PITM #3270","[0,10,40,40,10]","PITM","https://bafybeibkt2lgc6672aoptkfdvkyupwe4yvi2cbb45kbcplgj25pc2qufjy.ipfs.dweb.link/3270.json","[1,0,0,0,0]",true,"2tSUQoua11jkyKdt22M7AsYRfDQhgDEicNb3ZhA1LXww",true,"5NRDRcSAzcj32t3axyzz44s3p1qkokdP5e3smzyCC4Le","https://explorer.solana.com/address/2tSUQoua11jkyKdt22M7AsYRfDQhgDEicNb3ZhA1LXww","Panthers In The Metaverse #3270","PITM","3,333 bold Panther warriors on unique adventures exploring the Metaverse.",600,"https://bafybeibkstzc6fqgep5emuq2coudd25pjzc545hywgiicpnbwgfoxsgvqy.ipfs.dweb.link/3270.png","[{""trait_type"":""Background"",""value"":""Panther Heaven""},{""trait_type"":""Fur"",""value"":""Gold""},{""trait_type"":""Eyes"",""value"":""Rubis Eyes""},{""trait_type"":""Attire"",""value"":""Red Spiky Collar""}]","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":10},{""address"":""GirW1QZhPT7BvWQ6iZfsVCoDhmztDfYddtXWH197Xyod"",""share"":40},{""address"":""41sMorVeHHVRnRpDXFpbh1iCtzmYFHS9cp8tarN7dy5S"",""share"":40},{""address"":""GGhVZyUEV7eurt3tvHUXq9z3wRMjBQq3pWLXTLoMXJgo"",""share"":10}]","image","[{""uri"":""https://bafybeibkstzc6fqgep5emuq2coudd25pjzc545hywgiicpnbwgfoxsgvqy.ipfs.dweb.link/3270.png"",""type"":""image/png""}]","Panthers In The Metaverse","Panthers In The Metaverse"
"[""D2xSPAEyC7Gsuu5eRt9ZSGcTEmXLWqgNgS6FiY78pRag""]","Ordinary Sol #561","[100]","","https://bafkreihiiamrvigx52jbtxzbimsxgcnwwzcxk533btsdpgr2pmdmiby5qi.ipfs.dweb.link?ext=json","[1]",true,"B6RV25Z4CoypEfQ3yPUHBQ4DD9afLPNyLd94AMaWZJ9G",false,"D2xSPAEyC7Gsuu5eRt9ZSGcTEmXLWqgNgS6FiY78pRag","https://explorer.solana.com/address/B6RV25Z4CoypEfQ3yPUHBQ4DD9afLPNyLd94AMaWZJ9G","Ordinary Sol #561","","A collection of Ordinary Solana people minding their own business on Solana Blockchain. ",500,"https://bafybeid77hd57ac6hkbsgpj5ewnjoiwfejd3djzdvouawbkfhoihh4nxg4.ipfs.dweb.link?ext=jpg","[{""trait_type"":""Gen"",""value"":1},{""trait_type"":""Rarity"",""value"":""Ordinary""},{""trait_type"":""Hair"",""value"":""Wolfcut""},{""trait_type"":""Head Acc"",""value"":""Blush""},{""trait_type"":""Clothes"",""value"":""T-Shirt""},{""trait_type"":""Body Acc"",""value"":""None""},{""trait_type"":""Background"",""value"":""Color""}]","[{""address"":""D2xSPAEyC7Gsuu5eRt9ZSGcTEmXLWqgNgS6FiY78pRag"",""share"":100}]","image","[{""uri"":""https://bafybeid77hd57ac6hkbsgpj5ewnjoiwfejd3djzdvouawbkfhoihh4nxg4.ipfs.dweb.link?ext=jpg"",""type"":""image/jpeg""}]",,
"[""4ccFXBwZcpeKVGV8cWDRfV6sj6VbE7VZQEi1NxErYHiq"",""DpYpPQFbieuShyRr5ASW4YhJAxsAX6kWyZymPg9h2V3c"",""N4Kci9C3nsmgNiJvjw5w3FcPR4a5h9SHWkAkPkYCiKB"",""mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM""]","BabyMenace Nft #134","[0,50,40,10]","BM","https://monkelabs.nyc3.digitaloceanspaces.com/babymenace-nft/json/645bc2a3e7dda65f9bffcc7b9eead34c.json","[1,0,0,0]",true,"C8ueAAWThMKLKaGDM3qwGiPQJSbG5ykHA9yPHgTPjGUN",true,"4ccFXBwZcpeKVGV8cWDRfV6sj6VbE7VZQEi1NxErYHiq","https://explorer.solana.com/address/C8ueAAWThMKLKaGDM3qwGiPQJSbG5ykHA9yPHgTPjGUN","Vip Pass #134","BM","Access to the BabyMenace Multi-Verse.",750,"https://monkelabs.nyc3.digitaloceanspaces.com/babymenace-nft/BabyMenace.jpeg","[{""trait_type"":""Tier"",""value"":""2""},{""trait_type"":""Extendable"",""value"":""Denied""},{""trait_type"":""Special"",""value"":""Congested""},{""trait_type"":"""",""value"":""""}]","[{""address"":""DpYpPQFbieuShyRr5ASW4YhJAxsAX6kWyZymPg9h2V3c"",""share"":50},{""address"":""N4Kci9C3nsmgNiJvjw5w3FcPR4a5h9SHWkAkPkYCiKB"",""share"":40},{""address"":""mnKzuL9RMtR6GeSHBfDpnQaefcMsiw7waoTSduKNiXM"",""share"":10}]","Animation","[{""uri"":""https://monkelabs.nyc3.digitaloceanspaces.com/babymenace-nft/BabyMenace.mp4"",""type"":""image/mp4""},{""uri"":""https://monkelabs.nyc3.digitaloceanspaces.com/babymenace-nft/BabyMenace.jpeg"",""type"":""image/jpeg""}]","BabyMenace","BabyMenace Multi-Verse"
"[""9UaTjLVUTtJF3n9sG8VfvYt4pdYGf7Y59qYZFBRx4kLo"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""2htrfBgkZpGKgeN29E2uUg7H8v7EKUKgoxwzUdfbLxVM"",""89sTuksuZdBYed618BTjoNAXjkzdmheAQBaBcxgNbutn""]","Magpie Mogul #1418","[0,10,45,45]","MM","https://bafybeiflh62oy5tzpopkumfazfz6cengtibqaph6v4ri55zilo275ir2je.ipfs.dweb.link/1417.json","[1,0,0,0]",true,"3bouSV2B3hUmUMwLtiPd3WUaEamqtdw9ufp4vmdQv2jN",true,"8NVChjH8fL76eFCiFpqPMezJaEeeaaW9jqDSBjaymUqB","https://explorer.solana.com/address/3bouSV2B3hUmUMwLtiPd3WUaEamqtdw9ufp4vmdQv2jN","Magpie Mogul #1418","MM","2222 Magpies nesting on Solana, with innovative utility",1000,"https://bafybeih5ucwk4ihlgvwym5uf7tzm66svrr3qqnx2k2zc2osvljs454avse.ipfs.dweb.link/1417.png?ext=png","[{""trait_type"":""Background"",""value"":""Grey""},{""trait_type"":""Body"",""value"":""Steampunk""},{""trait_type"":""Beaks"",""value"":""Orange""},{""trait_type"":""Eyes"",""value"":""Dark Red""},{""trait_type"":""Clothes"",""value"":""Black Blazer""},{""trait_type"":""Neckwear"",""value"":""Solana""},{""trait_type"":""Eyewear"",""value"":""None""},{""trait_type"":""Hats"",""value"":""Snapback""}]","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":10},{""address"":""2htrfBgkZpGKgeN29E2uUg7H8v7EKUKgoxwzUdfbLxVM"",""share"":45},{""address"":""89sTuksuZdBYed618BTjoNAXjkzdmheAQBaBcxgNbutn"",""share"":45}]","image","[{""uri"":""https://bafybeih5ucwk4ihlgvwym5uf7tzm66svrr3qqnx2k2zc2osvljs454avse.ipfs.dweb.link/1417.png?ext=png"",""type"":""image/png""}]","Magpie Moguls","Magpie Moguls"
"[""4UewNKUmiFGpas6W4yXT4Fw2U8GAGUAHHpdUNfn5Pw4K"",""tsU33UT3K2JTfLgHUo7hdzRhRe4wth885cqVbM8WLiq""]","BIG SHOT FOX PLACEHOLDER","[98,2]","","https://bafkreietwr4dwexayora7t5wr2r6kd3qe7ema7lbtprtqbozhxmcflcylu.ipfs.dweb.link?ext=","[1,1]",true,"4bQ6U3TJFTj9WkbGmRqX6wbZkpvQ32cD6caL9WJ4RZPq",false,"4UewNKUmiFGpas6W4yXT4Fw2U8GAGUAHHpdUNfn5Pw4K","https://explorer.solana.com/address/4bQ6U3TJFTj9WkbGmRqX6wbZkpvQ32cD6caL9WJ4RZPq","BIG SHOT FOX PLACEHOLDER","","THIS IS A PLACEHOLDER NFT FOR WINNERS OF THE BIG SHOT TICKETS RAFFLE.",1000,"https://bafkreidld3h47mj72u3igmtqnofmwacqs7awhxndrd5hb6nf6zty6nswta.ipfs.dweb.link?ext=jpeg","[]","[{""address"":""4UewNKUmiFGpas6W4yXT4Fw2U8GAGUAHHpdUNfn5Pw4K"",""share"":98},{""address"":""tsU33UT3K2JTfLgHUo7hdzRhRe4wth885cqVbM8WLiq"",""share"":2}]","image","[{""uri"":""https://bafkreidld3h47mj72u3igmtqnofmwacqs7awhxndrd5hb6nf6zty6nswta.ipfs.dweb.link?ext=jpeg"",""type"":""image/jpeg""}]","BSF PLACEHOLDER",""
"[""HHhtpaJeaomUByUZ9hYbkPu4N2uG4KFVkFukZPDu1rNS"",""4XMzMqatg8JjuQiHm6Zxr2oJs5T57AGv8vRqV6Bish3u""]","Metazilla #1507","[0,100]","ZILLA","https://arweave.net/jKftPDveRy-6sKJow_yw0DOvq-OF5yt6oKGoUDC2a5o","[1,0]",true,"H8YcmcSvY4H9EL58wQia8VMoTFEG8JNDKSNE7BbJ4SQ9",true,"4kkNw9CDTjyXeJhbWJEDbmqT32y2GetmtKiZwHTzX9Pp","https://explorer.solana.com/address/H8YcmcSvY4H9EL58wQia8VMoTFEG8JNDKSNE7BbJ4SQ9","Metazilla #1507","ZILLA","1,555 unique, pixelated Zillas that have escaped Zillaverse and are now targeting the Solana blockchain",1000,"https://arweave.net/B6BnuK8jM-mKQoVHTDdTmxo3c-dQXKqV1eiiCSrAlgk?ext=png","[{""trait_type"":""Background"",""value"":""Japanese Sunset""},{""trait_type"":""Skin"",""value"":""Green""},{""trait_type"":""Neck"",""value"":""Gold Collar""},{""trait_type"":""Mouth"",""value"":""Bubblegum""},{""trait_type"":""Head"",""value"":""Cowboy Hat""},{""trait_type"":""Eyes"",""value"":""White""}]","[{""address"":""GTptYnQ34BNHvzHWkqyqH5AvyM8Ht3kSvJhWekWq34KK"",""share"":100}]","image","[{""uri"":""https://arweave.net/B6BnuK8jM-mKQoVHTDdTmxo3c-dQXKqV1eiiCSrAlgk?ext=png"",""type"":""image/png""}]",,
"[""4AAy2FWHNThbd8fjnAbyQAVjmXv6CRAXcFKACNpkwQSM"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""2SFPpTxrFEPB6bTJKhbxg2T4SaBmCQJggjJFjRqwgY1Z""]","Wristband 380","[0,10,90]","NETGALA","https://bafybeigt6ixxnmbt4mjeqmdr2twmstxamdqmia4tt5r5okofbwn2d7ewfy.ipfs.dweb.link/380.json","[1,0,0]",true,"J5tSL5oiBKZFD9H2hyzht9Rn8i67jUsRRoQhgdexoBTf",true,"35m13ooNbHBsbLGHJuUe8bBG5HXaqkBLd3H6MZi5gCCY","https://explorer.solana.com/address/J5tSL5oiBKZFD9H2hyzht9Rn8i67jUsRRoQhgdexoBTf","Wristband 380","NETGALA","The future of music, now. Welcome to The Net Gala.",500,"https://ipfs.io/ipfs/QmWJafTWyr6L6yGLohyAtQNPz4mcz9FNa6p2kDBqQZWo7B","[{""trait_type"":""Access Level"",""value"":""VIP""},{""trait_type"":""Song"",""value"":""If The Shoe Fits""},{""trait_type"":""Artist"",""value"":""Serio""}]","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":10},{""address"":""2SFPpTxrFEPB6bTJKhbxg2T4SaBmCQJggjJFjRqwgY1Z"",""share"":90}]","video","[{""uri"":""https://bafybeiefquixx6srkjkydt2lgaxvx3lggfd5l4vkuaqzawbrbkilctxy6y.ipfs.dweb.link/380.mp4"",""type"":""video/mp4""}]",,
"[""EUDr68zDWdEwrrW2UUYCBFaiHVqhr47bEZQtTTX8A1e5""]","BLOCKJAM Mini 01 - Flat Blue","[100]","","https://arweave.net/cdg4hwM7KFDNhDrnHgSCbgK72F-WWuqS27BpnomsiO0","[1]",false,"2XzAq9F64vwV46ftDsfT4v4VhHVFrJDNSY8vzRJbU1za",false,"EUDr68zDWdEwrrW2UUYCBFaiHVqhr47bEZQtTTX8A1e5","https://explorer.solana.com/address/2XzAq9F64vwV46ftDsfT4v4VhHVFrJDNSY8vzRJbU1za","BLOCKJAM Mini 01 - Flat Blue","","The original BLOCKJAM Mini 01 in Flat Blue - the lightest and tiniest way to enjoy RAM Mixtapes.

Issued for promo use only.",5000,"https://www.arweave.net/zZT6bdutcr4D3gEMl9hYCyAgQ5Ga90Odb9F8JHV0me4?ext=jpg","[{""trait_type"":""Model"",""value"":""BLOCKJAM Mini 01""},{""trait_type"":""Season"",""value"":""1 - ORIGINALS""},{""trait_type"":""Collection"",""value"":""Mini""},{""trait_type"":""Colour"",""value"":""Flat Blue""}]","[{""address"":""EUDr68zDWdEwrrW2UUYCBFaiHVqhr47bEZQtTTX8A1e5"",""share"":100}]","vr","[{""uri"":""https://www.arweave.net/zZT6bdutcr4D3gEMl9hYCyAgQ5Ga90Odb9F8JHV0me4?ext=jpg"",""type"":""image/jpeg""},{""uri"":""https://www.arweave.net/TgQhV2eEgJviiIFabqNe-H0BoehsXbyTRqL14ZM6pXo?ext=glb"",""type"":""glb""}]",,
"[""3i6iJK5exSHAzBgaxWmowpBNCUVp1Xq95eNYt6UEXYCT"",""J4jE4Hg6gmuqzRmkoesinJkWy54Ehn6Gt4R8bo3zA5Me""]","Ex Populus Trading Card Game","[1,99]","WGMI","https://ipfs.io/ipfs/QmTToDgi47fM7BXYtrcmqMynqQ4F2zZccpnqk9VXDJyJt9","[1,1]",false,"3VTFp6mfZvVCgfnnowDqkncTt6rmnKvqpZg8u2jxTetR",false,"3i6iJK5exSHAzBgaxWmowpBNCUVp1Xq95eNYt6UEXYCT","https://explorer.solana.com/address/3VTFp6mfZvVCgfnnowDqkncTt6rmnKvqpZg8u2jxTetR","Ex Populus Trading Card Game","WGMI","A chad af mintpass to mint your own Decentralized Autonomous GigaUnit at dag.expopulus.com.  Grab a genesis DAG for the expopulus P2E trading card game, if you're chad enough. All art made by Oscar nominated animation studio Calabash.  All rewards earned by you.  wagmi.",500,"https://ipfs.io/ipfs/QmNYyeVU4AmdCVJ6DMahGNjhRAPfiZiNNHsRHJs4ondFUv?ext=gif","[{""trait_type"":""Deck"",""value"":""Decentralized Autonomous GigaUnits""},{""trait_type"":""Community"",""value"":""https://discord.gg/expopulus""},{""trait_type"":""Site"",""value"":""dag.expopulus.com""},{""trait_type"":""Utility"",""value"":""Mint Pass""}]","[{""address"":""3i6iJK5exSHAzBgaxWmowpBNCUVp1Xq95eNYt6UEXYCT"",""share"":1},{""address"":""J4jE4Hg6gmuqzRmkoesinJkWy54Ehn6Gt4R8bo3zA5Me"",""share"":99}]","video","[{""uri"":""https://ipfs.io/ipfs/QmNYyeVU4AmdCVJ6DMahGNjhRAPfiZiNNHsRHJs4ondFUv?ext=gif"",""type"":""image/gif""},{""uri"":""https://ipfs.io/ipfs/QmTkUsSoSTvA3PQYNbQDzDPzF7vfjLdunVEC51RHmWGfLG?ext=mp4"",""type"":""video/mp4""}]",,
