"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.seller_fee_basis_points","metaResult.external_url","metaResult.name","metaResult.attributes","metaResult.image","metaResult.properties.category","metaResult.properties.files","metaResult.properties.creators","metaResult.symbol","metaResult.description"
"[]","EXCHANGE NOTIFICATION NFT","[]","","https://cdn.exchange.art/comm_token/issued_tokens_metadata/uri-1637100878654.json","[]",true,"83ZMuAcBJWALxjtSLAabp5Ymn1GohC77J63pWf5MzkkU",false,"EgqxBkbNczXsgBmnkQ6VyKF6qRK446UGMgWhMed1L9c6","https://explorer.solana.com/address/83ZMuAcBJWALxjtSLAabp5Ymn1GohC77J63pWf5MzkkU",100,"https://exchange.art/","EXCHANGE NOTIFICATION NFT","[{""trait_type"":""Status"",""value"":""BASIC""},{""value"":""0"",""trait_type"":""Sales""},{""value"":""1"",""trait_type"":""Buys""},{""value"":""1"",""trait_type"":""Total transactions""},{""value"":""0.20"",""trait_type"":""Buy volume""},{""value"":""0"",""trait_type"":""Sales volume""},{""value"":""0.20"",""trait_type"":""Total Volume""}]","https://cdn.exchange.art/comm_token/background_images/1.jpg","image","[{""uri"":""https://cdn.exchange.art/comm_token/background_images/1.jpg"",""type"":""image/jpg""}]","[{""share"":100,""address"":""EgqxBkbNczXsgBmnkQ6VyKF6qRK446UGMgWhMed1L9c6""}]","ECT","This is your EXCHANGE.ART Notification NFT. Check this token to monitor new offers on your NFTs and get alerts on accepted offers. Your status will rise as you buy and sell on EXCHANGE."
"[""Af9swsWzX4tXWKuriZvCoUzN4sJrXJk97rbR1A2titTo"",""8vfWKftTZYCPDbqgxcRdo4aL5X1JXFncYnJoMPPekx84""]","HoodChad #470","[0,100]","","https://arweave.net/yU_Dhoem4-BSB--faLVR0Ad95YZqpUgU5Aya2dihOPE","[1,0]",true,"4uStAArXhWH8Cp95TR9Ri2Cf3uHTYyKX4JfvmhxGhnv4",true,"8vfWKftTZYCPDbqgxcRdo4aL5X1JXFncYnJoMPPekx84","https://explorer.solana.com/address/4uStAArXhWH8Cp95TR9Ri2Cf3uHTYyKX4JfvmhxGhnv4",600,"https://www.hoodchad.com/","HoodChad #470","[{""trait_type"":""BACKGROUND"",""value"":""Purple Gradient""},{""trait_type"":""SKIN"",""value"":""Black""},{""trait_type"":""TATTOO"",""value"":""Arm Tattoo""},{""trait_type"":""UNDERWEAR"",""value"":""Grey Tshirt""},{""trait_type"":""UPPERWEAR"",""value"":""None""},{""trait_type"":""JEWELS"",""value"":""None""},{""trait_type"":""EYES"",""value"":""Classic""},{""trait_type"":""MOUTH"",""value"":""Closed""},{""trait_type"":""FACE"",""value"":""Pit Viper""},{""trait_type"":""HAT"",""value"":""Blue Bandana""},{""trait_type"":""EPIC ACCESSORIES"",""value"":""Neon Aura""}]","https://www.arweave.net/JnNOOgWvCNB38BJf56odgRv_w0H25YiCqZkFZChwYjs?ext=png","image","[{""uri"":""https://www.arweave.net/JnNOOgWvCNB38BJf56odgRv_w0H25YiCqZkFZChwYjs?ext=png"",""type"":""image/png""}]","[{""address"":""8vfWKftTZYCPDbqgxcRdo4aL5X1JXFncYnJoMPPekx84"",""share"":100}]","","5000 unique Chad's hanging on Solana blockchain."
"[""2zRG1EQw7789fE9sfQ6CAcQQSMDwqhmJ3SA1zNsTDFnq"",""2is2NRunEwhotCQrRFXt2w3Fy2Vdo6pasiWzJK4HpcQU"",""8fX9saaTVDBDHy7HzGApyenwiJ9SPVrHRw7ATM13bZEw"",""4J4DCdYLbt2oCCAPdFC15Au9njJmvQNWqBQbaSa8W8nu"",""CTzYhmFELbtG53dAr88W1UMfybtDBKvzraSDnR3oGXuq""]","Skyline FLP","[0,25,25,25,25]","SFLP","https://arweave.net/Zn8WhMK98bs1LNjZZodnozL1WdwCACCZCnWGoEy07wM","[1,0,0,0,0]",false,"ymwwvYFgekr2gpDhkbx9p7dX7PJSVmUy5m4UWTK3FBn",true,"2zRG1EQw7789fE9sfQ6CAcQQSMDwqhmJ3SA1zNsTDFnq","https://explorer.solana.com/address/ymwwvYFgekr2gpDhkbx9p7dX7PJSVmUy5m4UWTK3FBn",600,,"Skyline FLP",,"https://www.arweave.net/7GLSB6nsDtbhFoOKZLbtgDoO0DTxPyxt3VJB1mHkmwM?ext=png","image","[{""uri"":""https://www.arweave.net/7GLSB6nsDtbhFoOKZLbtgDoO0DTxPyxt3VJB1mHkmwM?ext=png"",""type"":""image/png""}]","[{""address"":""2is2NRunEwhotCQrRFXt2w3Fy2Vdo6pasiWzJK4HpcQU"",""share"":25},{""address"":""8fX9saaTVDBDHy7HzGApyenwiJ9SPVrHRw7ATM13bZEw"",""share"":25},{""address"":""4J4DCdYLbt2oCCAPdFC15Au9njJmvQNWqBQbaSa8W8nu"",""share"":25},{""address"":""CTzYhmFELbtG53dAr88W1UMfybtDBKvzraSDnR3oGXuq"",""share"":25}]","","Thanks for camping with us!"
"[""DDvbjs9KUjUKXWfAdheK6fFfdvHkgaERghaWTUpXHzFe"",""9FbJbUvqD5C7NxUVzfy6sZ7NigMBUvsPG9TojjDnaGfH"",""13RiW8iqQgKnHXUSyb2Pu8otBjgsxxSB2YQ3WfgU4Y6i"",""A8yAGy6svM7rV9CF35fG3Ktf9QUkZEZdEHK3qNJC2pQ4""]","FuriousSeed","[0,33,34,33]","SEED","https://arweave.net/iRlX-gzpihWmvFKicewb6vISiHaVBfbeKek9eImWSk4","[1,0,0,0]",false,"5fFEJJc3jnNofenGxUEkxa68hnH1cQTcrupcvw3PJi2k",true,"DDvbjs9KUjUKXWfAdheK6fFfdvHkgaERghaWTUpXHzFe","https://explorer.solana.com/address/5fFEJJc3jnNofenGxUEkxa68hnH1cQTcrupcvw3PJi2k",500,,"Seed","[{""trait_type"":""TRIBE"",""value"":""Seed""}]","https://www.arweave.net/dQ12KiqbxYOr1pk8j-P3A6LclcMEDSTTU-XlSOQaRyY?ext=png","image","[{""uri"":""https://www.arweave.net/dQ12KiqbxYOr1pk8j-P3A6LclcMEDSTTU-XlSOQaRyY?ext=png"",""type"":""image/png""}]","[{""address"":""9FbJbUvqD5C7NxUVzfy6sZ7NigMBUvsPG9TojjDnaGfH"",""share"":33},{""address"":""13RiW8iqQgKnHXUSyb2Pu8otBjgsxxSB2YQ3WfgU4Y6i"",""share"":34},{""address"":""A8yAGy6svM7rV9CF35fG3Ktf9QUkZEZdEHK3qNJC2pQ4"",""share"":33}]","Seed","Thank you!"
"[""3z9gQfHPzYAFnbxRwMx66XCMDVgVQtLseMSy39XpwcYf"",""FhDS47vaUg2e2B9spCncFkK1542NdsyYeoEW4jswADeP""]","Sharks of Atlantis #2079","[0,100]","SOS","https://arweave.net/AuDC6Gxz9F-JLggETDv40BwJY9nHZasut7dRwiuZ-qU","[1,0]",true,"7E7py7UY4HVWVNQrJYodNQuZcWXCqgEmKgTkKq7ZC8nb",true,"Gjzr27wyoa1ofg4YTM8Sm9vC5NCrfX9o3o7bw7tmwFAR","https://explorer.solana.com/address/7E7py7UY4HVWVNQrJYodNQuZcWXCqgEmKgTkKq7ZC8nb",420,"https://solantis.io","Sharks of Atlantis #2079","[{""trait_type"":""Background"",""value"":""Red""},{""trait_type"":""Skin"",""value"":""Red Spots""},{""trait_type"":""Mouth"",""value"":""Drooling""},{""trait_type"":""Eyes"",""value"":""Pirate""},{""trait_type"":""Head"",""value"":""Cool Cap""},{""trait_type"":""Clothing"",""value"":""Red Shirt""},{""trait_type"":""Hand"",""value"":""Vodka""}]","https://www.arweave.net/pBOuDa7KgnJ42vRjwoo87zzc0eHkpz4SfO_o02P4clU?ext=png","image","[{""uri"":""https://www.arweave.net/pBOuDa7KgnJ42vRjwoo87zzc0eHkpz4SfO_o02P4clU?ext=png"",""type"":""image/png""}]","[{""address"":""FhDS47vaUg2e2B9spCncFkK1542NdsyYeoEW4jswADeP"",""share"":100}]","SOS","Hidden in the depths of the vast sea, meet the Sharks of Solantis."
"[""7s9HDid18E2jQ3tiuVZYa3KN9KyLgFBi7XJ3ZJJLsQr7"",""MEXuhNRByHZmdL8e9C7nhS9SZ8WrNQ6WeWDWBeEQ8u4""]","Robber#26518","[0,100]","","https://copsgame.s3-us-west-1.amazonaws.com/gen2/metadata/d8a006f02ad49bcde448485fdefea547.json","[1,0]",true,"95CRAdV3Sp7FC5jWAJ8cxxM5xfW1ribqvHyN13qqVB9N",true,"MEXuhNRByHZmdL8e9C7nhS9SZ8WrNQ6WeWDWBeEQ8u4","https://explorer.solana.com/address/95CRAdV3Sp7FC5jWAJ8cxxM5xfW1ribqvHyN13qqVB9N",500,"https://cops.game/","Robber#26518","[{""trait_type"":""Skin"",""value"":""Black""},{""trait_type"":""Feet"",""value"":""Black""},{""trait_type"":""Pants"",""value"":""Bloody Jeans""},{""trait_type"":""Outfit"",""value"":""Damaged""},{""trait_type"":""Face"",""value"":""Speedo""},{""trait_type"":""Hat"",""value"":""Fedora""},{""trait_type"":""Type"",""value"":""Robber""},{""trait_type"":""Generation"",""value"":""Gen 2""}]","https://copsgame.s3-us-west-1.amazonaws.com/gen2/images/d8a006f02ad49bcde448485fdefea547.png","image","[{""uri"":""https://copsgame.s3-us-west-1.amazonaws.com/gen2/images/d8a006f02ad49bcde448485fdefea547.png"",""type"":""image/png""}]","[{""address"":""MEXuhNRByHZmdL8e9C7nhS9SZ8WrNQ6WeWDWBeEQ8u4"",""share"":100}]","","Cops Game is a collection of P2E NFT mult-staking game on the Solana blockchain"
"[""7s9HDid18E2jQ3tiuVZYa3KN9KyLgFBi7XJ3ZJJLsQr7"",""MEXuhNRByHZmdL8e9C7nhS9SZ8WrNQ6WeWDWBeEQ8u4""]","Robber#37989","[0,100]","","https://copsgame.s3-us-west-1.amazonaws.com/gen2/metadata/f2a708222d1209817f99964965281df7.json","[1,0]",true,"GV8f8utJPmKNaHV7EX4ZiUMiU2jzD4yTCvaBYPcfcMz8",true,"MEXuhNRByHZmdL8e9C7nhS9SZ8WrNQ6WeWDWBeEQ8u4","https://explorer.solana.com/address/GV8f8utJPmKNaHV7EX4ZiUMiU2jzD4yTCvaBYPcfcMz8",500,"https://cops.game/","Robber#37989","[{""trait_type"":""Skin"",""value"":""Pale White""},{""trait_type"":""Feet"",""value"":""Green""},{""trait_type"":""Pants"",""value"":""Shorts""},{""trait_type"":""Outfit"",""value"":""Damaged""},{""trait_type"":""Face"",""value"":""Monocle""},{""trait_type"":""Hat"",""value"":""Looty""},{""trait_type"":""Type"",""value"":""Robber""},{""trait_type"":""Generation"",""value"":""Gen 2""}]","https://copsgame.s3-us-west-1.amazonaws.com/gen2/images/f2a708222d1209817f99964965281df7.png","image","[{""uri"":""https://copsgame.s3-us-west-1.amazonaws.com/gen2/images/f2a708222d1209817f99964965281df7.png"",""type"":""image/png""}]","[{""address"":""MEXuhNRByHZmdL8e9C7nhS9SZ8WrNQ6WeWDWBeEQ8u4"",""share"":100}]","","Cops Game is a collection of P2E NFT mult-staking game on the Solana blockchain"
"[""A9ajXDuhEsoY7dekvQXdCreawVHkqZy5DJr5XTfxri6m"",""MEXuhNRByHZmdL8e9C7nhS9SZ8WrNQ6WeWDWBeEQ8u4""]","Robber#44416","[0,100]","","https://copsgame.s3-us-west-1.amazonaws.com/gen3/metadata/86b2caf678251cfdd9841cf37ee067ac.json","[1,0]",true,"351T43uiAeRJwDLySLixQ9fFiQyHvn88qUdAHn6FttrJ",true,"MEXuhNRByHZmdL8e9C7nhS9SZ8WrNQ6WeWDWBeEQ8u4","https://explorer.solana.com/address/351T43uiAeRJwDLySLixQ9fFiQyHvn88qUdAHn6FttrJ",500,"https://cops.game/","Robber#44416","[{""trait_type"":""Skin"",""value"":""Black""},{""trait_type"":""Feet"",""value"":""Sandals""},{""trait_type"":""Pants"",""value"":""Black""},{""trait_type"":""Outfit"",""value"":""Normal""},{""trait_type"":""Face"",""value"":""Coolio""},{""trait_type"":""Hat"",""value"":""Peaky""},{""trait_type"":""Type"",""value"":""Robber""},{""trait_type"":""Generation"",""value"":""Gen 3""}]","https://copsgame.s3-us-west-1.amazonaws.com/gen3/images/86b2caf678251cfdd9841cf37ee067ac.png","image","[{""uri"":""https://copsgame.s3-us-west-1.amazonaws.com/gen3/images/86b2caf678251cfdd9841cf37ee067ac.png"",""type"":""image/png""}]","[{""address"":""MEXuhNRByHZmdL8e9C7nhS9SZ8WrNQ6WeWDWBeEQ8u4"",""share"":100}]","","Cops Game is a collection of P2E NFT mult-staking game on the Solana blockchain"
"[""9UzNR7kC4hrqt55Gv1wjPDpxnsN6nh4Zw76V7MDeajEj"",""3yt9YacNHriS3mdmhKt87AFAQHPKxnFQ1F7Qd61TiqRv""]","Wealthy Whale #768","[0,100]","WW","https://arweave.net/PRlpOO3JNEN_RQ0shhB5lkIIRIOoIxmrA9uH_n0X0Zw","[1,0]",true,"ELnftCPqfSudyVKMUXrS8H4RMrBMSStbN6PNMRoaTjGL",true,"3yt9YacNHriS3mdmhKt87AFAQHPKxnFQ1F7Qd61TiqRv","https://explorer.solana.com/address/ELnftCPqfSudyVKMUXrS8H4RMrBMSStbN6PNMRoaTjGL",500,"","Wealthy Whale #768","[{""trait_type"":""Background"",""value"":""Beach""},{""trait_type"":""Body"",""value"":""BW""},{""trait_type"":""Eyes"",""value"":""Normal""},{""trait_type"":""Clothes"",""value"":""Farmer Clothes""},{""trait_type"":""Necklace"",""value"":""Bone Necklace""},{""trait_type"":""Mouth"",""value"":""Tongue Out""},{""trait_type"":""Ears"",""value"":""None""},{""trait_type"":""Hat"",""value"":""Mohawk""},{""trait_type"":""Pet"",""value"":""Krill""},{""display_type"":""number"",""trait_type"":""sequence"",""value"":768}]","https://www.arweave.net/8K63OPhqgPnMGfHIqC6B3ctFL5CuSKQEkNKRu4LsEHk?ext=png","image",,"[{""address"":""3yt9YacNHriS3mdmhKt87AFAQHPKxnFQ1F7Qd61TiqRv"",""verified"":true,""share"":100}]","WW","Wealthy Whale #768"
"[""H34umduSsoX8hkWbf5CFh5Joexjrc9adSNHEsdgCJcQW""]","Shadow Girl #058","[100]","","https://arweave.net/qDJ47oDQNOHWvWuOVKn6t8Pn3c9W0Vau_jRAvZJHXjk","[1]",true,"3CgVivcbapnEvvgfefHbWVk2Y8H1aoxceaDQVjEc7Sv2",false,"H34umduSsoX8hkWbf5CFh5Joexjrc9adSNHEsdgCJcQW","https://explorer.solana.com/address/3CgVivcbapnEvvgfefHbWVk2Y8H1aoxceaDQVjEc7Sv2",500,"","Shadow Girl #058",,"https://www.arweave.net/cwLZu0YFyMFJiau_hfi77MM_7MTOUZlV5I55jd6v-Cg?ext=jpeg","image","[{""uri"":""https://www.arweave.net/cwLZu0YFyMFJiau_hfi77MM_7MTOUZlV5I55jd6v-Cg?ext=jpeg"",""type"":""image/jpeg""}]","[{""address"":""H34umduSsoX8hkWbf5CFh5Joexjrc9adSNHEsdgCJcQW"",""share"":100}]","","Collectible AI generated girls. Only 100 will be minted."
