"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.external_url","metaResult.attributes","metaResult.collection.name","metaResult.collection.family","metaResult.properties.files","metaResult.properties.category","metaResult.properties.creators"
"[""Hvq6K3BvaBZFQyYYoc3gxwh4ahFWvbLVuTp6UWgfXfMT"",""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC""]","Pixel Racers #5133","[0,100]","PXR","https://arweave.net/ZQWJ-pTsdFa7NIrpQLMptskRfp3kovMXxaZLtvA0GM0","[1,0]",true,"4PKVmfgFJDkQGgcjPQg8CNiZgZGxDSDZAvbfhiUdv1mg",true,"2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC","https://explorer.solana.com/address/4PKVmfgFJDkQGgcjPQg8CNiZgZGxDSDZAvbfhiUdv1mg","Pixel Racers #5133","PXR","Pixel Racers is an NFT collection and gaming ecosystem on the Solana blockchain.",0,"https://www.arweave.net/Z7FWmU91LYktDbcVnAcnuIvblC1P3nHx68WC9avVcz4","https://pixelracers.io","[{""trait_type"":""Background"",""value"":""Warehouse""},{""trait_type"":""Body Type"",""value"":""Minivan""},{""trait_type"":""Body Color"",""value"":""Green""},{""trait_type"":""Body Stripe"",""value"":""None""},{""trait_type"":""Window Color"",""value"":""Black""},{""trait_type"":""Wheel Type"",""value"":""Four Spoke Bold""},{""trait_type"":""Wheel Color"",""value"":""Red""},{""trait_type"":""Trail"",""value"":""Red""}]","Pixel Racers Gen1","Pixel Racers","[{""uri"":""https://pxr-cars-gen1.s3.us-east-2.amazonaws.com/221acd73-d963-418b-b17a-d44897b03c51.png"",""type"":""image/png"",""cdn"":true}]","image","[{""address"":""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC"",""share"":100}]"
"[""Hvq6K3BvaBZFQyYYoc3gxwh4ahFWvbLVuTp6UWgfXfMT"",""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC""]","Pixel Racers #5651","[0,100]","PXR","https://arweave.net/U2EJcxg4ypOgzeutDXO811kh9STPhu5_Az7LtY3THAg","[1,0]",true,"DFSQbXngq4xXNP8cewdF6Tke6LveLBZ6uZAvgZMG3aX4",true,"2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC","https://explorer.solana.com/address/DFSQbXngq4xXNP8cewdF6Tke6LveLBZ6uZAvgZMG3aX4","Pixel Racers #5651","PXR","Pixel Racers is an NFT collection and gaming ecosystem on the Solana blockchain.",0,"https://www.arweave.net/iQoJwtAlz-2PmCsg-Hv7Qy2Bxe4vtKjqVLomp-qNAxQ","https://pixelracers.io","[{""trait_type"":""Background"",""value"":""Plain White""},{""trait_type"":""Body Type"",""value"":""Coupe""},{""trait_type"":""Body Color"",""value"":""Gray""},{""trait_type"":""Body Stripe"",""value"":""None""},{""trait_type"":""Window Color"",""value"":""Black""},{""trait_type"":""Wheel Type"",""value"":""Cross""},{""trait_type"":""Wheel Color"",""value"":""Green""},{""trait_type"":""Trail"",""value"":""Gray""}]","Pixel Racers Gen1","Pixel Racers","[{""uri"":""https://pxr-cars-gen1.s3.us-east-2.amazonaws.com/1cbec0e5-de1b-4ebd-a04f-071a82c056a3.png"",""type"":""image/png"",""cdn"":true}]","image","[{""address"":""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC"",""share"":100}]"
"[""Hvq6K3BvaBZFQyYYoc3gxwh4ahFWvbLVuTp6UWgfXfMT"",""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC""]","Pixel Racers #6722","[0,100]","PXR","https://arweave.net/L5S6mJjqYsSAeSCarTE_wN1Z-n359cisLzaKQJTD3Qc","[1,0]",true,"EWL6eo5AiJPiPqBqVVXDbhc2fwYppAYASrCzMcb7ZNCw",true,"2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC","https://explorer.solana.com/address/EWL6eo5AiJPiPqBqVVXDbhc2fwYppAYASrCzMcb7ZNCw","Pixel Racers #6722","PXR","Pixel Racers is an NFT collection and gaming ecosystem on the Solana blockchain.",0,"https://www.arweave.net/LuxbIx5jVnuCmATvCSmpYMPOFO-E-zWGOBmiOgRZscQ","https://pixelracers.io","[{""trait_type"":""Background"",""value"":""Plain White""},{""trait_type"":""Body Type"",""value"":""SUV""},{""trait_type"":""Body Color"",""value"":""Yellow""},{""trait_type"":""Body Stripe"",""value"":""None""},{""trait_type"":""Window Color"",""value"":""Black""},{""trait_type"":""Wheel Type"",""value"":""Cross""},{""trait_type"":""Wheel Color"",""value"":""Yellow""},{""trait_type"":""Trail"",""value"":""Turquoise""}]","Pixel Racers Gen1","Pixel Racers","[{""uri"":""https://pxr-cars-gen1.s3.us-east-2.amazonaws.com/703b5aac-8535-4505-a06f-42917248cf22.png"",""type"":""image/png"",""cdn"":true}]","image","[{""address"":""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC"",""share"":100}]"
"[""ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk"",""Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h""]","SOLGods 2420","[0,100]","SOLGods","https://arweave.net/asGru9ldMlXEemXb2rTx0uRziwlv3bUX6jITI_a7uVI","[1,0]",true,"3ZD9enDnKGr4NhbV8XDf9MsXGdAX8Sfup5ZtmBKXepKK",true,"41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM","https://explorer.solana.com/address/3ZD9enDnKGr4NhbV8XDf9MsXGdAX8Sfup5ZtmBKXepKK","SOLGods 2420","SOLGods",,500,"https://www.arweave.net/ICI9xQXeamzH7Kw_L2clmvpu5sBsI2J1v_I9HgNBn_8?ext=png",,"[{""trait_type"":""Background"",""value"":""Orange""},{""trait_type"":""Code"",""value"":""None""},{""trait_type"":""Back"",""value"":""None""},{""trait_type"":""Character"",""value"":""White""},{""trait_type"":""Torso"",""value"":""Monk""},{""trait_type"":""Eyes"",""value"":""Voodoo""},{""trait_type"":""Face"",""value"":""Binary""},{""trait_type"":""Head"",""value"":""Horns White""}]","SOLGods","SOLGods","[{""uri"":""https://www.arweave.net/ICI9xQXeamzH7Kw_L2clmvpu5sBsI2J1v_I9HgNBn_8?ext=png"",""type"":""image/png""}]",,"[{""address"":""Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h"",""share"":92},{""address"":""5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J"",""share"":8}]"
"[""5nGgEdW3ePQiSvdHswWY4JAmd61MuYeFMkogNm1obkxz"",""engioQb5PycxnQZTmU7umXj67JGBx9fVAhaKYJKw5Ab""]","Pixel Racers Engine #10634","[0,100]","PXRE","https://arweave.net/jlUnGk8t8Ftv8hjPcuzGx8vTntkrCRbpfEk8spGsW2g","[1,0]",true,"2cJ3ZnpHdJo8Zj2VnzV9X2Zxoy3nrLuPEqT51WmNnbhH",true,"engioQb5PycxnQZTmU7umXj67JGBx9fVAhaKYJKw5Ab","https://explorer.solana.com/address/2cJ3ZnpHdJo8Zj2VnzV9X2Zxoy3nrLuPEqT51WmNnbhH","Pixel Racers Engine #10634","PXRE","Pixel Racers is an NFT collection and gaming ecosystem on the Solana blockchain.",0,"https://www.arweave.net/YQgv5e2oIIECiJH4NPM5zmWlbkPseun5kane0zgK0Wc","https://pixelracers.io","[{""trait_type"":""Acceleration"",""value"":""Level 2""},{""trait_type"":""Top Speed"",""value"":""Level 3""},{""trait_type"":""Handling"",""value"":""Level 6""},{""trait_type"":""Zone 1"",""value"":""Level 1""},{""trait_type"":""Zone 2"",""value"":""Level 1""},{""trait_type"":""Zone 3"",""value"":""Level 3""}]","Pixel Racers Gen1 Engines","Pixel Racers","[{""uri"":""https://pixelracers-cars-gen1.s3.us-east-2.amazonaws.com/11da4a2a-32d8-47d2-8c6d-f1025418eb31.png"",""type"":""image/png"",""cdn"":true}]","image","[{""address"":""engioQb5PycxnQZTmU7umXj67JGBx9fVAhaKYJKw5Ab"",""share"":100}]"
"[""Hvq6K3BvaBZFQyYYoc3gxwh4ahFWvbLVuTp6UWgfXfMT"",""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC""]","Pixel Racers #5016","[0,100]","PXR","https://arweave.net/fvTI18-rI_fD4rgZo0LeM4ByfnpqdBElcyDDsimnRjg","[1,0]",true,"E138YKNR7QcrN8PZbpZXJCJSthh4YorCZ7EqYUi91HN2",true,"2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC","https://explorer.solana.com/address/E138YKNR7QcrN8PZbpZXJCJSthh4YorCZ7EqYUi91HN2","Pixel Racers #5016","PXR","Pixel Racers is an NFT collection and gaming ecosystem on the Solana blockchain.",0,"https://www.arweave.net/Cibmj2tV0r4xhzF4BeO7BF75nR-7DRgrUd5N0_8kQ9g","https://pixelracers.io","[{""trait_type"":""Background"",""value"":""Warehouse""},{""trait_type"":""Body Type"",""value"":""Supercar""},{""trait_type"":""Body Color"",""value"":""Blue""},{""trait_type"":""Body Stripe"",""value"":""None""},{""trait_type"":""Window Color"",""value"":""Black""},{""trait_type"":""Wheel Type"",""value"":""Amplification""},{""trait_type"":""Wheel Color"",""value"":""Orange""},{""trait_type"":""Trail"",""value"":""Red""}]","Pixel Racers Gen1","Pixel Racers","[{""uri"":""https://pxr-cars-gen1.s3.us-east-2.amazonaws.com/9402a8f1-45da-4807-ba2e-8ff69368db57.png"",""type"":""image/png"",""cdn"":true}]","image","[{""address"":""2DKEWhzzkpcMQaRdGU8ccptsLhVP94Z6XXkSuvQV5QcC"",""share"":100}]"
"[""ERsgA8dBo7a36GT8DxNEphb3yqYX2TBvwUQKGsopKZW8"",""86ZSXoVyVdEFc64bdbwZ3HfpGP4P4SqgRaLGvmbZudyK"",""Dqo9LGK7z52QX7XhF9hagDRdqw2dLzGnX5bD7Wdxe5id"",""44zYxeNih2cF37NH4372W12r3g3LARUHdnYXo7pC3kYt"",""68nePjrt3TcpG4KsJcGtaQhUePPExeUtS4tda2dZcMQP""]","MONKETTE BABY #3604","[0,20,25,25,30]","MONK","https://monkette-babies.s3.amazonaws.com/assets/3604.json","[1,0,0,0,0]",true,"8QRaY8Z35YPyC8x7wyZeKuWGibVvbkrJvcW98Q4DUUeJ",true,"8CpuCcQbN4Q7N5Y8eGB1yXirWZ9ZFRDGaKs5o3XBfC6J","https://explorer.solana.com/address/8QRaY8Z35YPyC8x7wyZeKuWGibVvbkrJvcW98Q4DUUeJ","MONKETTE BABY #3604","MONK","5555 generative Monkette babies inspired by @SolanaMBS and @SolanaMTBS",700,"https://monkette-babies.s3.amazonaws.com/assets/3604.png","https://monkettebabies.io","[{""trait_type"":""background"",""value"":""Yellow""},{""trait_type"":""skin"",""value"":""Alien""},{""trait_type"":""clothes"",""value"":""White Jacket""},{""trait_type"":""earrings"",""value"":""none""},{""trait_type"":""eyes"",""value"":""none""},{""trait_type"":""hat"",""value"":""Ice Cream""},{""trait_type"":""lipstick"",""value"":""Green""}]","Solana Monkette Babies","@SolanaMBS x @SolanaMTBS","[{""uri"":""https://monkette-babies.s3.amazonaws.com/assets/3604.png"",""type"":""image/png""}]","image","[{""address"":""86ZSXoVyVdEFc64bdbwZ3HfpGP4P4SqgRaLGvmbZudyK"",""share"":20},{""address"":""Dqo9LGK7z52QX7XhF9hagDRdqw2dLzGnX5bD7Wdxe5id"",""share"":25},{""address"":""44zYxeNih2cF37NH4372W12r3g3LARUHdnYXo7pC3kYt"",""share"":25},{""address"":""68nePjrt3TcpG4KsJcGtaQhUePPExeUtS4tda2dZcMQP"",""share"":30}]"
"[""ERsgA8dBo7a36GT8DxNEphb3yqYX2TBvwUQKGsopKZW8"",""86ZSXoVyVdEFc64bdbwZ3HfpGP4P4SqgRaLGvmbZudyK"",""Dqo9LGK7z52QX7XhF9hagDRdqw2dLzGnX5bD7Wdxe5id"",""44zYxeNih2cF37NH4372W12r3g3LARUHdnYXo7pC3kYt"",""68nePjrt3TcpG4KsJcGtaQhUePPExeUtS4tda2dZcMQP""]","MONKETTE BABY #3598","[0,20,25,25,30]","MONK","https://monkette-babies.s3.amazonaws.com/assets/3598.json","[1,0,0,0,0]",true,"8sZ6S7mUsndPVKUmtDqzm6xmyokoGoTnSekJwAMNdqmA",true,"8CpuCcQbN4Q7N5Y8eGB1yXirWZ9ZFRDGaKs5o3XBfC6J","https://explorer.solana.com/address/8sZ6S7mUsndPVKUmtDqzm6xmyokoGoTnSekJwAMNdqmA","MONKETTE BABY #3598","MONK","5555 generative Monkette babies inspired by @SolanaMBS and @SolanaMTBS",700,"https://monkette-babies.s3.amazonaws.com/assets/3598.png","https://monkettebabies.io","[{""trait_type"":""background"",""value"":""Blue""},{""trait_type"":""skin"",""value"":""Black""},{""trait_type"":""clothes"",""value"":""Red Jacket""},{""trait_type"":""earrings"",""value"":""none""},{""trait_type"":""eyes"",""value"":""Blue""},{""trait_type"":""hat"",""value"":""Headphones""},{""trait_type"":""lipstick"",""value"":""Blue""}]","Solana Monkette Babies","@SolanaMBS x @SolanaMTBS","[{""uri"":""https://monkette-babies.s3.amazonaws.com/assets/3598.png"",""type"":""image/png""}]","image","[{""address"":""86ZSXoVyVdEFc64bdbwZ3HfpGP4P4SqgRaLGvmbZudyK"",""share"":20},{""address"":""Dqo9LGK7z52QX7XhF9hagDRdqw2dLzGnX5bD7Wdxe5id"",""share"":25},{""address"":""44zYxeNih2cF37NH4372W12r3g3LARUHdnYXo7pC3kYt"",""share"":25},{""address"":""68nePjrt3TcpG4KsJcGtaQhUePPExeUtS4tda2dZcMQP"",""share"":30}]"
"[""3kvCxLjviJHWZKjjTRFzz69KfqX7MKbe6R6r2JvrcqZZ"",""8bZXQYaU3eHQG9mzzrM7aHMkedmuNaZsHq4unYCw6VTm""]","SOL Parasite #1295","[0,100]","PRST","https://sol-parasites.s3.us-west-2.amazonaws.com/meta/1295.json","[1,0]",true,"Ge3w6bsGpbrZjxvjm6YBXjRYktjm5R1GXtLWUomr8D9a",true,"8bZXQYaU3eHQG9mzzrM7aHMkedmuNaZsHq4unYCw6VTm","https://explorer.solana.com/address/Ge3w6bsGpbrZjxvjm6YBXjRYktjm5R1GXtLWUomr8D9a","SOL Parasite #1295","PRST","10,000 NFT Parasites finding their hosts on the Solana Blockchain.",1900,"https://sol-parasites.s3.us-west-2.amazonaws.com/img/1295.jpg","https://solparasites.com","[]","SOL Parasites",,"[{""uri"":""https://sol-parasites.s3.us-west-2.amazonaws.com/img/1295.jpg"",""type"":""image/jpeg""}]","image","[{""address"":""8bZXQYaU3eHQG9mzzrM7aHMkedmuNaZsHq4unYCw6VTm"",""share"":100}]"
"[""ERsgA8dBo7a36GT8DxNEphb3yqYX2TBvwUQKGsopKZW8"",""86ZSXoVyVdEFc64bdbwZ3HfpGP4P4SqgRaLGvmbZudyK"",""Dqo9LGK7z52QX7XhF9hagDRdqw2dLzGnX5bD7Wdxe5id"",""44zYxeNih2cF37NH4372W12r3g3LARUHdnYXo7pC3kYt"",""68nePjrt3TcpG4KsJcGtaQhUePPExeUtS4tda2dZcMQP""]","MONKETTE BABY #3606","[0,20,25,25,30]","MONK","https://monkette-babies.s3.amazonaws.com/assets/3606.json","[1,0,0,0,0]",true,"8RjvsvHJx2qHKY4nvN4HgBhsp6DM8wrStzVQZR2fUJKk",true,"8CpuCcQbN4Q7N5Y8eGB1yXirWZ9ZFRDGaKs5o3XBfC6J","https://explorer.solana.com/address/8RjvsvHJx2qHKY4nvN4HgBhsp6DM8wrStzVQZR2fUJKk","MONKETTE BABY #3606","MONK","5555 generative Monkette babies inspired by @SolanaMBS and @SolanaMTBS",700,"https://monkette-babies.s3.amazonaws.com/assets/3606.png","https://monkettebabies.io","[{""trait_type"":""background"",""value"":""Red""},{""trait_type"":""skin"",""value"":""Brown""},{""trait_type"":""clothes"",""value"":""Black Jacket""},{""trait_type"":""earrings"",""value"":""Silver""},{""trait_type"":""eyes"",""value"":""none""},{""trait_type"":""hat"",""value"":""none""},{""trait_type"":""lipstick"",""value"":""Orange""}]","Solana Monkette Babies","@SolanaMBS x @SolanaMTBS","[{""uri"":""https://monkette-babies.s3.amazonaws.com/assets/3606.png"",""type"":""image/png""}]","image","[{""address"":""86ZSXoVyVdEFc64bdbwZ3HfpGP4P4SqgRaLGvmbZudyK"",""share"":20},{""address"":""Dqo9LGK7z52QX7XhF9hagDRdqw2dLzGnX5bD7Wdxe5id"",""share"":25},{""address"":""44zYxeNih2cF37NH4372W12r3g3LARUHdnYXo7pC3kYt"",""share"":25},{""address"":""68nePjrt3TcpG4KsJcGtaQhUePPExeUtS4tda2dZcMQP"",""share"":30}]"
