"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.attributes","metaResult.properties.files","metaResult.properties.creators","metaResult.properties.category","metaResult.collection.name","metaResult.collection.family"
"[""GqnjTmBMmhmJLjCewpPKXBNJHmeUBSDHPDhGuyU7FRmM"",""EpzzDk3bBJXR7ivs8NtkwVQN9tszfkZdXFr4iVBBMW4c"",""HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX""]","Nest#4039","[0,90,10]","","https://arweave.net/Yc-Waq05HprTuyTbIwOo6IsN3wed3KFOn6OGKDzacDw","[1,0,0]",true,"6CFQ7JeRhTdXj4jbYSUy9RLjxjWBfpa8fpo4X56GbaKN",true,"9xDvXukE4aWrV1zpvE9tTjdjvgyt35j6Y2CXXUtCJAcd","https://explorer.solana.com/address/6CFQ7JeRhTdXj4jbYSUy9RLjxjWBfpa8fpo4X56GbaKN","Nest","","Tiny Colonies are Virtual Lands of the Tinyverse. Heroes and Creatures; those that have no Kingdom, come from all over the land to live in the FreeLands. Whether they fell during battle, only to get up and be forgotten, or they were taken captive and escaped. So many have made the FreeLand their home.",1000,"https://arweave.net/X9v5ULpgsm-jIWr_UA0DhctjjgPVpPLO_xmcKxe3530","[{""trait_type"":""Colony Theme"",""value"":""Green Forest""},{""trait_type"":""Colour on Globe"",""value"":""Forest Green""}]","[{""type"":""image/gif"",""uri"":""https://arweave.net/X9v5ULpgsm-jIWr_UA0DhctjjgPVpPLO_xmcKxe3530""}]","[{""address"":""EpzzDk3bBJXR7ivs8NtkwVQN9tszfkZdXFr4iVBBMW4c"",""share"":90},{""address"":""HMduKVo3A19U5EpQdEhPjo9hq9zfZXn8aGVYZp7Vc7fX"",""share"":10}]","image","Nest","Tiny Colony - Virtual Lands"
"[""GALAqeL3LHqYi8dxT6FYEvT9JpDHsNhG3rqaUGs4rBTD"",""EFAvEZT7Lr1ZiH6VciGTFdjZNt6HaXVkeaprgZQbHNhz""]","Goshfather X Papaki - Airdrop","[0,100]","NGRELEASES","https://ipfs.io/ipfs/QmNhiD5GJVxzygLM2tCY8waQt41ETJdxMT1qRjk4DVJECH","[0,0]",false,"F3ctpXb7BDn9gUBht9pencP5ffoUAXU8HhKuD5DCRrEt",false,"69haFbP4YRmPuAejpHvtcNVR1CuNcVYSSMwAhcXWP9tb","https://explorer.solana.com/address/F3ctpXb7BDn9gUBht9pencP5ffoUAXU8HhKuD5DCRrEt","Goshfather X Papaki - Airdrop","NGRELEASES","Genesis song releases from the Net Gala collection.",1000,"https://ipfs.io/ipfs/QmYiJKTYC7HJ2Z1Hfz3aGg9ubU1JsnCsgdVRdwRoUA6JgP","[{""trait_type"":""Song"",""value"":""Airdrop""},{""trait_type"":""Artist"",""value"":""Goshfather X Papaki""}]","[{""uri"":""https://ipfs.io/ipfs/QmYiJKTYC7HJ2Z1Hfz3aGg9ubU1JsnCsgdVRdwRoUA6JgP"",""type"":""image/png""},{""uri"":""https://ipfs.io/ipfs/QmRpV8BGTff9aDUHQ9WTL8KNR5eA9Tv3hJhAsX3fgdSSzZ"",""type"":""video/mp4""}]","[{""address"":""GALAqeL3LHqYi8dxT6FYEvT9JpDHsNhG3rqaUGs4rBTD"",""share"":0},{""address"":""EFAvEZT7Lr1ZiH6VciGTFdjZNt6HaXVkeaprgZQbHNhz"",""share"":100}]","video",,
"[""FcnqjXeJrJ7uEjQrJ8HCajh8pYty8tSugF9DdSQVXJR5"",""J6vK7PmyNX3tBbxzKz6TywKpoExitFunBYRj6VEDCaRj"",""Cj9SJuukKUGn7ouatiyeM37eD8uA9fCdC3xobc8w1KXr""]","SVA Bike #5368","[0,80,20]","SVA Mount","https://mount-metadata.sovanadao.com/5368.json","[1,0,0]",true,"BMuTW4PYkry11uPTDHW9ZDRhestKjzbcfMYQhQg3nqNJ",true,"CtxLD6Lrh8GdG8bCXsnLo7YvhhsTdrLdeWbt46n36ttz","https://explorer.solana.com/address/BMuTW4PYkry11uPTDHW9ZDRhestKjzbcfMYQhQg3nqNJ","SVA Bike #5368","SVA Mount","Sovana mounts are a much sought after form of transportation. They can facilitate exploration, be useable in games and events across the metaverse!",800,"https://www.arweave.net/RlmXVGrnu_krLZqlZEn207vJGCdCHhukX0RHfKXr-TA?ext=gif","[{""value"":""SVA Bike"",""trait_type"":""Name""},{""value"":""A"",""trait_type"":""Class""},{""value"":""61"",""trait_type"":""Speed""},{""value"":""92"",""trait_type"":""Shield""},{""value"":""87"",""trait_type"":""Nitro""},{""value"":""Dream"",""trait_type"":""Plating""},{""value"":""Yellow"",""trait_type"":""Frame""}]","[{""uri"":""https://www.arweave.net/RlmXVGrnu_krLZqlZEn207vJGCdCHhukX0RHfKXr-TA?ext=gif"",""type"":""image/gif""}]","[{""address"":""J6vK7PmyNX3tBbxzKz6TywKpoExitFunBYRj6VEDCaRj"",""share"":80},{""address"":""Cj9SJuukKUGn7ouatiyeM37eD8uA9fCdC3xobc8w1KXr"",""share"":20}]","image",,
"[""617G5CJVtxxJDPVYa6Y2Gm4fjRZfEsb7LsQhVdcNsD3N"",""FRZDPnBcWtxfmqUiZqVLf85hdidhBuaRsUmvfwNZ8KRm""]","22 Alossis Drive","[0,100]","CRYPTOCRIB","https://arweave.net/fbgycubeE4dcsBBjEtNX-CJ8x473fYgEC9dR1kZmyXs","[1,1]",true,"CGweuzxB9fXX17Z11WrPyeHAGvoTNx99cKSAfkGkA3pF",true,"FRZDPnBcWtxfmqUiZqVLf85hdidhBuaRsUmvfwNZ8KRm","https://explorer.solana.com/address/CGweuzxB9fXX17Z11WrPyeHAGvoTNx99cKSAfkGkA3pF","22 Alossis Drive","CRYPTOCRIB","CryptoCribs is a collection of one-of-a-kind lo-fi inspired homes residing in the meta city of Lunia.",500,"https://arweave.net/MoiKGVGZCcDU8Mg73nXQsG3Y2TwbiyJbLYF2aUf6FNo","[{""trait_type"":""Street"",""value"":""Alossis Drive""},{""trait_type"":""Background"",""value"":""Mountains""},{""trait_type"":""Base"",""value"":""Staggered""},{""trait_type"":""Color"",""value"":""Phantom Black""},{""trait_type"":""Rear"",""value"":""Stool""},{""trait_type"":""Left"",""value"":""Ice Sign""},{""trait_type"":""Walkway"",""value"":""Footbridge""},{""trait_type"":""Front Entrance"",""value"":""Door""},{""trait_type"":""Front Window"",""value"":""Rigid""},{""trait_type"":""Front"",""value"":""Pavement Board""},{""trait_type"":""Right"",""value"":""Neon Signs""},{""trait_type"":""Roof Left"",""value"":""Vine Pot""},{""trait_type"":""Roof Right"",""value"":""Attic""},{""trait_type"":""Right Corner"",""value"":""Fire Hydrant""}]","[{""type"":""image/png"",""uri"":""https://arweave.net/MoiKGVGZCcDU8Mg73nXQsG3Y2TwbiyJbLYF2aUf6FNo""}]","[{""address"":""FRZDPnBcWtxfmqUiZqVLf85hdidhBuaRsUmvfwNZ8KRm"",""share"":100}]","image","CryptoCribs","CryptoCribs"
"[""FPgRG5BKztLr2aXYThwCnhJNRkUKKAbXBZNKg4hSMRKf"",""CkqwmiE23pxJ9ummSmc3y8VPd5VUWpdJpNsYRNDXYzCa"",""NTbqs5ir7X7uMYQtqbcpzi6r9AnwnWZZ5jZUHHZy5dx"",""2JsYLM3WdsqLjYGfnpa4Harwx3VPWDDkBtGkvrkEQBJi""]","The Aces NFT #3288","[0,15,15,70]","ACES","https://arweave.net/WrkT6R29fb2XmpRImmzTtSMctr1kz3PeXLn0S62iZvs","[1,0,0,0]",true,"37gY4rgtosFkK1B7KnZKYrfEfN7ABoioTjgGHuo4aqcv",true,"2J9HZSVM2CsFNQ2WC6SYZYuh8uL4E9iLZbXcSnqrLZrY","https://explorer.solana.com/address/37gY4rgtosFkK1B7KnZKYrfEfN7ABoioTjgGHuo4aqcv","The Aces NFT #3288","ACES","The Aces NFT",700,"https://arweave.net/EAawvLPPYSiNrDbcgBjuTRtwli8cMzXqxHTBWisN45c","[{""trait_type"":""Deck"",""value"":""4silverdeck""},{""trait_type"":""Suit"",""value"":""hearts""},{""trait_type"":""Value"",""value"":""2""},{""trait_type"":""Base"",""value"":""pink""},{""trait_type"":""Pattern"",""value"":""heartspattern3-1""},{""trait_type"":""Feature"",""value"":""catprints3""}]","[{""type"":""image/png"",""uri"":""https://arweave.net/EAawvLPPYSiNrDbcgBjuTRtwli8cMzXqxHTBWisN45c""}]","[{""address"":""CkqwmiE23pxJ9ummSmc3y8VPd5VUWpdJpNsYRNDXYzCa"",""share"":15},{""address"":""NTbqs5ir7X7uMYQtqbcpzi6r9AnwnWZZ5jZUHHZy5dx"",""share"":15},{""address"":""2JsYLM3WdsqLjYGfnpa4Harwx3VPWDDkBtGkvrkEQBJi"",""share"":70}]","image",,
"[""CstvJBVkQKHFWS7tCHpKUAuh57fknEXsVQQHgv7XTqvq"",""HCpbxcqdQEU5r2jhMSnKghYUtynSzRuW5SZi1fgS33bi"",""FtCdeEViBTwdcW5WkJRfxSmsiFudgb9mJpDyYpoC8KoQ""]","Toon Wabbits #1906","[0,40,60]","","https://ipfs.io/ipfs/QmdNgJhqAY7NAmxTGkvE2UuJYJCmkVCX9NoXXhJ9zoz1LC","[1,0,0]",true,"HwmEHdW2NP1Awo56QVubEAFsmk2jMExH3fXANu9HUVmC",true,"3FGvXP1kvcYqPHrpC5dQHxhRsR47vRXM4uYAGeSVLPKr","https://explorer.solana.com/address/HwmEHdW2NP1Awo56QVubEAFsmk2jMExH3fXANu9HUVmC","Toon Wabbits #1906","","Toon Wabbits is the second drop into the multiverse of Wabbits! They mimic their transdimensional pixel cousins with the same traits and rarities just into the world of Tooooon.",500,"https://ipfs.io/ipfs/QmP7QotRL7EyDb3SBDCrAtDCcKPpsYZ9WtULhTXJD35vaP","[{""trait_type"":""Backgrounds"",""value"":""Pink""},{""trait_type"":""Body"",""value"":""Blue""},{""trait_type"":""Eyes"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Neck"",""value"":""None""},{""trait_type"":""Head"",""value"":""Pink_Rag""}]","[{""uri"":""https://ipfs.io/ipfs/QmP7QotRL7EyDb3SBDCrAtDCcKPpsYZ9WtULhTXJD35vaP"",""type"":""image/png""}]","[{""address"":""HCpbxcqdQEU5r2jhMSnKghYUtynSzRuW5SZi1fgS33bi"",""share"":40},{""address"":""FtCdeEViBTwdcW5WkJRfxSmsiFudgb9mJpDyYpoC8KoQ"",""share"":60}]","image","Toon Wabbits","Toon Wabbits"
"[""BNaDSC3g8fgf8BebB8ovKefScNKjHotZsTeVJ33LL53h"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""8VAHrpJ9nsqRLaujbzpuCxhAhjsE8wA4ZvUHwx2VZw3y"",""3NpvpHGwHAMYhiuB9GrMXSYqKSj16L2LSHR9czFPWbLu""]","Guild Hero #1992","[0,10,90,0]","GLDHERO","https://bafybeibfdn4y4zigpkse4zk6xhbq7tu5s45qavphca2yash5lhx4r46wqe.ipfs.dweb.link/8731.json","[1,0,0,0]",true,"HmBFm4WPG8Tu3e5wJmukxqWTcd3btCNBn8R9aePuSASb",true,"3NpvpHGwHAMYhiuB9GrMXSYqKSj16L2LSHR9czFPWbLu","https://explorer.solana.com/address/HmBFm4WPG8Tu3e5wJmukxqWTcd3btCNBn8R9aePuSASb","Guild Hero #1992","GLDHERO","A humble member of the Heroes Guild and fated savior of the realm, this Hero is part of Guild Saga’s gen 0 NFT mint.",600,"https://gldhero-production.s3.amazonaws.com/1992.png","[{""trait_type"":""Rarity Level"",""value"":""Silver""},{""trait_type"":""Race"",""value"":""Volk""},{""trait_type"":""Gender"",""value"":""Female""},{""trait_type"":""Hair"",""value"":""Bob (White)""},{""trait_type"":""Eyes"",""value"":""Blue""},{""trait_type"":""Head"",""value"":""Bandit Face Covering""},{""trait_type"":""Clothing"",""value"":""Unworthy Rags""},{""trait_type"":""Back"",""value"":""none""},{""trait_type"":""Neck"",""value"":""Iceforged Necklace""},{""trait_type"":""Hands"",""value"":""Gilt Silver Gauntlets""},{""trait_type"":""Waist"",""value"":""Heavy Leather Belt""},{""trait_type"":""Finger (L)"",""value"":""Emerald Star""},{""trait_type"":""Finger (R)"",""value"":""Fowler's Lure""},{""trait_type"":""Feet"",""value"":""Wool Mage's Boots""},{""trait_type"":""Main-hand Weapon"",""value"":""Iceforged Lance""},{""trait_type"":""Off-hand Weapon"",""value"":""Embellished Wooden Buckler""},{""trait_type"":""Trinket"",""value"":""Tea Cup""},{""trait_type"":""Background"",""value"":""Oubliette""}]","[{""uri"":""https://gldhero-production.s3.amazonaws.com/1992.png"",""type"":""image/png""}]","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":10},{""address"":""8VAHrpJ9nsqRLaujbzpuCxhAhjsE8wA4ZvUHwx2VZw3y"",""share"":90},{""address"":""3NpvpHGwHAMYhiuB9GrMXSYqKSj16L2LSHR9czFPWbLu"",""share"":0}]","image","Guild Saga Heroes","Guild Saga"
"[""FPgRG5BKztLr2aXYThwCnhJNRkUKKAbXBZNKg4hSMRKf"",""CkqwmiE23pxJ9ummSmc3y8VPd5VUWpdJpNsYRNDXYzCa"",""NTbqs5ir7X7uMYQtqbcpzi6r9AnwnWZZ5jZUHHZy5dx"",""2JsYLM3WdsqLjYGfnpa4Harwx3VPWDDkBtGkvrkEQBJi""]","The Aces NFT #2932","[0,15,15,70]","ACES","https://arweave.net/ktvdmVHZdDb1Q0tbrEw-6N9-_9NHNDHkEyR37f25sLk","[1,0,0,0]",true,"B1C2AZbtXQ2nuUB1w5Be2PbziWqjJiuWuQ7eNhbgjJxt",true,"2J9HZSVM2CsFNQ2WC6SYZYuh8uL4E9iLZbXcSnqrLZrY","https://explorer.solana.com/address/B1C2AZbtXQ2nuUB1w5Be2PbziWqjJiuWuQ7eNhbgjJxt","The Aces NFT #2932","ACES","The Aces NFT",700,"https://arweave.net/RvCGtMu-xu6g-z8PEXyue82JZ7RUPUmQoW5xQ92y07I","[{""trait_type"":""Deck"",""value"":""7blackdeck""},{""trait_type"":""Suit"",""value"":""diamonds""},{""trait_type"":""Value"",""value"":""2 ""},{""trait_type"":""Base"",""value"":""pink""},{""trait_type"":""Pattern"",""value"":""diamondspattern1-3""},{""trait_type"":""Feature"",""value"":""arrow1""}]","[{""type"":""image/png"",""uri"":""https://arweave.net/RvCGtMu-xu6g-z8PEXyue82JZ7RUPUmQoW5xQ92y07I""}]","[{""address"":""CkqwmiE23pxJ9ummSmc3y8VPd5VUWpdJpNsYRNDXYzCa"",""share"":15},{""address"":""NTbqs5ir7X7uMYQtqbcpzi6r9AnwnWZZ5jZUHHZy5dx"",""share"":15},{""address"":""2JsYLM3WdsqLjYGfnpa4Harwx3VPWDDkBtGkvrkEQBJi"",""share"":70}]","image",,
"[""JA9mPSLcQLpUoCQMwT8GUqWoUtyhsQfawMWnEp4SKwBk"",""4dQqG3SVuAqtHy64mVp2BYEybXDjoXTFxRtDgCbsEyht"",""7uCWeriPZmEBFLvZmBc2UAUNgustuwkujWTqhJD9GoyD"",""2un3Rmho3BMq9cYdf2wPEfaTwdSXNP2A3bsa1WtKuyvM""]","Lana Frogs #4444","[50,1,39,10]","","https://bafkreiasrspjd6yvvjwsywtovtovufysxmhwagb2zgwfdpdasekk4z5aze.ipfs.dweb.link?ext=json","[1,0,0,0]",true,"822kvnQF1f2egfJB4qq5xAo6omzWtu9ou9FfqZ9TNs5u",false,"JA9mPSLcQLpUoCQMwT8GUqWoUtyhsQfawMWnEp4SKwBk","https://explorer.solana.com/address/822kvnQF1f2egfJB4qq5xAo6omzWtu9ou9FfqZ9TNs5u","Lana Frogs #4444","","A collection of the most ribbiting 4444 frogs, holding this NFT gives you access to our PondDAO and other exclusive benefits.",600,"https://bafkreic25n7uzregcau7va6vhla2oc5q4ctn4rdb5a2hddodkhz7ezagtu.ipfs.dweb.link?ext=png","[{""trait_type"":""Background"",""value"":""Lilac""},{""trait_type"":""Clothes"",""value"":""None""},{""trait_type"":""Eyes"",""value"":""Wide Open""},{""trait_type"":""Head"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""Smile""},{""trait_type"":""Skin"",""value"":""Purple""}]","[{""uri"":""https://bafkreic25n7uzregcau7va6vhla2oc5q4ctn4rdb5a2hddodkhz7ezagtu.ipfs.dweb.link?ext=png"",""type"":""image/png""}]","[{""address"":""JA9mPSLcQLpUoCQMwT8GUqWoUtyhsQfawMWnEp4SKwBk"",""share"":50},{""address"":""4dQqG3SVuAqtHy64mVp2BYEybXDjoXTFxRtDgCbsEyht"",""share"":1},{""address"":""7uCWeriPZmEBFLvZmBc2UAUNgustuwkujWTqhJD9GoyD"",""share"":39},{""address"":""2un3Rmho3BMq9cYdf2wPEfaTwdSXNP2A3bsa1WtKuyvM"",""share"":10}]","image",,
"[""F7LLzRMBc518ELGamzdRrnRV4F3FuuDwAVUsAUeDFdY6"",""FeaMSEyYCmkkwzo1czsH2MnuaZGP5thfBQiGrdnjtK1h""]","TheChickenz Origins #1093","[0,100]","TCO","https://arweave.net/7aXiJxINUx5DX1aRWLELZVqV-e9v6AJtvflBcnx_1ZQ","[1,0]",true,"5CiGN3Zx7RWX4bZ9tyWENe61UcT7wY6SDUgGinXGUQJp",true,"FeaMSEyYCmkkwzo1czsH2MnuaZGP5thfBQiGrdnjtK1h","https://explorer.solana.com/address/5CiGN3Zx7RWX4bZ9tyWENe61UcT7wY6SDUgGinXGUQJp","TheChickenz Origins #1093","TCO","TheChickenz Origins is a collection of 1,222 characters designed by Fabiola Colavecchio. By simply holding an NFT you will be able to share in the revenues of a Battle Royale mobile game. The 25% of monthly game profits are shared among 1,215 TheChickenz Origins NFTs, and an extra 10% of game profits are shared among 7 TheChickenz Origins Unique pieces. Stake your Chick to earn $CHICK.",500,"https://www.arweave.net/f1i7hzoX7aDk5bzLxYvDu6BA4rxFI8TMmLLKuvL81rE?ext=png","[{""trait_type"":""RARITY"",""value"":""Common""},{""trait_type"":""BREED"",""value"":""Chicken""},{""trait_type"":""MOUTH"",""value"":""None""},{""trait_type"":""CLOTHES"",""value"":""Wizard""},{""trait_type"":""EYES"",""value"":""Round""},{""trait_type"":""HAT"",""value"":""Crest""},{""trait_type"":""WEAPON"",""value"":""None""},{""trait_type"":""SHIELD"",""value"":""Pot""},{""trait_type"":""BACKGROUND"",""value"":""Gradient""},{""trait_type"":""COLOR"",""value"":""Pink""}]","[{""uri"":""https://www.arweave.net/f1i7hzoX7aDk5bzLxYvDu6BA4rxFI8TMmLLKuvL81rE?ext=png"",""type"":""image/png""}]","[{""address"":""FeaMSEyYCmkkwzo1czsH2MnuaZGP5thfBQiGrdnjtK1h"",""share"":100}]","image","TheChickenz Origins","TheChickenz Origins"
