"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.external_url","metaResult.attributes","metaResult.collection.name","metaResult.collection.family","metaResult.properties.files","metaResult.properties.category","metaResult.properties.maxSupply","metaResult.properties.creators","metaResult.image"
"[""4gpD4VJEuiPsnbs1JNNqHUYi3Dm51JJDaciysiq3q1AQ""]","Bull Empire #2283","[100]","","https://arweave.net/RJEbr033Sm3sBCYqsmh0LrIbr0BHr5UvCHE1r3mazIc","[1]",false,"7Wjc9DGssUwNTTH76YRp1J36Vre22FCZ1ADogivvWmGu",true,"4gpD4VJEuiPsnbs1JNNqHUYi3Dm51JJDaciysiq3q1AQ","https://explorer.solana.com/address/7Wjc9DGssUwNTTH76YRp1J36Vre22FCZ1ADogivvWmGu","Bull Empire #2283","","The Bull Empire is a collection of 2,500 randomly generated 32x32 pixel art NFTs on the Solana Blockchain. Each Bull Demon is unique and comes with different traits and attributes varying in rarity.",600,"https://bullempire.io","[{""trait_type"":""Background"",""value"":""Ginger""},{""trait_type"":""Back"",""value"":""Blank""},{""trait_type"":""Bull"",""value"":""Normal Bull""},{""trait_type"":""Nose"",""value"":""Blank""},{""trait_type"":""Accessories"",""value"":""Golden Chain""},{""trait_type"":""Clothes"",""value"":""Red Leather Jacket""},{""trait_type"":""Head"",""value"":""NY Baseball Cap""},{""trait_type"":""Eyes"",""value"":""Normal Eyes""},{""trait_type"":""Face"",""value"":""Blank""}]","Bull Empire","Bull Empire","[{""uri"":""https://arweave.net/C0cZfJ5yJVTk0ZsIOoHeQqzBYO_HECn27Fp382Kwyd4"",""type"":""image/png""}]","image",1,"[{""address"":""7mQ7dD5j1rezHRqsdQzUELzSMUu7czUoxP6yg7Fr2tPi"",""share"":75},{""address"":""3nRF5ejbfWSaJyzjDSmm22q5SB5qyCv5fVuaCDSF8Xar"",""share"":25}]","https://arweave.net/C0cZfJ5yJVTk0ZsIOoHeQqzBYO_HECn27Fp382Kwyd4"
"[""E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW""]","TENJIN #1089","[100]","","https://arweave.net/YsWqI9OfgKL8TcuVn2RXH1hMEw7kQ_CuPfbzkkxRLSc","[1]",true,"ABc6GjWGFWaYYeJQbSBM7uBt5kAwjcAUXzHNxe2iZrgx",true,"E9YNH6cVuJFcpLvRT4buHjN6ZedzZY5UWNEosLvxncDW","https://explorer.solana.com/address/ABc6GjWGFWaYYeJQbSBM7uBt5kAwjcAUXzHNxe2iZrgx","TENJIN #1089","","Project Tenjin by AVTR Studios",1500,"https://www.projecttenjin.io/","[{""trait_type"":""Faction"",""value"":""Yami""}]","Project TENJIN","Project TENJIN","[{""uri"":""https://arweave.net/WfIGGUj7kz2zn0cVRmqQuCIZCntVLp85tv-PWIgBjrU"",""type"":""image/png""}]","image",1,"[{""address"":""CKHm3mnYsUhncMMNuX5HzcPZjQgBC6EMsUumdr2Voup9"",""share"":10},{""address"":""z5r4HQ7af3nk1aVjtNuaUBvczieqo83bcDYAKJUxG4A"",""share"":90}]","https://arweave.net/WfIGGUj7kz2zn0cVRmqQuCIZCntVLp85tv-PWIgBjrU"
"[""8BG7YY2tHagJz6xdYmXwHUNxaUKSzQyafr4Nsa2PmyeT"",""JDoQbAo8DeDuZKJUzzJrkRKqj3iiFK8jG4oDHkK6AgcK"",""8RM5zah9umtd68e8hhR8EDMbz1p84M3bYiNTQei4RgiE""]","Sol Patrol #3110","[0,100,0]","BAIL","https://arweave.net/1KldWDUPEtJRsuSt0QjY8cLcicjPhF3sDKnsyWC_IYM","[1,0,0]",true,"4Q2JadzCswK45xCGumWQz9DSLzgQN2bqpf33sMjeM2QV",true,"8RM5zah9umtd68e8hhR8EDMbz1p84M3bYiNTQei4RgiE","https://explorer.solana.com/address/4Q2JadzCswK45xCGumWQz9DSLzgQN2bqpf33sMjeM2QV","Sol Patrol #3110","BAIL","The Sol Patrol is an elite team of 3333 guardians. We have one goal, to stop and capture all Solana NFTs.",500,,"[{""trait_type"":""Background"",""value"":""Blue""},{""trait_type"":""Clothing"",""value"":""Field Jacket""},{""trait_type"":""Eyewear"",""value"":""Face Shield""},{""trait_type"":""Medal"",""value"":""Medal of Honor""},{""trait_type"":""Mouth"",""value"":""Blue Mouth Guard""},{""trait_type"":""Hats"",""value"":""None""},{""trait_type"":""Type"",""value"":""Special Forces""}]","Sol Patrol NFT","Patrol","[{""uri"":""https://www.arweave.net/Cc8hQpeiQvqFeAkGHSPDKpGf_MS4o95I0TZmReunCKQ?ext=png"",""type"":""image/png""}]","image",,"[{""address"":""JDoQbAo8DeDuZKJUzzJrkRKqj3iiFK8jG4oDHkK6AgcK"",""share"":100}]","https://www.arweave.net/Cc8hQpeiQvqFeAkGHSPDKpGf_MS4o95I0TZmReunCKQ?ext=png"
"[""FzrDvVA7qq5YxsyddYUtkxNPtSxwuaDNR5eFQUaSDE9Z"",""9Q1YZTN6JkMpLM5qNr1NG4pjqBnezS39fVJdHjRGhLAJ""]","GODz #603","[0,100]","","https://arweave.net/d9rdRCfQ-OERT15brr9zAaSzW9hA_Bgo1R1X5KdxEZQ","[1,0]",true,"7adHMg7yhQbHbT7cs83xRRtUFpArW9ikz8z2b88iALFn",true,"CbhYESZ55G15vS2vGGKdJYw6FK7qTpRfvVUAtEPUYLVc","https://explorer.solana.com/address/7adHMg7yhQbHbT7cs83xRRtUFpArW9ikz8z2b88iALFn","GODz #603","","888 Seed GODz have returned after Millenia. To right their wrongdoings and bring peace to the world of Mortalz.",600,,"[{""trait_type"":""Background"",""value"":""Waystones""},{""trait_type"":""Accessory"",""value"":""Energy""},{""trait_type"":""Domain"",""value"":""Hydro""},{""trait_type"":""Body"",""value"":""Hawaiian""},{""trait_type"":""Eyes"",""value"":""Eye Patch""},{""trait_type"":""Mouth"",""value"":""Joint""},{""trait_type"":""Head"",""value"":""Witches Hat""},{""trait_type"":""Arms"",""value"":""None""},{""trait_type"":""Seal"",""value"":""I""},{""trait_type"":""Phase"",""value"":""Seed""}]","GODz Seed","GODz","[{""type"":""image/png"",""uri"":""https://arweave.net/CpfgQn59t2EPF-QHEnhCLzqr6Hv8-mgw6RxmEVA23Fs""}]","image",,"[{""address"":""9Q1YZTN6JkMpLM5qNr1NG4pjqBnezS39fVJdHjRGhLAJ"",""share"":100}]","https://arweave.net/CpfgQn59t2EPF-QHEnhCLzqr6Hv8-mgw6RxmEVA23Fs"
"[""8BG7YY2tHagJz6xdYmXwHUNxaUKSzQyafr4Nsa2PmyeT"",""JDoQbAo8DeDuZKJUzzJrkRKqj3iiFK8jG4oDHkK6AgcK"",""8RM5zah9umtd68e8hhR8EDMbz1p84M3bYiNTQei4RgiE""]","Sol Patrol #1393","[0,100,0]","BAIL","https://arweave.net/cwsQpL0xIQv2fOXk0iAaIAK85tW5Gp54ygjLiWkewbQ","[1,0,0]",true,"Cxi3GfWBkSoFB7bxoRzDwh6oK82N8eK1ADhegdYFPCrN",true,"8RM5zah9umtd68e8hhR8EDMbz1p84M3bYiNTQei4RgiE","https://explorer.solana.com/address/Cxi3GfWBkSoFB7bxoRzDwh6oK82N8eK1ADhegdYFPCrN","Sol Patrol #1393","BAIL","The Sol Patrol is an elite team of 3333 guardians. We have one goal, to stop and capture all Solana NFTs.",500,,"[{""trait_type"":""Background"",""value"":""Yellow""},{""trait_type"":""Clothing"",""value"":""Field Jacket""},{""trait_type"":""Eyewear"",""value"":""Face Shield""},{""trait_type"":""Medal"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Hats"",""value"":""Solana Cowboy""},{""trait_type"":""Type"",""value"":""Elite Solana""}]","Sol Patrol NFT","Patrol","[{""uri"":""https://www.arweave.net/pTNpdO5qpMCHG2dl0iSlUWHOJuM9IWLU4HqGSXTNtUU?ext=png"",""type"":""image/png""}]","image",,"[{""address"":""JDoQbAo8DeDuZKJUzzJrkRKqj3iiFK8jG4oDHkK6AgcK"",""share"":100}]","https://www.arweave.net/pTNpdO5qpMCHG2dl0iSlUWHOJuM9IWLU4HqGSXTNtUU?ext=png"
"[""8BG7YY2tHagJz6xdYmXwHUNxaUKSzQyafr4Nsa2PmyeT"",""JDoQbAo8DeDuZKJUzzJrkRKqj3iiFK8jG4oDHkK6AgcK"",""8RM5zah9umtd68e8hhR8EDMbz1p84M3bYiNTQei4RgiE""]","Sol Patrol #3026","[0,100,0]","BAIL","https://arweave.net/sz_amPhPwgkQKqUbh6wn0HiJkgkjIeQkUb42VF7tAPM","[1,0,0]",true,"4hwekg7L8Yy8DBcbQvWH8oujAdMXeL7JSfccBq9aiPq3",true,"8RM5zah9umtd68e8hhR8EDMbz1p84M3bYiNTQei4RgiE","https://explorer.solana.com/address/4hwekg7L8Yy8DBcbQvWH8oujAdMXeL7JSfccBq9aiPq3","Sol Patrol #3026","BAIL","The Sol Patrol is an elite team of 3333 guardians. We have one goal, to stop and capture all Solana NFTs.",500,,"[{""trait_type"":""Background"",""value"":""Green""},{""trait_type"":""Clothing"",""value"":""Field Jacket""},{""trait_type"":""Eyewear"",""value"":""None""},{""trait_type"":""Medal"",""value"":""Silver Star""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Hats"",""value"":""Brown Helmet""},{""trait_type"":""Type"",""value"":""Ranger""}]","Sol Patrol NFT","Patrol","[{""uri"":""https://www.arweave.net/n7NkdzxNJcMmMJSdAuwDDf5PnyO0q7cuNa_Nz1458w4?ext=png"",""type"":""image/png""}]","image",,"[{""address"":""JDoQbAo8DeDuZKJUzzJrkRKqj3iiFK8jG4oDHkK6AgcK"",""share"":100}]","https://www.arweave.net/n7NkdzxNJcMmMJSdAuwDDf5PnyO0q7cuNa_Nz1458w4?ext=png"
"[""FzrDvVA7qq5YxsyddYUtkxNPtSxwuaDNR5eFQUaSDE9Z"",""9Q1YZTN6JkMpLM5qNr1NG4pjqBnezS39fVJdHjRGhLAJ""]","GODz #373","[0,100]","","https://arweave.net/iiLNAc_v090-pk_lZMYHq8o3M3dqrv_E_vTwB7n6J6c","[1,0]",true,"DWChf9TcdKGswNuSHMcdoa7YiF1sSSyoYneQKX8EV2kE",true,"CbhYESZ55G15vS2vGGKdJYw6FK7qTpRfvVUAtEPUYLVc","https://explorer.solana.com/address/DWChf9TcdKGswNuSHMcdoa7YiF1sSSyoYneQKX8EV2kE","GODz #373","","888 Seed GODz have returned after Millenia. To right their wrongdoings and bring peace to the world of Mortalz.",600,,"[{""trait_type"":""Background"",""value"":""Alien Nest""},{""trait_type"":""Accessory"",""value"":""Travellers Pack""},{""trait_type"":""Domain"",""value"":""Shade""},{""trait_type"":""Body"",""value"":""Alien Fren""},{""trait_type"":""Eyes"",""value"":""Sage""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Head"",""value"":""Rice Hat""},{""trait_type"":""Arms"",""value"":""Assassins Blade""},{""trait_type"":""Seal"",""value"":""III""},{""trait_type"":""Phase"",""value"":""Seed""}]","GODz Seed","GODz","[{""type"":""image/png"",""uri"":""https://arweave.net/1IH1fI25h73yTtJU7V_Wu1ndVyczklghc7Yun_tdHvU""}]","image",,"[{""address"":""9Q1YZTN6JkMpLM5qNr1NG4pjqBnezS39fVJdHjRGhLAJ"",""share"":100}]","https://arweave.net/1IH1fI25h73yTtJU7V_Wu1ndVyczklghc7Yun_tdHvU"
"[""FzrDvVA7qq5YxsyddYUtkxNPtSxwuaDNR5eFQUaSDE9Z"",""9Q1YZTN6JkMpLM5qNr1NG4pjqBnezS39fVJdHjRGhLAJ""]","GODz #501","[0,100]","","https://arweave.net/mZgUMVvI4Ib0I2IaTCaaFTn805fqvIKGEJyuTC8T6TA","[1,0]",true,"6vMqHYESMpdnix4AxsAVDXhtV3P9Aks7Ttz6HqLS4zYg",true,"CbhYESZ55G15vS2vGGKdJYw6FK7qTpRfvVUAtEPUYLVc","https://explorer.solana.com/address/6vMqHYESMpdnix4AxsAVDXhtV3P9Aks7Ttz6HqLS4zYg","GODz #501","","888 Seed GODz have returned after Millenia. To right their wrongdoings and bring peace to the world of Mortalz.",600,,"[{""trait_type"":""Background"",""value"":""Hieroglyphs""},{""trait_type"":""Accessory"",""value"":""Wheatley""},{""trait_type"":""Domain"",""value"":""Vigor""},{""trait_type"":""Body"",""value"":""Adamant Armour""},{""trait_type"":""Eyes"",""value"":""Passion""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Head"",""value"":""Hollow Mask""},{""trait_type"":""Arms"",""value"":""Scale of Truth""},{""trait_type"":""Seal"",""value"":""IV""},{""trait_type"":""Phase"",""value"":""Seed""}]","GODz Seed","GODz","[{""type"":""image/png"",""uri"":""https://arweave.net/YulphZN9jK_VzlU4M7jeLyNwFN2lFOqzr5Nx9K10mwo""}]","image",,"[{""address"":""9Q1YZTN6JkMpLM5qNr1NG4pjqBnezS39fVJdHjRGhLAJ"",""share"":100}]","https://arweave.net/YulphZN9jK_VzlU4M7jeLyNwFN2lFOqzr5Nx9K10mwo"
"[""FzrDvVA7qq5YxsyddYUtkxNPtSxwuaDNR5eFQUaSDE9Z"",""9Q1YZTN6JkMpLM5qNr1NG4pjqBnezS39fVJdHjRGhLAJ""]","GODz #682","[0,100]","","https://arweave.net/Qx-herW2crZfr4w6UX3abH5cOTHvuJVWU32JBW1MUtc","[1,0]",true,"5UJSNaJ3SsL4ahnvA2xdPK1Zp269tFe6kuxGSTQpPxkM",true,"CbhYESZ55G15vS2vGGKdJYw6FK7qTpRfvVUAtEPUYLVc","https://explorer.solana.com/address/5UJSNaJ3SsL4ahnvA2xdPK1Zp269tFe6kuxGSTQpPxkM","GODz #682","","888 Seed GODz have returned after Millenia. To right their wrongdoings and bring peace to the world of Mortalz.",600,,"[{""trait_type"":""Background"",""value"":""Demonz Pet""},{""trait_type"":""Accessory"",""value"":""Blue Monkey Tail""},{""trait_type"":""Domain"",""value"":""Pyro""},{""trait_type"":""Body"",""value"":""Gear II""},{""trait_type"":""Eyes"",""value"":""Cyclops""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Head"",""value"":""None""},{""trait_type"":""Arms"",""value"":""Red Balloon""},{""trait_type"":""Seal"",""value"":""II""},{""trait_type"":""Phase"",""value"":""Seed""}]","GODz Seed","GODz","[{""type"":""image/png"",""uri"":""https://arweave.net/kn1WRzGE8RKgmlgJYuPJpIkQwhf4_8PhLRH9iI7fsWA""}]","image",,"[{""address"":""9Q1YZTN6JkMpLM5qNr1NG4pjqBnezS39fVJdHjRGhLAJ"",""share"":100}]","https://arweave.net/kn1WRzGE8RKgmlgJYuPJpIkQwhf4_8PhLRH9iI7fsWA"
"[""8BG7YY2tHagJz6xdYmXwHUNxaUKSzQyafr4Nsa2PmyeT"",""JDoQbAo8DeDuZKJUzzJrkRKqj3iiFK8jG4oDHkK6AgcK"",""8RM5zah9umtd68e8hhR8EDMbz1p84M3bYiNTQei4RgiE""]","Sol Patrol #1815","[0,100,0]","BAIL","https://arweave.net/d8FpNwqQv-nMqQYLR7K_DmEvkOkB8hfLpgkY47oLwvc","[1,0,0]",true,"H6pXm6y7RRxcGcdLDWUfmf8ArmLzFMUb3rnyLtQmPkgU",true,"8RM5zah9umtd68e8hhR8EDMbz1p84M3bYiNTQei4RgiE","https://explorer.solana.com/address/H6pXm6y7RRxcGcdLDWUfmf8ArmLzFMUb3rnyLtQmPkgU","Sol Patrol #1815","BAIL","The Sol Patrol is an elite team of 3333 guardians. We have one goal, to stop and capture all Solana NFTs.",500,,"[{""trait_type"":""Background"",""value"":""Blue""},{""trait_type"":""Clothing"",""value"":""Field Jacket""},{""trait_type"":""Eyewear"",""value"":""None""},{""trait_type"":""Medal"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""Pipe""},{""trait_type"":""Hats"",""value"":""Black Cowboy""},{""trait_type"":""Type"",""value"":""Elite Solana""}]","Sol Patrol NFT","Patrol","[{""uri"":""https://www.arweave.net/JzQcuSmDqV5r6HzFf1gfkRzJDst3MiJArPO_IDkltA8?ext=png"",""type"":""image/png""}]","image",,"[{""address"":""JDoQbAo8DeDuZKJUzzJrkRKqj3iiFK8jG4oDHkK6AgcK"",""share"":100}]","https://www.arweave.net/JzQcuSmDqV5r6HzFf1gfkRzJDst3MiJArPO_IDkltA8?ext=png"
