"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.seller_fee_basis_points","metaResult.name","metaResult.description","metaResult.symbol","metaResult.external_url","metaResult.image","metaResult.attributes","metaResult.collection.name","metaResult.collection.family","metaResult.properties.category","metaResult.properties.creators","metaResult.properties.files"
"[""HJChRfbn2h7a2XK7WtUMLj467iMUJ21EhzNZ5QU82saN"",""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3""]","Soul 91","[0,100]","","https://arweave.net/gaRZWHVLv8GP3DeiDOY3fm_zkrkzOBJ0vmee-Ng9r4k","[1,0]",true,"GYnqJEK9qCLQPqt2znXm6MS3sMGcfb1XLfFRUbh9uVnM",true,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","https://explorer.solana.com/address/GYnqJEK9qCLQPqt2znXm6MS3sMGcfb1XLfFRUbh9uVnM",500,"Soul 91","This is soul 91. One of the 10,000 soul avatars available!","","","https://www.arweave.net/mcVVGB4YNGCF-NJLzfgdd8opJrrpS5YwrWCcB2VN5wI?ext=png","[{""trait_type"":""Background"",""value"":""29""},{""trait_type"":""Body"",""value"":""34""},{""trait_type"":""Clothing"",""value"":""Blank""},{""trait_type"":""Eyes"",""value"":""Eyes 19""},{""trait_type"":""Mouth"",""value"":""Smirk""},{""trait_type"":""Headwear"",""value"":""Army Helmet""},{""trait_type"":""Accessory"",""value"":""Blank""},{""trait_type"":""WeaponR"",""value"":""Fly Swatter""},{""trait_type"":""WeaponL"",""value"":""Blank""}]","Sinful Souls","Sinful Souls","image","[{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""share"":100}]","[{""uri"":""https://www.arweave.net/mcVVGB4YNGCF-NJLzfgdd8opJrrpS5YwrWCcB2VN5wI?ext=png"",""type"":""image/png""}]"
"[""G9zy4jGj6ozT3qk9F1qbsAtQ5qvbbF4KwX1CmQRbLmhd"",""GcrjZXzmNDyGDt646hy4ziWNa5ziGAMNdXGdQcDtnBaV""]","Tower Community NFT","[0,100]","TWRCMMNTY","https://arweave.net/uJzgnieykvHvJNe7r4Lxj2PO2K-a_qzqca1O2wmTBbo","[1,0]",false,"5xsYQ1dughTssMr4T9FbcetFU2eUDoEocNr8XUqNTyGx",true,"G9zy4jGj6ozT3qk9F1qbsAtQ5qvbbF4KwX1CmQRbLmhd","https://explorer.solana.com/address/5xsYQ1dughTssMr4T9FbcetFU2eUDoEocNr8XUqNTyGx",500,"Tower Community NFT","The strength of The Tower comes from its community. Thank you for believing in this community, and participating in the mint. Enjoy this collectible.","TWRCMMNTY","https://towerdao.com/","https://www.arweave.net/-WwoWhp965cBVUYwFWjGXvygQOsWjTEDYi-3VI0cWlo?ext=png",,,,"image","[{""address"":""FHJKrc5MJJQLhj2FqiTfNnvLj59wEmaXVfozmp7JKj2A"",""share"":100}]","[{""uri"":""https://www.arweave.net/-WwoWhp965cBVUYwFWjGXvygQOsWjTEDYi-3VI0cWlo?ext=png"",""type"":""image/png""}]"
"[""2hJVCiRvuWhjbuHrrMXREekuQ7sQYNsfRbM62Ugn9Uzz"",""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W""]","Toolkit","[0,100]","","https://arweave.net/VficjCTmB_BvRSaR3_UsyD49zV-eLUMI4gZdoyn_Fyc","[1,0]",true,"C8TzXFXd8NvqMn3xb7YMs6xrbv4rmqZVbxhLqm3Uee2T",true,"GLR4Vde7aD4DPG8gUnDMXpGEAxgTXFnK1x44nd5m9br9","https://explorer.solana.com/address/C8TzXFXd8NvqMn3xb7YMs6xrbv4rmqZVbxhLqm3Uee2T",500,"Toolkit","Toolkit is a must have thing when you need to do any Dad house work. But, what if you need to build a house? No worries, toolkit will be able to help with that too! You can read more information on our website https://solfamily.io/","","https://solfamily.io/","https://arweave.net/Jrzr0gZq1JVJEplDJVPewrNyUHeUQDnPK4zzW3m70dQ?ext=png",,"Toolkits","SolFamily","video","[{""address"":""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W"",""share"":100}]","[{""uri"":""https://arweave.net/Jrzr0gZq1JVJEplDJVPewrNyUHeUQDnPK4zzW3m70dQ?ext=png"",""type"":""image/png""},{""uri"":""https://arweave.net/W-swkKVbx-71RF8jCJKiCnM2Sceqt5Apr-ySX_R1Ad4?ext=mp4"",""type"":""video/mp4""}]"
"[""5GUrnehPCrVeAeo29sgH3KbPhTvEDaH8HJqonYUceVM"",""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W""]","SolDad #1715","[0,100]","SOLDAD","https://arweave.net/PqLSdcyizhUTrNHzVMA8JD86CsqUPZWpZYcuPq3KR74","[1,0]",true,"GXMeGFDnAwf5uC4uwjrBJAdb3wsHBd8KMc7FmnuDy6Td",true,"9bJNTytrMHPps58zH5tk3jsaMbQjD1W13ri7D431QcJt","https://explorer.solana.com/address/GXMeGFDnAwf5uC4uwjrBJAdb3wsHBd8KMc7FmnuDy6Td",750,"SolDad #1715","SolDads are the first unique collection with 5750 dads of more generic project which is named SolFamily. You can read more information on our website https://solfamily.io/","SOLDAD",,"https://www.arweave.net/RosdTJwmIb8aybTtzgPO4KkuqZMZnxU-xswIYCkKu9w?ext=png","[{""trait_type"":""Background"",""value"":""Fountain Blue""},{""trait_type"":""Face"",""value"":""Bored"",""additionalValue"":""light""},{""trait_type"":""Outfit"",""value"":""Green Long Sleeve""},{""trait_type"":""Beard"",""value"":""Green Zappa""},{""trait_type"":""Head"",""value"":""Pink Helmet""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Ears"",""value"":""None""},{""trait_type"":""Neck"",""value"":""Golden Chain""},{""trait_type"":""Eyes"",""value"":""Black Office Glasses""}]","SolDads","SolFamily","image","[{""address"":""ULf4AWYjQ7iD81dYsFTNryyJvXX3yNeCN72KsbKDu3W"",""share"":100}]","[{""url"":""https://www.arweave.net/RosdTJwmIb8aybTtzgPO4KkuqZMZnxU-xswIYCkKu9w?ext=png"",""type"":""image/png""}]"
"[""4dMFGXww53WLQggkoL13WT4Q2KGPQZAXMea3nFDc9c8Q"",""FhdcmMy4T8NaVqEqw5UyMvMSRVLRfXcpifkeFydwG1ue""]","HighStakeRollers #5503","[0,100]","","https://arweave.net/4lLNyS8QF6ifYKuwxr1KjaX078zmHhR-vTrE1jFHDF8","[1,0]",true,"2dav6k3iSJVxpyvcvU1ZUxdn9Z15gd3HxGo8qN7N2MTT",true,"FhdcmMy4T8NaVqEqw5UyMvMSRVLRfXcpifkeFydwG1ue","https://explorer.solana.com/address/2dav6k3iSJVxpyvcvU1ZUxdn9Z15gd3HxGo8qN7N2MTT",500,"HighStakeRollers #5503","The House of the NFT Gaming","","https://www.highstakerollers.com/","https://www.arweave.net/OHS99putvo7pzpMwRIGjCkJdhF0bF9oV6xxPr968TNs?ext=png","[{""trait_type"":""slot0"",""value"":""18""},{""trait_type"":""slot1"",""value"":""11""},{""trait_type"":""slot2"",""value"":""18""}]",,,"image","[{""address"":""FhdcmMy4T8NaVqEqw5UyMvMSRVLRfXcpifkeFydwG1ue"",""verified"":true,""share"":100}]","[{""uri"":""https://www.arweave.net/OHS99putvo7pzpMwRIGjCkJdhF0bF9oV6xxPr968TNs?ext=png"",""type"":""image/png""}]"
"[""Eng8FDVHPnAWfXpf14agbdu6Q8eSLHnvcLoB44Ua4jTc"",""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3""]","Soul 2387","[0,100]","","https://arweave.net/o5MwGZ3K79qlGokoInBpgXwhUELZCV4QC-8Ttbbt1lI","[1,0]",true,"3mVEER8G8uaEMGi1AzH3SmiY8nTy7hwqYeBStbx5jn5K",true,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","https://explorer.solana.com/address/3mVEER8G8uaEMGi1AzH3SmiY8nTy7hwqYeBStbx5jn5K",500,"Soul 2387","This is soul 2387. One of the 10,000 soul avatars available!","","","https://www.arweave.net/60EfFRBDGj08RaPzq9C94T-gFUG9QyfxNTMMy1x4LK8?ext=png","[{""trait_type"":""Background"",""value"":""31""},{""trait_type"":""Body"",""value"":""15""},{""trait_type"":""Clothing"",""value"":""General Uniform""},{""trait_type"":""Eyes"",""value"":""Eyes 8""},{""trait_type"":""Mouth"",""value"":""Hmm""},{""trait_type"":""Headwear"",""value"":""Shell""},{""trait_type"":""Accessory"",""value"":""Blank""},{""trait_type"":""WeaponR"",""value"":""Fly Swatter""},{""trait_type"":""WeaponL"",""value"":""Knife""}]","Sinful Souls","Sinful Souls","image","[{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""share"":100}]","[{""uri"":""https://www.arweave.net/60EfFRBDGj08RaPzq9C94T-gFUG9QyfxNTMMy1x4LK8?ext=png"",""type"":""image/png""}]"
"[""64eiSEPv2KRKNkPAX6d4BZQ3b12PcFqZP2yPoNAZw9po"",""yeT3ik5jX5RuK8JF8P3RRHrr9g6ox6RMWbRMh3r9FxQ""]","Baby Yetis #912","[100,0]","","https://arweave.net/u9XraYnXCGN9MPw2BHkZP9YRPPp0JFsB9HtVyHCvdCU","[0,1]",true,"51Dd17AtVVsp3Dv9VMJEJ5UKLSfrBWHyFHN4n3wZqHz4",false,"yeT3ik5jX5RuK8JF8P3RRHrr9g6ox6RMWbRMh3r9FxQ","https://explorer.solana.com/address/51Dd17AtVVsp3Dv9VMJEJ5UKLSfrBWHyFHN4n3wZqHz4",500,"Baby Yetis #912","Baby Yetis are coming down from the mountains to join the SolYetis.","",,"https://www.arweave.net/l8vljTMYI_inZxYGp1QPdWlh9MUHrFTYQKDcnQNTSjg?ext=png","[{""trait_type"":""Background"",""value"":""Blue stripe""},{""trait_type"":""Skin"",""value"":""Rainbow skin""},{""trait_type"":""Furs"",""value"":""Red fur""},{""trait_type"":""Dress"",""value"":""Spartan""},{""trait_type"":""Chains"",""value"":""Chain with bones""},{""trait_type"":""Mouth"",""value"":""Sleepy mouth""},{""trait_type"":""Eyes"",""value"":""Glowing eyes""},{""trait_type"":""Head wear"",""value"":""Golden laurel wreath""},{""trait_type"":""Glasses"",""value"":""Gold sol eyes""}]","Baby Yetis Season #1","SolYetis OG","image","[{""address"":""64eiSEPv2KRKNkPAX6d4BZQ3b12PcFqZP2yPoNAZw9po"",""share"":100}]","[{""uri"":""https://www.arweave.net/l8vljTMYI_inZxYGp1QPdWlh9MUHrFTYQKDcnQNTSjg?ext=png"",""type"":""image/png""}]"
"[""CeYRttSvWZ6SP4QWK4CxVc4GbWtC7eJmvgqv86zLnGQ8"",""9uJRearTP2fdsFp3Sa4w8MGXoqci59SBErGZqJXaqPqa"",""DUbboetUV5A3H9WUHk6d2mHg4hyX1hEnAfvjEMcSvoHb"",""C5kegRb9XMcEEp19mUdzLKrLqmRbv98kY8YUqvMWq1Bo"",""BnZNCQz3Zqb1o4nrjW3zNGbWdKubSTw7mAU5NGYouJMF""]","Sol Slug - 01884","[0,30,30,30,10]","SLUG","https://arweave.net/_diztqP2D1oyiyhFDtLIfed8ODBornIjeOP98Om9JCY","[1,1,1,1,1]",true,"BMQniBDV3Km4AbWK3fDaiRMaiS4NBb1TLHtyLnWbY2ua",true,"BnZNCQz3Zqb1o4nrjW3zNGbWdKubSTw7mAU5NGYouJMF","https://explorer.solana.com/address/BMQniBDV3Km4AbWK3fDaiRMaiS4NBb1TLHtyLnWbY2ua",500,"Sol Slug - 01884","Sol Slug - 01884 of 10,000 badass original slugs on the Solana blockchain.","SLUG","https://solslugs.com","https://www.arweave.net/fj0peULpqZIpJhHKcv7FHYFHCXkEbYxWAZOe-03ness?ext=png","[{""trait_type"":""Background"",""value"":""Mushrooms""},{""trait_type"":""Slug"",""value"":""Red""},{""trait_type"":""Chest"",""value"":""Sweater""},{""trait_type"":""Mouth"",""value"":""Chomp""},{""trait_type"":""Head"",""value"":""Hooded""},{""trait_type"":""Eyes"",""value"":""Default""},{""trait_type"":""Tail"",""value"":""Boot""},{""trait_type"":""Back"",""value"":""None""},{""trait_type"":""Hands"",""value"":""Turtle Hands""}]","Generation 1","Sol Slugs","image","[{""address"":""9uJRearTP2fdsFp3Sa4w8MGXoqci59SBErGZqJXaqPqa"",""share"":30},{""address"":""DUbboetUV5A3H9WUHk6d2mHg4hyX1hEnAfvjEMcSvoHb"",""share"":30},{""address"":""C5kegRb9XMcEEp19mUdzLKrLqmRbv98kY8YUqvMWq1Bo"",""share"":30},{""address"":""BnZNCQz3Zqb1o4nrjW3zNGbWdKubSTw7mAU5NGYouJMF"",""share"":10}]","[{""uri"":""https://www.arweave.net/fj0peULpqZIpJhHKcv7FHYFHCXkEbYxWAZOe-03ness?ext=png"",""type"":""image/png""}]"
"[""5MNyU8o4eKnT1oz4u3ckKMBH7pr84MpVf9ZTsBjt4hhS"",""MpuqgieWmABThXfBPzPbwrCyx6MZrVTpBFBK8BzBvYh"",""EozHkXipaBVkXS5ciqvN5CUwWV5bmgLuHp1oeXdPVCvY"",""4ZNYVD4xXVEdSSQHMgjAA4gYn5Y68x5xTJqeuqTCtgGF""]","SOLYETIS #5433","[0,50,25,25]","","https://arweave.net/g-SpW71GOuIqvxIzQvH_8ITKiXYuaZTCDbjArcs01LI","[1,0,0,0]",true,"E8TZyFJR2xcfZSWAQ7mEarhbE1rAJ5hZ4zVAcemKT3j8",true,"yeT3ik5jX5RuK8JF8P3RRHrr9g6ox6RMWbRMh3r9FxQ","https://explorer.solana.com/address/E8TZyFJR2xcfZSWAQ7mEarhbE1rAJ5hZ4zVAcemKT3j8",500,"SOLYETIS #5433","8888 Yetis are coming down from the mountains to form the SolYetis","",,"https://www.arweave.net/wOHAPN9MpQjBXfcs75e7-IBGQoxaanWi9vXcfqLoglE?ext=png","[{""trait_type"":""Backgrounds"",""value"":""Blue""},{""trait_type"":""Skins"",""value"":""Yeti basic skin""},{""trait_type"":""Eyes"",""value"":""Icy blue eyes""},{""trait_type"":""Furs"",""value"":""Normal fur""},{""trait_type"":""Clothes"",""value"":""Roman emperor""},{""trait_type"":""Necklaces"",""value"":""None""},{""trait_type"":""Hats"",""value"":""Ice crown""},{""trait_type"":""Glasses"",""value"":""None""},{""trait_type"":""Mouths"",""value"":""Smoking mouth""}]","SOLYETIS Season #1","SolYetis OG","image","[{""address"":""MpuqgieWmABThXfBPzPbwrCyx6MZrVTpBFBK8BzBvYh"",""share"":50},{""address"":""EozHkXipaBVkXS5ciqvN5CUwWV5bmgLuHp1oeXdPVCvY"",""share"":25},{""address"":""4ZNYVD4xXVEdSSQHMgjAA4gYn5Y68x5xTJqeuqTCtgGF"",""share"":25}]","[{""uri"":""https://www.arweave.net/wOHAPN9MpQjBXfcs75e7-IBGQoxaanWi9vXcfqLoglE?ext=png"",""type"":""image/png""}]"
"[""Eng8FDVHPnAWfXpf14agbdu6Q8eSLHnvcLoB44Ua4jTc"",""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3""]","Soul 2359","[0,100]","","https://arweave.net/t3CGMxGUwtjB-Zl6qGkblzZs6CLB-zLCUEP_oco5CEs","[1,0]",true,"Afx3bYC8UjKStEe9RWsax1RNG8rbTha4oZ3TZV1CFk8K",true,"CzFuahYZf5rsakiNiLSUXTwuXHQFCdx7hwRMWBem3hNN","https://explorer.solana.com/address/Afx3bYC8UjKStEe9RWsax1RNG8rbTha4oZ3TZV1CFk8K",500,"Soul 2359","This is soul 2359. One of the 10,000 soul avatars available!","","","https://www.arweave.net/ZLY69w5anbcsff4U0q1en4gKTYFBody47eow6UIzwlQ?ext=png","[{""trait_type"":""Background"",""value"":""3""},{""trait_type"":""Body"",""value"":""28""},{""trait_type"":""Clothing"",""value"":""Straps and Bag""},{""trait_type"":""Eyes"",""value"":""Eyes 4""},{""trait_type"":""Mouth"",""value"":""Bahumbug""},{""trait_type"":""Headwear"",""value"":""Blank""},{""trait_type"":""Accessory"",""value"":""Blank""},{""trait_type"":""WeaponR"",""value"":""Bone""},{""trait_type"":""WeaponL"",""value"":""Blank""}]","Sinful Souls","Sinful Souls","image","[{""address"":""BXEFHxpS1h2nzGp26itisNiM4yMeM5wxrnjAqPPmnXa3"",""share"":100}]","[{""uri"":""https://www.arweave.net/ZLY69w5anbcsff4U0q1en4gKTYFBody47eow6UIzwlQ?ext=png"",""type"":""image/png""}]"
