"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.external_url","metaResult.collection.name","metaResult.collection.family","metaResult.attributes","metaResult.properties.files.uri","metaResult.properties.files.type","metaResult.properties.category","metaResult.properties.creators"
"[""D1oLzEg4X4928QPjnLoY2XrDNNoRjCiGUMsQUiF7Q8n3""]","War Monkey #1253","[100]","War Monkey","https://ipfs.io/ipfs/QmUkew8K6Gk8FttLFdaJwkfD83KFSPf6ePHnhC31gMiood","[1]",true,"DJ33b58ZemTjUSNskj6yMpV3k7xCjoTj6Gy5KYtey5nd",false,"D1oLzEg4X4928QPjnLoY2XrDNNoRjCiGUMsQUiF7Q8n3","https://explorer.solana.com/address/DJ33b58ZemTjUSNskj6yMpV3k7xCjoTj6Gy5KYtey5nd","War Monkey #1253","War Monkey","War Monkeys by Warzone. A collection of 5000 sophisticated monkey exoskeletons that house the legendary fighters of the SOL chain. Carrying them into battle alongside their new, war hungry allies, the Warzone FREAKZ.",0,"https://ipfs.io/ipfs/QmRjwV7sG2Bg4zaEJuZydrz2dwn3SMrr6kX8wZPSvHJcx6","http://w4r.zone/","War Monkey","War Monkey","[{""trait_type"":""Attributes Count"",""value"":2},{""trait_type"":""Type"",""value"":""Solana""},{""trait_type"":""Clothes"",""value"":""White Shirt""},{""trait_type"":""Ears"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""Vape""},{""trait_type"":""Eyes"",""value"":""None""},{""trait_type"":""Hat"",""value"":""None""}]","https://ipfs.io/ipfs/QmRjwV7sG2Bg4zaEJuZydrz2dwn3SMrr6kX8wZPSvHJcx6","image/jpeg","image","[{""address"":""D1oLzEg4X4928QPjnLoY2XrDNNoRjCiGUMsQUiF7Q8n3"",""verified"":true,""share"":100}]"
"[""DbcuZ2QqQkEaJVkDYuSmyGH1G67yScwrarnZckXeRuDa""]","Sockmas 2","[100]","SXMAS21","https://ipfs.io/ipfs/QmRheEtLVbzCgUs4WXKL4cJ8YSWP8t27aPvnDx8zhCcHjF","[1]",true,"AhNPvs1gZAWQEpCm2SyLZtzWadsjAaYSiBVyMScvfQna",false,"DbcuZ2QqQkEaJVkDYuSmyGH1G67yScwrarnZckXeRuDa","https://explorer.solana.com/address/AhNPvs1gZAWQEpCm2SyLZtzWadsjAaYSiBVyMScvfQna","Sockmas 2","SXMAS21","Merry Sockmas",0,"https://ipfs.io/ipfs/Qmc7dkXP9vXU28FTqiepW11DQ7d8nfHmBJhJ96ZNQ4P9cF","","Sockmas","Sockmas","[]",,,"image","[{""address"":""DbcuZ2QqQkEaJVkDYuSmyGH1G67yScwrarnZckXeRuDa"",""verified"":true,""share"":100}]"
"[""F5cjQZrTGUeweCdbsp2gLptbUzhUnfryKkC8QZ72xMTw"",""2558YWarJNx4pQFEnSB7CP6JQh8wvDkR8rK65bnpGDcW""]","SMHC #3985","[0,100]","SMHC","https://arweave.net/ByR7ZhuMxF9vzNPQ5agR3ZY8kUrPVamMDGz5TBCdtbg","[1,0]",true,"2vo6DZcUN5KnERVuHZh5KexUzJFodJrNEwjamVFwMQHc",true,"2558YWarJNx4pQFEnSB7CP6JQh8wvDkR8rK65bnpGDcW","https://explorer.solana.com/address/2vo6DZcUN5KnERVuHZh5KexUzJFodJrNEwjamVFwMQHc","SMHC #3985","SMHC","Solana Monkey Holidays Christmas is a collection of 4888 randomly generated festive monkes inspired by SMB.",500,"https://www.arweave.net/15or-HQ-WZ7Y9yBLHy-MYUgzGcvAELUKfASd2yRIlOk?ext=png","https://solanamonkey.holiday/","SMHC","SMH","[{""trait_type"":""Type"",""value"":""Rainbow Hair With Yellow Skin""},{""trait_type"":""Clothes"",""value"":""Snowman""},{""trait_type"":""Earrings"",""value"":""Sapphire""},{""trait_type"":""Mouth"",""value"":""None""},{""trait_type"":""Eyes"",""value"":""None""},{""trait_type"":""Hat"",""value"":""Present Bow""},{""trait_type"":""Background"",""value"":""Blue Snowy""},{""trait_type"":""Animated"",""value"":""No""},{""trait_type"":""Attributes Count"",""value"":""3""}]",,,"image","[{""address"":""2558YWarJNx4pQFEnSB7CP6JQh8wvDkR8rK65bnpGDcW"",""share"":100}]"
"[""junkdnnfArSWXaePD7LWA1CjBbVW84sorgsMhL8zf91"",""6jH8TiEu44rqgnti6tGZN9LndbyNo9tYtinLN4RtnmXu""]","Junkmail#2783","[0,100]","JUNK","https://arweave.net/07Ta6_2McxCpNxOSk9lEa6kA3oSNwqdqvMpU2qgA1i4","[1,0]",true,"DFSay8fCLWh29kFt7brhowC165Y1DmWFjSnGQEU6vmFU",true,"junkdnnfArSWXaePD7LWA1CjBbVW84sorgsMhL8zf91","https://explorer.solana.com/address/DFSay8fCLWh29kFt7brhowC165Y1DmWFjSnGQEU6vmFU","Junkmail#2783","JUNK","6969 generative and unsolicited but hopefully not unrequited expressions of interest.",420,"https://www.arweave.net/tXrXPCyHv6YMpVa5WnUnbsyW--PxiBIIz__McHt0AWo?ext=png","https://nftjunkmail.com/","Junk Mail","Junk Mail","[{""trait_type"":""size"",""value"":""Medium""},{""trait_type"":""orientation"",""value"":""Right""},{""trait_type"":""circumcised"",""value"":""Cut""},{""trait_type"":""Base"",""value"":""Brown""},{""trait_type"":""Trait 1"",""value"":""Vein""},{""trait_type"":""Trait 2"",""value"":""None""},{""trait_type"":""Trait 3"",""value"":""Piercing""}]",,,"image","[{""address"":""6jH8TiEu44rqgnti6tGZN9LndbyNo9tYtinLN4RtnmXu"",""share"":100},{""address"":""junkdnnfArSWXaePD7LWA1CjBbVW84sorgsMhL8zf91"",""share"":0}]"
"[""2C7oLgHpJgtyyzZ5G1pnnmx2hshNCRXASMKpaeVKm9uj"",""6UUdZHiTZ4FPChsBWDpvqqimaK7J4wvNxKzfxUqLTTPK""]","Ghostz #1247","[0,100]","GSTZ","https://arweave.net/gA8AzuFl7lYTTuZmCZfFr-jT4CTP4ZRGbFar5LodIYg","[1,0]",true,"GRnCJtaiTgdW6FdLpqQow9nSFwMMNLUcjDhqExNerixR",true,"AKFrL39RaJsaF4GzEsA4dqFccWcRURWyhhoPJ2cVTPZm","https://explorer.solana.com/address/GRnCJtaiTgdW6FdLpqQow9nSFwMMNLUcjDhqExNerixR","Ghostz #1247","GSTZ","Where did they come from? Why are they here?",250,"https://www.arweave.net/x6IAZ0sMFvP0p1jfjECkLYFT0VZ1bkzNa3vRvZlvFOg?ext=png","https://www.ghostznft.com",,,"[{""trait_type"":""Background"",""value"":""Purple""},{""trait_type"":""Body"",""value"":""Regular""},{""trait_type"":""Sunglasses"",""value"":""None""},{""trait_type"":""Hat"",""value"":""Ski Mask""},{""trait_type"":""Tattoo"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""Rawr""},{""trait_type"":""Drip"",""value"":""Gold Earings""}]",,,"image","[{""address"":""6UUdZHiTZ4FPChsBWDpvqqimaK7J4wvNxKzfxUqLTTPK"",""share"":100}]"
"[""CPpSiNJapZYB95ZjsGKCSzHa1aSLYULgyia6T4ZhbqcH""]","Doodle Dragonz","[100]","DDZ","https://arweave.net/HttkAKIkkAbuwzW10VuX1O-t0s_Js-UVUF07tdkYzaI","[0]",true,"BWRQ3Etbef9Dm93zy6sdscd6HNNjox1gkkwN2YyYZcuL",false,"CPpSiNJapZYB95ZjsGKCSzHa1aSLYULgyia6T4ZhbqcH","https://explorer.solana.com/address/BWRQ3Etbef9Dm93zy6sdscd6HNNjox1gkkwN2YyYZcuL","Doodle Dragonz","DDZ","TAME YOUR OWN DRAGON! An exclusive collection of 2,222 Dragon NFTs on the Solana Blockchain",0,"https://arweave.net/Ok1WVcZYprp5OPZnm_S6ez-Gm61pqEb_euaKSJjdohg",,,,"[{""trait_type"":""twitter"",""value"":""https://twitter.com/doodledragonz""},{""trait_type"":""website"",""value"":""https://www.doodledragonz.io""},{""trait_type"":""discord"",""value"":""https://discord.com/invite/QPccr6vWYA""}]",,,"image","[{""address"":""CPpSiNJapZYB95ZjsGKCSzHa1aSLYULgyia6T4ZhbqcH"",""share"":100}]"
"[""NFTsPae8pUuvKHiUHpXfZaQwwbiVPw6dPCWpwfvrwR6""]","Helios 3D","[100]","","https://arweave.net/4Pscb2gjrpDALHiuTBBwBhXVTTa_vg0J2yf5HDG13S4","[1]",true,"3E2iMJdXZ8sQheVX5e4Eh2H2kd1VJLrR8UqacpaXxYe9",false,"NFTsPae8pUuvKHiUHpXfZaQwwbiVPw6dPCWpwfvrwR6","https://explorer.solana.com/address/3E2iMJdXZ8sQheVX5e4Eh2H2kd1VJLrR8UqacpaXxYe9","Helios 3D","","Helios artwork for Aurorians and some $AURY holders",1000,"https://arweave.net/Ai3GPptEksfWxRVzB4tWpRM5Y_Cz0MFb5BCMs9Fvm8k?ext=gif","","Aurory","Aurory","[{""trait_type"":""Type"",""value"":""Artwork""}]",,,"video","[{""address"":""NFTsPae8pUuvKHiUHpXfZaQwwbiVPw6dPCWpwfvrwR6"",""share"":100}]"
"[""8icnsno2oDuZZESEeQRA4t8N7fc5vWmNoNRRCoGm3xXN"",""EfwGaw4kLBYhyuGjx9GzuzG5zycdiFFVnb6q3ecFrkMD"",""Bx1GD7QorPgpmuKzGZ9WmAo51LH9Jqh15wuuTpWTis7x"",""9ucSjkwPn4mNvyp8QSLGK5DQknnJAWJbGHcrkPCwduWc"",""13JjFX5ZF1ebNckMiqjTcbrGsFSaceavUKiTt2LAxacb""]","Thugbabyz #185","[0,30,20,35,15]","","https://arweave.net/APJinyTDLHb6kyi1Jcc5f5KAFraU8HYcCKTFTSd6-Zo","[1,0,0,0,0]",true,"5VhFgFdvCUcNWmaFXoV4NTJogomEW272iVMW917qyhst",true,"DDhzqTXjnGy3hEoPSsTSFmLcf5hpnkoGUU1V99R35BcF","https://explorer.solana.com/address/5VhFgFdvCUcNWmaFXoV4NTJogomEW272iVMW917qyhst","Thugbabyz #185","","3333 bad babyz chillin in the crib. thugbabyz are inspired by thugbirdz with their permission. 30% of royalties to thugdao",700,"https://www.arweave.net/dzAHL2C9T2NP6MdwQQc43OlBdwSiQVIRuHe17gYc2uI?ext=png","https://thugbabyz.io","Initial release","Thugbabyz","[{""trait_type"":""background"",""value"":""khaki""},{""trait_type"":""toys"",""value"":""mobile""},{""trait_type"":""type"",""value"":""alien""},{""trait_type"":""head"",""value"":""pink""},{""trait_type"":""neck"",""value"":""cadet blue""},{""trait_type"":""beak"",""value"":""dark slate gray""},{""trait_type"":""eyes"",""value"":""down left""},{""trait_type"":""bib"",""value"":""blue""},{""trait_type"":""shades"",""value"":""black""},{""trait_type"":""position in gang"",""value"":""bad baby""},{""trait_type"":""favorite rapper"",""value"":""big bird""}]",,,"image","[{""address"":""EfwGaw4kLBYhyuGjx9GzuzG5zycdiFFVnb6q3ecFrkMD"",""share"":30},{""address"":""Bx1GD7QorPgpmuKzGZ9WmAo51LH9Jqh15wuuTpWTis7x"",""share"":20},{""address"":""9ucSjkwPn4mNvyp8QSLGK5DQknnJAWJbGHcrkPCwduWc"",""share"":35},{""address"":""13JjFX5ZF1ebNckMiqjTcbrGsFSaceavUKiTt2LAxacb"",""share"":15}]"
"[""DPsW9zSWh94J3865U712SzdzyYD1Xf2VZaaohRH1fToV"",""6uQVoPW2qwAqvwEj9m535S9Qd7hUZ2K9CrwBQ4rkFo54"",""5H8hzh8mdHNG9CiP8FR6SLbKScBuESp715vijmuwbjPy"",""HfqmYB9KwpFQbMdEGNuvHxZkRPViLRcTmpGTMfgnwd4A""]","RadRugs #57","[0,50,30,20]","RADRUGS","https://arweave.net/qMTJz9cMIV53g10Fdb0R4nEdsQsH3M6RVvE00ynLOeI","[1,0,0,0]",true,"HyBQa3Q3Fa8qqyZFELTGJppgxesMRbydRyZNwnXs2w47",true,"5zdjDE2SzP2h3JDKjdVoLZQx2vKeVLrr61d2W3Sv5zDk","https://explorer.solana.com/address/HyBQa3Q3Fa8qqyZFELTGJppgxesMRbydRyZNwnXs2w47","RadRugs #57","RADRUGS","5,555 uniquely generated rad rugs that decided to right some wrongs.",750,"https://www.arweave.net/gKQeHvVrx1dWZe4QhzE_jy4-Z-rEhoY46xrIWGmTc4A?ext=png","https://www.radrugs.io/","RadRugs","RadRugs","[{""value"":""Game Rug Color"",""trait_type"":""Pattern""},{""value"":""Metal"",""trait_type"":""Material""},{""value"":""None"",""trait_type"":""Decoration""},{""value"":""Slightly Wavy"",""trait_type"":""Waviness""},{""value"":""False"",""trait_type"":""Glow""},{""value"":""None"",""trait_type"":""Effect""},{""value"":""Mint Green"",""trait_type"":""Background""}]",,,"image","[{""share"":50,""address"":""6uQVoPW2qwAqvwEj9m535S9Qd7hUZ2K9CrwBQ4rkFo54""},{""share"":30,""address"":""5H8hzh8mdHNG9CiP8FR6SLbKScBuESp715vijmuwbjPy""},{""share"":20,""address"":""HfqmYB9KwpFQbMdEGNuvHxZkRPViLRcTmpGTMfgnwd4A""}]"
"[""2KviRhp6SQ1nCZR2fhUTydQfnvSRKNbJWL2rkyetHFRZ"",""FyHFj3iYu9TZ7oszxSfMy8kHnfEvM369dtFRGFjwPAjy""]","NWM #1253","[0,100]","NWM","https://arweave.net/1qrhgJjR3UbLfdnU8dIG9hXiZbX8VAj636JpFtuE9Ho","[1,0]",true,"8GTPRLyrHa31UJkizmrF5fdppwyyahsE3e2mojESbEvt",true,"8GV2kiCxbKjEGwLVfRa2Xdrb7sELL83cSx9jsPjMqrrd","https://explorer.solana.com/address/8GTPRLyrHa31UJkizmrF5fdppwyyahsE3e2mojESbEvt","NWM #1253","NWM","New World Monkes - An Art Project.  We bring your Monke to life through beautiful art.",500,"https://www.arweave.net/3-Xs6-yRNWIYLqLiVt6GXGx4q-zO1BrdltYXqBeSxZY?ext=png","https://www.newworldmonkes.com","New World Monkes","New World Monkes","[{""trait_type"":""Attributes Count"",""value"":2},{""trait_type"":""Type"",""value"":""Solana""},{""trait_type"":""Clothes"",""value"":""White Shirt""},{""trait_type"":""Ears"",""value"":""None""},{""trait_type"":""Mouth"",""value"":""Vape""},{""trait_type"":""Eyes"",""value"":""None""},{""trait_type"":""Hat"",""value"":""None""}]",,,"image","[{""address"":""FyHFj3iYu9TZ7oszxSfMy8kHnfEvM369dtFRGFjwPAjy"",""share"":100}]"
