"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.animation_url","metaResult.external_url","metaResult.attributes","metaResult.collection.name","metaResult.collection.family","metaResult.properties.files","metaResult.properties.category","metaResult.properties.creators"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Aiternate Holotabs","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/3441.json","[1,0,0]",true,"Dbc1ghM8LD3psYvn2FnJSVpKTjfXTQk5wSHFhV5QPbmT",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/Dbc1ghM8LD3psYvn2FnJSVpKTjfXTQk5wSHFhV5QPbmT","Aeliasium | Planetary #148","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeifqd3wxz7dwqnkqosxbeeydvlub7lg3z2c3r63t3iyt2t2oh3rtfm.ipfs.dweb.link/3441.png?ext=png","https://www.arweave.net/rPjfevnJDM1TEzITndARNx3SXB9CupASPSCKKCGvmTE?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Planetary""},{""trait_type"":""Sector"",""value"":""Aeliasium""},{""trait_type"":""Biome"",""value"":""Ice""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeifqd3wxz7dwqnkqosxbeeydvlub7lg3z2c3r63t3iyt2t2oh3rtfm.ipfs.dweb.link/3441.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/rPjfevnJDM1TEzITndARNx3SXB9CupASPSCKKCGvmTE?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Dimetra | Planetary #233","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/4258.json","[1,0,0]",true,"AbhNe13ieuKhicfR3ebwMNTScwTGhjm6NMLk3ZWCC6TU",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/AbhNe13ieuKhicfR3ebwMNTScwTGhjm6NMLk3ZWCC6TU","Dimetra | Planetary #233","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeidneat75dzusspgshd7ffkux67dtvbkogdcr3bevgfgsez33lymda.ipfs.dweb.link/4258.png?ext=png","https://www.arweave.net/WnQVKRDzVuAs-sskbv0sjrXf7pZrWJhQPKGcA7Xvr44?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Planetary""},{""trait_type"":""Sector"",""value"":""Dimetra""},{""trait_type"":""Biome"",""value"":""Steampunk""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeidneat75dzusspgshd7ffkux67dtvbkogdcr3bevgfgsez33lymda.ipfs.dweb.link/4258.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/WnQVKRDzVuAs-sskbv0sjrXf7pZrWJhQPKGcA7Xvr44?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Vesta | Planetary #088","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/3015.json","[1,0,0]",true,"8okD742AbXZtfnLYfynYCx5s6zgY8EdkqgahNyLHz9Cv",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/8okD742AbXZtfnLYfynYCx5s6zgY8EdkqgahNyLHz9Cv","Vesta | Planetary #088","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeibctxgw57fovkzmb2eauu5ndh4ujc7p2hwvvzykjjzkh2vrxg4hsm.ipfs.dweb.link/3015.png?ext=png","https://www.arweave.net/6YFo0wU_ZISnhUZ1Qz5cZH2o2ywpyAL79frkF-ce7NY?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Planetary""},{""trait_type"":""Sector"",""value"":""Vesta""},{""trait_type"":""Biome"",""value"":""80s""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeibctxgw57fovkzmb2eauu5ndh4ujc7p2hwvvzykjjzkh2vrxg4hsm.ipfs.dweb.link/3015.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/6YFo0wU_ZISnhUZ1Qz5cZH2o2ywpyAL79frkF-ce7NY?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Garasi | Planetary #259","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/1722.json","[1,0,0]",true,"6ZgpjpAH2w7UTNXssq4zub7iPsjCXW9Vk8pyFgC6ENgd",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/6ZgpjpAH2w7UTNXssq4zub7iPsjCXW9Vk8pyFgC6ENgd","Garasi | Planetary #259","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeih3cx5sxfmb5vbltoxjgkszaf2wogqqnurwdc66ssixo6s5zaquje.ipfs.dweb.link/1722.png?ext=png","https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Planetary""},{""trait_type"":""Sector"",""value"":""Garasi""},{""trait_type"":""Biome"",""value"":""Desert""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeih3cx5sxfmb5vbltoxjgkszaf2wogqqnurwdc66ssixo6s5zaquje.ipfs.dweb.link/1722.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Garasi | Planetary #313","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/1776.json","[1,0,0]",true,"2pRufpWE3ZStPk92Sdf7pbFNFWTBQAGtwrNHe28LMszn",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/2pRufpWE3ZStPk92Sdf7pbFNFWTBQAGtwrNHe28LMszn","Garasi | Planetary #313","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeigdf7zk2s25ok2rbrfvdwmw5gvxr55eymtwottlic2efvo25dgpqi.ipfs.dweb.link/1776.png?ext=png","https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Planetary""},{""trait_type"":""Sector"",""value"":""Garasi""},{""trait_type"":""Biome"",""value"":""Desert""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeigdf7zk2s25ok2rbrfvdwmw5gvxr55eymtwottlic2efvo25dgpqi.ipfs.dweb.link/1776.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/4H-kLnMLZwLnVep7v6YEAv9h7yOmD41GpmU_q8pJFpc?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Tetra | Planetary #316","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/3975.json","[1,0,0]",true,"4STE5Co748kbC7cqfNmn7fAy652mNFjRu9riDTWGJXof",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/4STE5Co748kbC7cqfNmn7fAy652mNFjRu9riDTWGJXof","Tetra | Planetary #316","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeidr2pwmnkgwj5xynylqcbn3tgml427tp7jlrh4smlef3laoxnyopi.ipfs.dweb.link/3975.png?ext=png","https://www.arweave.net/SkMQHTxl3u--vHKirPFb_GV-DNEiiWuFwPTjM9zknGU?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Planetary""},{""trait_type"":""Sector"",""value"":""Tetra""},{""trait_type"":""Biome"",""value"":""Underwater""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeidr2pwmnkgwj5xynylqcbn3tgml427tp7jlrh4smlef3laoxnyopi.ipfs.dweb.link/3975.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/SkMQHTxl3u--vHKirPFb_GV-DNEiiWuFwPTjM9zknGU?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Vesta | Planetary #109","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/3036.json","[1,0,0]",true,"AENaqXB99R899YS6khC5tFP8e8PMZfw8nYGEnwRSiy2S",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/AENaqXB99R899YS6khC5tFP8e8PMZfw8nYGEnwRSiy2S","Vesta | Planetary #109","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeigrk3rgphj74xjhlv45wxkmybkgvkl7dkqouzh4vwtkrxhuhzfzka.ipfs.dweb.link/3036.png?ext=png","https://www.arweave.net/6YFo0wU_ZISnhUZ1Qz5cZH2o2ywpyAL79frkF-ce7NY?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Planetary""},{""trait_type"":""Sector"",""value"":""Vesta""},{""trait_type"":""Biome"",""value"":""80s""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeigrk3rgphj74xjhlv45wxkmybkgvkl7dkqouzh4vwtkrxhuhzfzka.ipfs.dweb.link/3036.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/6YFo0wU_ZISnhUZ1Qz5cZH2o2ywpyAL79frkF-ce7NY?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Dimetra | Planetary #053","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/4078.json","[1,0,0]",true,"C1gKShTs5EhYRMis4PF1cLZY5w3hYEXE2RhWgJKMqfzY",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/C1gKShTs5EhYRMis4PF1cLZY5w3hYEXE2RhWgJKMqfzY","Dimetra | Planetary #053","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeidd3locop3ioufhfjt3hcy4fa5srs3lw6cfyia6nezco4jo4rzowu.ipfs.dweb.link/4078.png?ext=png","https://www.arweave.net/WnQVKRDzVuAs-sskbv0sjrXf7pZrWJhQPKGcA7Xvr44?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Planetary""},{""trait_type"":""Sector"",""value"":""Dimetra""},{""trait_type"":""Biome"",""value"":""Steampunk""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeidd3locop3ioufhfjt3hcy4fa5srs3lw6cfyia6nezco4jo4rzowu.ipfs.dweb.link/4078.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/WnQVKRDzVuAs-sskbv0sjrXf7pZrWJhQPKGcA7Xvr44?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Tetra | Stellar #024","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/5513.json","[1,0,0]",true,"fuogN6kWC4femEmTpgt8FpcUG7y9oqxm7CqZpAjNUJZ",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/fuogN6kWC4femEmTpgt8FpcUG7y9oqxm7CqZpAjNUJZ","Tetra | Stellar #024","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeictbnjcgb5qb3xlyjkjmaw3c4qugdlz74jxgj6epicsiwdtbe2a6q.ipfs.dweb.link/5513.png?ext=png","https://www.arweave.net/V3RTVtVGxVv3m9-NDjb-NsXNXs8uxqrxwoepXyc963Q?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Stellar""},{""trait_type"":""Sector"",""value"":""Tetra""},{""trait_type"":""Biome"",""value"":""Underwater""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeictbnjcgb5qb3xlyjkjmaw3c4qugdlz74jxgj6epicsiwdtbe2a6q.ipfs.dweb.link/5513.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/V3RTVtVGxVv3m9-NDjb-NsXNXs8uxqrxwoepXyc963Q?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
"[""CGzNTKWrujUodyuENaa2AGbgL8A3uxQMLdaF44wDnLpB"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe""]","Aeliasium | Planetary #209","[0,6,94]","HOLOTABS","https://bafybeibaweq24spoct2wcbybk5jz76hkueoxd6gjtek2gdc46ykiqlnvou.ipfs.dweb.link/3502.json","[1,0,0]",true,"B7GxmUvrvxBbFrrxe8saserwTNAF9yLFjRrCJh9xemvn",true,"hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe","https://explorer.solana.com/address/B7GxmUvrvxBbFrrxe8saserwTNAF9yLFjRrCJh9xemvn","Aeliasium | Planetary #209","HOLOTABS","Welcome home. Enjoy your stay in the Aiternate spaceship.",555,"https://bafybeibrfnr74annxvoupsnjkizuofxjxglcjxz4rk7l6odgjic5abbhna.ipfs.dweb.link/3502.png?ext=png","https://www.arweave.net/rPjfevnJDM1TEzITndARNx3SXB9CupASPSCKKCGvmTE?ext=mp4","https://aiternate.com/","[{""trait_type"":""Name"",""value"":""Planetary""},{""trait_type"":""Sector"",""value"":""Aeliasium""},{""trait_type"":""Biome"",""value"":""Ice""},{""trait_type"":""Identity"",""value"":""Aiternate""}]","Aiternate Holotabs","Aiternate Holotabs","[{""uri"":""https://bafybeibrfnr74annxvoupsnjkizuofxjxglcjxz4rk7l6odgjic5abbhna.ipfs.dweb.link/3502.png?ext=png"",""type"":""image/png""},{""uri"":""https://www.arweave.net/rPjfevnJDM1TEzITndARNx3SXB9CupASPSCKKCGvmTE?ext=mp4"",""type"":""video/mp4""}]","video","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":6},{""address"":""hoLoskCzWrPY49TKoCNS3H3LXurtYGncXgnKDbc4EHe"",""share"":94}]"
