"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.external_url","metaResult.attributes","metaResult.properties.creators"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#6777","[100]","SolPunks","https://arweave.net/7M91G_gGFXtMqrfc8W4DjhsMqaieLwIIJzg_coWZyJM","[1]",true,"AXVAvCZAEGdNzJQd4S6jPaTQuDnJBVCUbnUE8geR2Lc1",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/AXVAvCZAEGdNzJQd4S6jPaTQuDnJBVCUbnUE8geR2Lc1","SolPunk #6777","","SolPunk #6777 - Female",500,"https://arweave.net/DEADlnmmNNZGUdQ5i84SofhRXvr7XStIVzmIMzq3dlE","https://solpunks.com","[{""trait_type"":""Rank"",""value"":8258},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Clown Eyes Green""},{""trait_type"":""Attribute 2"",""value"":""Wild Hair""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#2799","[100]","SolPunks","https://arweave.net/NT58MX1DoFAZKbz7j46T0lNj7h8iRz-zmQ35ZJWxL7U","[1]",true,"AQEsuact7FPom2oQ4sHsBj8YFYPjtMbe64FHWdbhMC7j",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/AQEsuact7FPom2oQ4sHsBj8YFYPjtMbe64FHWdbhMC7j","SolPunk #2799","","SolPunk #2799 - Female",500,"https://arweave.net/hRxw4sh9Vg22HZYsDiV32HY-3oyg-LZluW2BF-x7xHc","https://solpunks.com","[{""trait_type"":""Rank"",""value"":9429},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Wild Hair""},{""trait_type"":""Attribute 2"",""value"":""Horned Rim Glasses""},{""trait_type"":""Attribute 3"",""value"":""Earring""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#5970","[100]","SolPunks","https://arweave.net/W3Qu_V3GfRmCYSePphQqVhWeePMMCx965hAC9htQYOs","[1]",true,"BaUMyZ1F8sHr9ySRSr5V4Zbo2C3EYS9KpAmi2XDX7wA",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/BaUMyZ1F8sHr9ySRSr5V4Zbo2C3EYS9KpAmi2XDX7wA","SolPunk #5970","","SolPunk #5970 - Male",500,"https://arweave.net/gFLuzp2lg90cG47bHGxBDY-5fInW6p7ROSjV-eoXlys","https://solpunks.com","[{""trait_type"":""Rank"",""value"":1431},{""trait_type"":""Skin"",""value"":""Light""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Cowboy Hat""},{""trait_type"":""Attribute 2"",""value"":""Handlebars""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#1487","[100]","SolPunks","https://arweave.net/9N-RYAUYWJsFp7jZ6C0ieuKmvvFReseVFEzPjuII77E","[1]",true,"HuGRUDyTF8H3VLv2zzKyLh4D2wQZmnZfdTg6QMEqaAVW",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/HuGRUDyTF8H3VLv2zzKyLh4D2wQZmnZfdTg6QMEqaAVW","SolPunk #1487","","SolPunk #1487 - Female",500,"https://arweave.net/QE2MTWo6oXLAOr7tbj3-PVeed1-FhzPGNfeyYXKJXuA","https://solpunks.com","[{""trait_type"":""Rank"",""value"":9348},{""trait_type"":""Skin"",""value"":""Mid""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Frumpy Hair""},{""trait_type"":""Attribute 2"",""value"":""Black Lipstick""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#5468","[100]","SolPunks","https://arweave.net/CR4dEdXUcXVUmqrJ3omevFRjEl41jkkbDb689F8_1S8","[1]",true,"EEGYGdYkqCBQpf2LLQs1tkF3HY83fmgRhYr71mV7rxTH",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/EEGYGdYkqCBQpf2LLQs1tkF3HY83fmgRhYr71mV7rxTH","SolPunk #5468","","SolPunk #5468 - Female",500,"https://arweave.net/SJtWSo7IkDTlkZqULO1tu2Yh2p7pHZn1BQz79NfnKAE","https://solpunks.com","[{""trait_type"":""Rank"",""value"":8497},{""trait_type"":""Skin"",""value"":""Light""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Clown Eyes Blue""},{""trait_type"":""Attribute 2"",""value"":""Wild Hair""},{""trait_type"":""Attribute 3"",""value"":""Purple Lipstick""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#7276","[100]","SolPunks","https://arweave.net/pHGm-ofRq9-ONJpeo5pbsBh8vPWBEGqHChItNL8qjIc","[1]",true,"DFM4KD2qi1G5gkm8CKtr2y6yu2FX2daEpm18SsEVLAFu",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/DFM4KD2qi1G5gkm8CKtr2y6yu2FX2daEpm18SsEVLAFu","SolPunk #7276","","SolPunk #7276 - Male",500,"https://arweave.net/X4HxumF8bxV1k4soqZagPm6mWAUQcx3JlSOZyDLunfs","https://solpunks.com","[{""trait_type"":""Rank"",""value"":9567},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Messy Hair""},{""trait_type"":""Attribute 2"",""value"":""Mole""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#9033","[100]","SolPunks","https://arweave.net/-4mp96R24VRNqZmK3OzYXOdxn_UnNgt6LOYhBbcFzDE","[1]",true,"CeJwz53FNqwC2omohf2ajckt3WiAJXZ1nBVk7Tc5kwJq",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/CeJwz53FNqwC2omohf2ajckt3WiAJXZ1nBVk7Tc5kwJq","SolPunk #9033","","SolPunk #9033 - Male",500,"https://arweave.net/yKifB2sotd6o3h2UByV6H9QuaGjHSWc53eYaErJJysY","https://solpunks.com","[{""trait_type"":""Rank"",""value"":9559},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Eye Patch""},{""trait_type"":""Attribute 2"",""value"":""Stringy Hair""},{""trait_type"":""Attribute Count"",""value"":2}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#5946","[100]","SolPunks","https://arweave.net/l4jHAgoff0K-AQT7iE7x2TkpD5TXp1cNGhINqsdvvYw","[1]",true,"EFpmDHdvAHt5fburzoQzbXDacHdHphQUngkpZr1whbfD",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/EFpmDHdvAHt5fburzoQzbXDacHdHphQUngkpZr1whbfD","SolPunk #5946","","SolPunk #5946 - Male",500,"https://arweave.net/MMCvbyw1-GmfpJxmQoeWO5bRkTxMgsOzW0sI9B8CQEU","https://solpunks.com","[{""trait_type"":""Rank"",""value"":6277},{""trait_type"":""Skin"",""value"":""Mid""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Luxurious Beard""},{""trait_type"":""Attribute 2"",""value"":""Small Shades""},{""trait_type"":""Attribute 3"",""value"":""Messy Hair""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#4237","[100]","SolPunks","https://arweave.net/vVoGhw95dvMpeeS2dokKrr8wgEsj7g2KIDSRwmHGqeI","[1]",true,"6TQQvY31etyV52wDBcPnz4ShYDVz6S4Pn6Fcgfgk5Bjn",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/6TQQvY31etyV52wDBcPnz4ShYDVz6S4Pn6Fcgfgk5Bjn","SolPunk #4237","","SolPunk #4237 - Female",500,"https://arweave.net/JsA6q68h2_U_vvNiOXeAg-HXv1PZ6b0l-L_eh1Jff7I","https://solpunks.com","[{""trait_type"":""Rank"",""value"":584},{""trait_type"":""Skin"",""value"":""Albino""},{""trait_type"":""Type"",""value"":""Female""},{""trait_type"":""Attribute 1"",""value"":""Pigtails""},{""trait_type"":""Attribute 2"",""value"":""Green Eye Shadow""},{""trait_type"":""Attribute 3"",""value"":""Purple Lipstick""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
"[""F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A""]","SolPunk_#5430","[100]","SolPunks","https://arweave.net/WPbJLB9IBqN3e1DPJLYQCAiWLyT81Sg9PEbxJwXk6Tw","[1]",true,"TL6AAiJvhXjyR3JoUuQDvSSm2xZLyiUWYP6TPVUBrT5",false,"F5FKqzjucNDYymjHLxMR2uBT43QmaqBAMJwjwkvRRw4A","https://explorer.solana.com/address/TL6AAiJvhXjyR3JoUuQDvSSm2xZLyiUWYP6TPVUBrT5","SolPunk #5430","","SolPunk #5430 - Male",500,"https://arweave.net/7hoUAb4N1nptZzhsZKQ7YXiTiEbLYgxFX0mpALJJXqs","https://solpunks.com","[{""trait_type"":""Rank"",""value"":987},{""trait_type"":""Skin"",""value"":""Dark""},{""trait_type"":""Type"",""value"":""Male""},{""trait_type"":""Attribute 1"",""value"":""Spots""},{""trait_type"":""Attribute 2"",""value"":""Luxurious Beard""},{""trait_type"":""Attribute 3"",""value"":""Earring""},{""trait_type"":""Attribute Count"",""value"":3}]","[{""address"":""punknPuatYGcB6EM4Mt7q1qxz1PKhNiTmd1We1Srt9d"",""verified"":true,""share"":100}]"
