"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.external_url","metaResult.edition","metaResult.attributes","metaResult.collection.name","metaResult.collection.family","metaResult.properties.files","metaResult.properties.category","metaResult.properties.creators"
"[""BEXLhAqLAWnsgsJMyv9gNdBafSpnqDK4HCpwPANMzXf2"",""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN""]","Fishy Folk #919","[0,100]","FF","https://arweave.net/p5Ok4YUc53237Kkww7kx5QI4gyYAWP6PDQcLGuUhCAE","[1,0]",true,"4jhEktF7JA3ZmMoerEedRkzgbDve727AR5ZtDo3cdAAJ",true,"2FMFXUHdnbBrHz3eYNrSMRZoNevXDrDPp7UvGZKKvzRT","https://explorer.solana.com/address/4jhEktF7JA3ZmMoerEedRkzgbDve727AR5ZtDo3cdAAJ","Fishy Folk #919","FF","Shipsgrave sub-collection",1000,"https://www.arweave.net/yEhImgBiPOXOJ8krR-w-KeD11dhNIqoZkzF3Mwk5MfQ?ext=png","https://twitter.com/nashotobiNFT",919,"[{""trait_type"":""Type"",""value"":""Lunatic""},{""trait_type"":""Gender"",""value"":""Man""},{""trait_type"":""Clothing"",""value"":""Ruffle Shirt""},{""trait_type"":""Mouth"",""value"":""Fish Lips""},{""trait_type"":""Eyes"",""value"":""Frog Eyes""},{""trait_type"":""Nose"",""value"":""Clown Nose""},{""trait_type"":""Head"",""value"":""Wispy Hair""},{""trait_type"":""Ears"",""value"":""Nibbled""},{""trait_type"":""Equipment"",""value"":""Caramelized Fish Head""}]","Fishy Folk","Fishy Folk","[{""uri"":""https://www.arweave.net/yEhImgBiPOXOJ8krR-w-KeD11dhNIqoZkzF3Mwk5MfQ?ext=png"",""type"":""image/png""}]","image","[{""address"":""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN"",""share"":100}]"
"[""BEXLhAqLAWnsgsJMyv9gNdBafSpnqDK4HCpwPANMzXf2"",""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN""]","Fishy Folk #1383","[0,100]","FF","https://arweave.net/QxM7MQ5X8w-qJqBobRaSkpDJ6nMeXXxQuZMY41jmu6c","[1,0]",true,"2htuS98z4yzfpF99JnAkFEKHpAwd9RyK81ifCoDkNSch",true,"2FMFXUHdnbBrHz3eYNrSMRZoNevXDrDPp7UvGZKKvzRT","https://explorer.solana.com/address/2htuS98z4yzfpF99JnAkFEKHpAwd9RyK81ifCoDkNSch","Fishy Folk #1383","FF","Shipsgrave sub-collection",1000,"https://www.arweave.net/JcRl-q3mUwZ1vxgURuGHxwdZOQ3HKS3ddsPevTdM7L8?ext=png","https://twitter.com/nashotobiNFT",1383,"[{""trait_type"":""Type"",""value"":""Roughnecks""},{""trait_type"":""Clothing"",""value"":""Coat""},{""trait_type"":""Gender"",""value"":""Female""},{""trait_type"":""Mouth"",""value"":""Jaws""},{""trait_type"":""Eyes"",""value"":""Eye Patch""},{""trait_type"":""Nose"",""value"":""Breathing holes""},{""trait_type"":""Head"",""value"":""Fisherman Hat""},{""trait_type"":""Ears"",""value"":""Holes""},{""trait_type"":""Equipment"",""value"":""Deep sea Monstrosity""}]","Fishy Folk","Fishy Folk","[{""uri"":""https://www.arweave.net/JcRl-q3mUwZ1vxgURuGHxwdZOQ3HKS3ddsPevTdM7L8?ext=png"",""type"":""image/png""}]","image","[{""address"":""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN"",""share"":100}]"
"[""BEXLhAqLAWnsgsJMyv9gNdBafSpnqDK4HCpwPANMzXf2"",""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN""]","Fishy Folk #1248","[0,100]","FF","https://arweave.net/g5pPG_iaT2SH2ZA9NXP-LbtC3k7qgJyrrkX9qRM2WNM","[1,0]",true,"GZ3jAJ6rSqDEJoCUTjPf75MofTQMM22Ey2cB335dSCMn",true,"2FMFXUHdnbBrHz3eYNrSMRZoNevXDrDPp7UvGZKKvzRT","https://explorer.solana.com/address/GZ3jAJ6rSqDEJoCUTjPf75MofTQMM22Ey2cB335dSCMn","Fishy Folk #1248","FF","Shipsgrave sub-collection",1000,"https://www.arweave.net/CwcU5j5k1iXh_wpMJ_lpM_R323InAPbT2UiY7OQqH5c?ext=png","https://twitter.com/nashotobiNFT",1248,"[{""trait_type"":""Type"",""value"":""Townsfolk""},{""trait_type"":""Clothing"",""value"":""Fancy Gown""},{""trait_type"":""Gender"",""value"":""Female""},{""trait_type"":""Mouth"",""value"":""Fish Lips""},{""trait_type"":""Eyes"",""value"":""Many""},{""trait_type"":""Nose"",""value"":""Big""},{""trait_type"":""Head"",""value"":""Curls""},{""trait_type"":""Ears"",""value"":""Tubes""},{""trait_type"":""Equipment"",""value"":""Talisman""}]","Fishy Folk","Fishy Folk","[{""uri"":""https://www.arweave.net/CwcU5j5k1iXh_wpMJ_lpM_R323InAPbT2UiY7OQqH5c?ext=png"",""type"":""image/png""}]","image","[{""address"":""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN"",""share"":100}]"
"[""BEXLhAqLAWnsgsJMyv9gNdBafSpnqDK4HCpwPANMzXf2"",""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN""]","Fishy Folk #2031","[0,100]","FF","https://arweave.net/jT9GePXQu8T4_J-RRxWrMgiobMrt9fINFtnmLplicqQ","[1,0]",true,"9mSxD7bcBoZ5sTyVG8YVVAuqFHfNvCGCJH7SseE9AbHV",true,"2FMFXUHdnbBrHz3eYNrSMRZoNevXDrDPp7UvGZKKvzRT","https://explorer.solana.com/address/9mSxD7bcBoZ5sTyVG8YVVAuqFHfNvCGCJH7SseE9AbHV","Fishy Folk #2031","FF","Shipsgrave sub-collection",1000,"https://www.arweave.net/vsMAGuKNhY4WuleaDVFsww21py7cyeUFVpLz6bk3kyc?ext=png","https://twitter.com/nashotobiNFT",2031,"[{""trait_type"":""Type"",""value"":""Little Angels""},{""trait_type"":""Clothing"",""value"":""Ruffle Shirt""},{""trait_type"":""Gender"",""value"":""Man""},{""trait_type"":""Mouth"",""value"":""Fish Lips""},{""trait_type"":""Eyes"",""value"":""Vertical""},{""trait_type"":""Nose"",""value"":""Big""},{""trait_type"":""Head"",""value"":""Bow Cut""},{""trait_type"":""Ears"",""value"":""Fins""},{""trait_type"":""Equipment"",""value"":""Freaky Fingers""}]","Fishy Folk","Fishy Folk","[{""uri"":""https://www.arweave.net/vsMAGuKNhY4WuleaDVFsww21py7cyeUFVpLz6bk3kyc?ext=png"",""type"":""image/png""}]","image","[{""address"":""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN"",""share"":100}]"
"[""BEXLhAqLAWnsgsJMyv9gNdBafSpnqDK4HCpwPANMzXf2"",""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN""]","Fishy Folk #2322","[0,100]","FF","https://arweave.net/-xomtfcKniToq1nVg-Yg16B6BFWalsanSWxmh-5KIUI","[1,0]",true,"6g95oRyjx3fyFjLGgM1B6zghqbjaNV1DuoqJLue4KAHc",true,"2FMFXUHdnbBrHz3eYNrSMRZoNevXDrDPp7UvGZKKvzRT","https://explorer.solana.com/address/6g95oRyjx3fyFjLGgM1B6zghqbjaNV1DuoqJLue4KAHc","Fishy Folk #2322","FF","Shipsgrave sub-collection",1000,"https://www.arweave.net/deeCv0_rEa20ftpoAsHrRb_U_u4uKcyGeV1l8rvl_dU?ext=png","https://twitter.com/nashotobiNFT",2322,"[{""trait_type"":""Type"",""value"":""Little Angels""},{""trait_type"":""Clothing"",""value"":""Farm Dress""},{""trait_type"":""Gender"",""value"":""Female""},{""trait_type"":""Mouth"",""value"":""Rotten Teeth""},{""trait_type"":""Eyes"",""value"":""Vertical""},{""trait_type"":""Nose"",""value"":""Sharp""},{""trait_type"":""Head"",""value"":""Hair Scarf""},{""trait_type"":""Ears"",""value"":""Holes""},{""trait_type"":""Equipment"",""value"":""Worm""}]","Fishy Folk","Fishy Folk","[{""uri"":""https://www.arweave.net/deeCv0_rEa20ftpoAsHrRb_U_u4uKcyGeV1l8rvl_dU?ext=png"",""type"":""image/png""}]","image","[{""address"":""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN"",""share"":100}]"
"[""BEXLhAqLAWnsgsJMyv9gNdBafSpnqDK4HCpwPANMzXf2"",""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN""]","Fishy Folk #1176","[0,100]","FF","https://arweave.net/FrwxwPAuc_NpfRJDimyHi-hkK946wBo9D6ga0KTP5dc","[1,0]",true,"CCC49gk479Udx6Bvot4e23JMM3KB4LEiwSBrqbMCBKNc",true,"2FMFXUHdnbBrHz3eYNrSMRZoNevXDrDPp7UvGZKKvzRT","https://explorer.solana.com/address/CCC49gk479Udx6Bvot4e23JMM3KB4LEiwSBrqbMCBKNc","Fishy Folk #1176","FF","Shipsgrave sub-collection",1000,"https://www.arweave.net/mvGWYpZ6LhbJVcFFdbVewQjE7cf2WdzbmQTFvc5DvvQ?ext=png","https://twitter.com/nashotobiNFT",1176,"[{""trait_type"":""Type"",""value"":""Townsfolk""},{""trait_type"":""Clothing"",""value"":""Fancy Gown""},{""trait_type"":""Gender"",""value"":""Female""},{""trait_type"":""Mouth"",""value"":""Side Scowl""},{""trait_type"":""Eyes"",""value"":""Blind""},{""trait_type"":""Nose"",""value"":""Regular""},{""trait_type"":""Head"",""value"":""Bunny Ears Ribbon""},{""trait_type"":""Ears"",""value"":""Regular""},{""trait_type"":""Equipment"",""value"":""Talisman""}]","Fishy Folk","Fishy Folk","[{""uri"":""https://www.arweave.net/mvGWYpZ6LhbJVcFFdbVewQjE7cf2WdzbmQTFvc5DvvQ?ext=png"",""type"":""image/png""}]","image","[{""address"":""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN"",""share"":100}]"
"[""BEXLhAqLAWnsgsJMyv9gNdBafSpnqDK4HCpwPANMzXf2"",""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN""]","Fishy Folk #1814","[0,100]","FF","https://arweave.net/A5qeQEYiriWvp2St3dPRi0Rwpe42aEMoZWAUQmyhbg0","[1,0]",true,"8BJwSaegh5PRyM392yep5ijvxH52sWFFMz6n6qFNGx8w",true,"2FMFXUHdnbBrHz3eYNrSMRZoNevXDrDPp7UvGZKKvzRT","https://explorer.solana.com/address/8BJwSaegh5PRyM392yep5ijvxH52sWFFMz6n6qFNGx8w","Fishy Folk #1814","FF","Shipsgrave sub-collection",1000,"https://www.arweave.net/UA1Y7DIgQegQk1sMooHeLrWuRY6wcfcoU4_-DZdueo8?ext=png","https://twitter.com/nashotobiNFT",1814,"[{""trait_type"":""Type"",""value"":""Lunatic""},{""trait_type"":""Clothing"",""value"":""Fur Coat""},{""trait_type"":""Gender"",""value"":""Female""},{""trait_type"":""Mouth"",""value"":""Grin""},{""trait_type"":""Eyes"",""value"":""Dark Glasses""},{""trait_type"":""Nose"",""value"":""Noseless""},{""trait_type"":""Head"",""value"":""Bowler Hat""},{""trait_type"":""Ears"",""value"":""Regular""},{""trait_type"":""Equipment"",""value"":""Knife""}]","Fishy Folk","Fishy Folk","[{""uri"":""https://www.arweave.net/UA1Y7DIgQegQk1sMooHeLrWuRY6wcfcoU4_-DZdueo8?ext=png"",""type"":""image/png""}]","image","[{""address"":""HcznhsxMNkELXujwKHf4Fn4wveiLj6nspkfW5XmnV3EN"",""share"":100}]"
"[""6wuCuZsnSM76vaXJvyPDFngGNfgpZsCsmZ2rBrPsbTFv"",""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""ApQQ97PiWHqKYWi2T7GoGuda8gyfUq7vWDmqXeSHgffw""]","Galactic Fight League #1212","[0,10,90]","GFL","https://bafybeiaqplpw3i4tr6uv7qq72xfhmrv24ercn5rplhbw3vaxhulqzhbkcq.ipfs.dweb.link/1212.json","[1,0,0]",true,"2E86echSZYCtnurrjtgDuJrVpdkYJuapmRcC7j4933W4",true,"6Zzps3z591T7mKNGtD8DPTg4F5RWDVEFcdsZwpkNBNzF","https://explorer.solana.com/address/2E86echSZYCtnurrjtgDuJrVpdkYJuapmRcC7j4933W4","Galactic Fight League #1212","GFL","9,999 Genesis Fighters from across the galaxy. Humans, Cyborgs, Aliens and Zombies battle to become the best fighter in the metaverse",500,"https://bafybeih4uhwdfejsiaktnlokfyesqmqr2cm2xl66l5cjgg6j7fcw6euiai.ipfs.dweb.link/1212.png?ext=png","https://galacticfightleague.com/",1212,"[{""trait_type"":""Background"",""value"":""Tigers Eye""},{""trait_type"":""Gender"",""value"":""Male""},{""trait_type"":""Civilisation"",""value"":""The Bone Collectors""},{""trait_type"":""Genotype"",""value"":""Zombie""},{""trait_type"":""Expression"",""value"":""Relaxed""},{""trait_type"":""Health"",""value"":""Diseased""},{""trait_type"":""Fight Style"",""value"":""Boxer""},{""trait_type"":""Outfit"",""value"":""Platinum Galactic Armour""},{""trait_type"":""Earrings"",""value"":""Mutated Eye Earring""},{""trait_type"":""Face"",""value"":""None""},{""trait_type"":""Eyewear"",""value"":""Crimson Eye Mask""},{""trait_type"":""Headwear"",""value"":""Tin Foil Hat""},{""trait_type"":""Wrist"",""value"":""Wraps""}]","GFL Genesis Fighter","Galactic Fight League","[{""uri"":""https://bafybeih4uhwdfejsiaktnlokfyesqmqr2cm2xl66l5cjgg6j7fcw6euiai.ipfs.dweb.link/1212.png?ext=png"",""type"":""image/png""}]","image","[{""address"":""RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA"",""share"":10},{""address"":""ApQQ97PiWHqKYWi2T7GoGuda8gyfUq7vWDmqXeSHgffw"",""share"":90}]"
"[""ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk"",""Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h""]","SOLGods 2597","[0,100]","SOLGods","https://arweave.net/f2al1i4ubor1GKErQSBty93azMgpP79P1N1kcwZhyZ4","[1,0]",true,"5yPAo5MjWD5Gw8n8uJEUSmtjkb8hQKW5yudEG26ZL4fp",true,"41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM","https://explorer.solana.com/address/5yPAo5MjWD5Gw8n8uJEUSmtjkb8hQKW5yudEG26ZL4fp","SOLGods 2597","SOLGods",,500,"https://www.arweave.net/l8Y1pz2EEVIA7YUoPNMkdCcnRPbnBlXekdqcVzHjy28?ext=png",,,"[{""trait_type"":""Background"",""value"":""Heaven""},{""trait_type"":""Code"",""value"":""None""},{""trait_type"":""Back"",""value"":""None""},{""trait_type"":""Character"",""value"":""Grey""},{""trait_type"":""Torso"",""value"":""Hawaiian""},{""trait_type"":""Eyes"",""value"":""Voodoo""},{""trait_type"":""Face"",""value"":""Skull""},{""trait_type"":""Head"",""value"":""Pins""}]","SOLGods","SOLGods","[{""uri"":""https://www.arweave.net/l8Y1pz2EEVIA7YUoPNMkdCcnRPbnBlXekdqcVzHjy28?ext=png"",""type"":""image/png""}]",,"[{""address"":""Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h"",""share"":92},{""address"":""5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J"",""share"":8}]"
"[""ALNcW6QDNf7H4iNiTM3FD16LZ4zMGyEeCYQiE1AbCoXk"",""Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h""]","SOLGods 3271","[0,100]","SOLGods","https://arweave.net/wvoMHjhA-k_7E2A4uNJSmAF7dnkycWNBGWeXFJvkvb8","[1,0]",true,"BEAbLZiJDTESBPGrnBLtFuQ1t3wUo1xHLPxEhk1eyy6n",true,"41PLzJby9zqiXjXnY5psHt6zf2X5uaDPiZ5wwRAPKAZM","https://explorer.solana.com/address/BEAbLZiJDTESBPGrnBLtFuQ1t3wUo1xHLPxEhk1eyy6n","SOLGods 3271","SOLGods",,500,"https://www.arweave.net/CmgEduw3ynBsiJs1ViAtycR76ie-RCTOFU9Fl9H9A0U?ext=png",,,"[{""trait_type"":""Background"",""value"":""Blue""},{""trait_type"":""Code"",""value"":""None""},{""trait_type"":""Back"",""value"":""None""},{""trait_type"":""Character"",""value"":""Grey""},{""trait_type"":""Torso"",""value"":""Hawaiian""},{""trait_type"":""Eyes"",""value"":""Buttons""},{""trait_type"":""Face"",""value"":""Puzzle""},{""trait_type"":""Head"",""value"":""None""}]","SOLGods","SOLGods","[{""uri"":""https://www.arweave.net/CmgEduw3ynBsiJs1ViAtycR76ie-RCTOFU9Fl9H9A0U?ext=png"",""type"":""image/png""}]",,"[{""address"":""Em4DcHQwUxhHfEWhz8aZABXU6nUADTGFBPKHoBhKZr9h"",""share"":92},{""address"":""5yqPJhLcoqDcVLTQjWq5MBGh18R6jv7pVwtacLW32b6J"",""share"":8}]"
