"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.animation_url","metaResult.external_url","metaResult.attributes","metaResult.collection.name","metaResult.collection.family","metaResult.properties.files","metaResult.properties.category","metaResult.properties.creators"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Doom Chalice","[20,20,20,20,20]","LWS","https://arweave.net/l95HfgDDq65dVo6RnxL4r9pZZc0PdOsOn5oCCouMND0","[1,0,0,0,0]",false,"9VKJTV2AviCkhpwRKsqEfdE5FCRAVZMMoLvtypPCvSD8",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/9VKJTV2AviCkhpwRKsqEfdE5FCRAVZMMoLvtypPCvSD8","Doom Chalice","LWS","A corrupted vessel, seething with defiled energy.
The Doom Chalice is the chief ritual ingredient required for the Abyssal Sacrament.",500,"https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/main.png","https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Unique""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Doom Chalice","[20,20,20,20,20]","LWS","https://arweave.net/l95HfgDDq65dVo6RnxL4r9pZZc0PdOsOn5oCCouMND0","[1,0,0,0,0]",false,"J3o2xCCML4inU2uHWbWJxPuQGN7ZQsM8GfWapMCEwPS5",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/J3o2xCCML4inU2uHWbWJxPuQGN7ZQsM8GfWapMCEwPS5","Doom Chalice","LWS","A corrupted vessel, seething with defiled energy.
The Doom Chalice is the chief ritual ingredient required for the Abyssal Sacrament.",500,"https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/main.png","https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Unique""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""AgiemmdGCo87SX1eCkxRyoe8YhLzqNeUtBdAoE68dAAN"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Infernal Shard","[20,20,20,20,20]","LWS","https://arweave.net/-TNmzLlqOpnA1P9nTJ5kGXfPPDFr4tNEjsBa_FBNeQU","[1,0,0,0,0]",false,"DAcVChKaMSRLAnXvJi7LvaMBf34DoWNtFdMwYZySowq2",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/DAcVChKaMSRLAnXvJi7LvaMBf34DoWNtFdMwYZySowq2","Infernal Shard","LWS","A basalt stone, forged from Nazuul's raging cauldron, oozing fiery magma.
It blazes with the fiery glow of volcanic eminence, with origins only known to those imbued with infernal power.",500,"https://arweave.net/eRtbZUHzQzPEvfFPAibLFIokATyblGqVkVL6cjOjehc/main.png","https://arweave.net/eRtbZUHzQzPEvfFPAibLFIokATyblGqVkVL6cjOjehc/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Mythic""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/eRtbZUHzQzPEvfFPAibLFIokATyblGqVkVL6cjOjehc/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/eRtbZUHzQzPEvfFPAibLFIokATyblGqVkVL6cjOjehc/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/eRtbZUHzQzPEvfFPAibLFIokATyblGqVkVL6cjOjehc/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/eRtbZUHzQzPEvfFPAibLFIokATyblGqVkVL6cjOjehc/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""AgiemmdGCo87SX1eCkxRyoe8YhLzqNeUtBdAoE68dAAN"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Galactite shard","[20,20,20,20,20]","LWS","https://arweave.net/vPcZJ7nfNi88UJwTRq8brT7_fFMD7rrJNWNyxVKeSO8","[1,0,0,0,0]",false,"9dmGb4W2E3BwRM2xSD3raS6opWmXkkgFdUna6wcZecuR",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/9dmGb4W2E3BwRM2xSD3raS6opWmXkkgFdUna6wcZecuR","Galactite shard","LWS","A fractured piece of a rare, primordial resource; Galactite is most notably found as a power source in Ancient Runic Technology.
While a small amount, it remains precious nonetheless.",500,"https://arweave.net/1XTRXOK7ytymPOGrmZuq47T-nqu-0NVw73EXdaYgvpg/main.png","https://arweave.net/1XTRXOK7ytymPOGrmZuq47T-nqu-0NVw73EXdaYgvpg/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Uncommon""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/1XTRXOK7ytymPOGrmZuq47T-nqu-0NVw73EXdaYgvpg/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/1XTRXOK7ytymPOGrmZuq47T-nqu-0NVw73EXdaYgvpg/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/1XTRXOK7ytymPOGrmZuq47T-nqu-0NVw73EXdaYgvpg/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/1XTRXOK7ytymPOGrmZuq47T-nqu-0NVw73EXdaYgvpg/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Doom Chalice","[20,20,20,20,20]","LWS","https://arweave.net/l95HfgDDq65dVo6RnxL4r9pZZc0PdOsOn5oCCouMND0","[1,0,0,0,0]",false,"6jxrQSTo5g934gogbYM8ERRKVVe9ntjVPRr6Co3uJGxC",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/6jxrQSTo5g934gogbYM8ERRKVVe9ntjVPRr6Co3uJGxC","Doom Chalice","LWS","A corrupted vessel, seething with defiled energy.
The Doom Chalice is the chief ritual ingredient required for the Abyssal Sacrament.",500,"https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/main.png","https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Unique""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Galactite shard","[20,20,20,20,20]","LWS","https://arweave.net/VwAFyUwgNXcJrahiIq5jJES54QwFmf24UHwC6oZ7gnE","[1,0,0,0,0]",false,"4RDVYLC4sxhph2pSzkkC1Up8hz4kb6Sm7W2goXtxcXPw",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/4RDVYLC4sxhph2pSzkkC1Up8hz4kb6Sm7W2goXtxcXPw","Galactite shard","LWS","A fractured piece of a rare, primordial resource; Galactite is most notably found as a power source in Ancient Runic Technology.
While a small amount, it remains precious nonetheless.",500,"https://arweave.net/bfdMK5YIS8wp-FwIW2fOTBSaE3Fz01VyYHARJxqJTPk/main.png","https://arweave.net/bfdMK5YIS8wp-FwIW2fOTBSaE3Fz01VyYHARJxqJTPk/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Uncommon""},{""trait_type"":""Material"",""value"":""Holographic""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/bfdMK5YIS8wp-FwIW2fOTBSaE3Fz01VyYHARJxqJTPk/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/bfdMK5YIS8wp-FwIW2fOTBSaE3Fz01VyYHARJxqJTPk/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/bfdMK5YIS8wp-FwIW2fOTBSaE3Fz01VyYHARJxqJTPk/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/bfdMK5YIS8wp-FwIW2fOTBSaE3Fz01VyYHARJxqJTPk/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Doom Chalice","[20,20,20,20,20]","LWS","https://arweave.net/l95HfgDDq65dVo6RnxL4r9pZZc0PdOsOn5oCCouMND0","[1,0,0,0,0]",false,"CTX7i1jZuHx7fc9XVSMVdPp1FEUSEcC1tCDoVmRid8Gi",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/CTX7i1jZuHx7fc9XVSMVdPp1FEUSEcC1tCDoVmRid8Gi","Doom Chalice","LWS","A corrupted vessel, seething with defiled energy.
The Doom Chalice is the chief ritual ingredient required for the Abyssal Sacrament.",500,"https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/main.png","https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Unique""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/2ieMp9Znz4GWR2LTdlFWtk2u-ILef5cah6upjY1cID4/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F""]","Lacunar Leech","[20,20,20,20,20]","LWS","https://arweave.net/Wa_3suL7I18jP00cVhjy4EPB7hFJMmJmph-6_lBm6Ho","[1,0,0,0,0]",false,"2HoA4HPxGPQvEbAvJSzFD4ckdy7uaj1fbWz15hFUcWsc",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/2HoA4HPxGPQvEbAvJSzFD4ckdy7uaj1fbWz15hFUcWsc","Lacunar Leech","LWS","A parasitic worm that feeds on Voidmatter and anything else unlucky enough to stand between it and a meal.
Lacunar Leeches are the only known organism to produce Saalt; a rare mineral that can be used to induce a trance-like state.",500,"https://arweave.net/VQ1b6ikSaboEx5QexHwT3vGHHBC-o-agGor96IE8dEY/main.png","https://arweave.net/VQ1b6ikSaboEx5QexHwT3vGHHBC-o-agGor96IE8dEY/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Uncommon""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/VQ1b6ikSaboEx5QexHwT3vGHHBC-o-agGor96IE8dEY/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/VQ1b6ikSaboEx5QexHwT3vGHHBC-o-agGor96IE8dEY/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/VQ1b6ikSaboEx5QexHwT3vGHHBC-o-agGor96IE8dEY/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/VQ1b6ikSaboEx5QexHwT3vGHHBC-o-agGor96IE8dEY/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":20},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":20},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":20},{""address"":""9bPdZJ1LeLua14j21seZeGnS4TRHbPQWTa2D9wd9jZ9F"",""share"":20}]"
"[""DnP3GRVqtR9vjxMZH4PcFuGZ4ZqhbNqoGzJuTrHACK6f"",""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B""]","Grim #160","[0,20,28,26,26]","GRIM","https://arweave.net/_Bbx4TzmyGMEs0MQJg3x83SSeSYvyygLy61Cd07Cfys","[1,0,0,0,0]",true,"GxPNvADKzHDZXmcCS4xuH6N4EqCXBgambmWnEvjm7KMe",true,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/GxPNvADKzHDZXmcCS4xuH6N4EqCXBgambmWnEvjm7KMe","Grim #160","GRIM","The Grim Syndicate is a collection of 10,000 generated Grims that do the dirty work of playing afterlife janitors across all planes of existence; in fetching those stubborn Souls who vacate their living vessels but aren’t ready to move on to the Ethereal Realm. What you call a haunting, these Reaper Agents call “all in a day’s work”.",500,"https://www.arweave.net/nGrasRVf3TJ_Tc4LDjtdEYhnUOQJHGD-kE1MNC4yPWA?ext=png",,"https://grimsyndicate.com","[{""trait_type"":""Background"",""value"":""Purple""},{""trait_type"":""Arsenal Back"",""value"":""Oerberus Halo""},{""trait_type"":""Base"",""value"":""Ancient Open (Golden)""},{""trait_type"":""Outfit"",""value"":""None""},{""trait_type"":""Outerwear"",""value"":""Reverie Beads""},{""trait_type"":""Decoration"",""value"":""Runic Marking 4""},{""trait_type"":""Nose"",""value"":""Default""},{""trait_type"":""Arsenal Front"",""value"":""Congruency Sphere (Golden)""},{""trait_type"":""Eyes"",""value"":""Ancient Default""},{""trait_type"":""Headwear"",""value"":""Circlet""},{""trait_type"":""ID"",""value"":160},{""trait_type"":""Rank"",""value"":66}]","Grim Syndicate","Grim Syndicate","[{""uri"":""https://www.arweave.net/nGrasRVf3TJ_Tc4LDjtdEYhnUOQJHGD-kE1MNC4yPWA?ext=png"",""type"":""image/png""}]",,"[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""RTp26f9wY2fXxeWRE7FkS9iVrsuxgdUJfDYH8GgoBH9"",""share"":28},{""address"":""AHM1d6gsDvjwdxf3ox9WXpWXgzeESKT2Ho7gNBqAAjF9"",""share"":26},{""address"":""C1MYi7ALTM4tigu8azYgCHVER4gCoV6ZH73i4Cws5B8B"",""share"":26}]"
"[""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""7E8zGR9c7oiEAqAd2mRnseYSoTCZsG4TuFGZQZ4XnH8y""]","Monkey Paw","[20,80]","LWS","https://arweave.net/wpInHkNFjhWwxUOIH5RQdWirePpMw6ZHNx-Sq7vCUkY","[1,0]",false,"pT9s6wxKvyNrYPPPMhMriRK51dUEAuTU6sobytvJahh",false,"Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf","https://explorer.solana.com/address/pT9s6wxKvyNrYPPPMhMriRK51dUEAuTU6sobytvJahh","Monkey Paw","LWS","A withered limb seldom found in the murky tombs of the Knownverse. Adjacent runic texts touch upon an ancient yet oddly familiar species.
Rumored to curse travellers with maddening authority, its appendages slither at the touch of those yearning for more.",500,"https://arweave.net/hHTL3r4GK1EhUBe1B82DQxJBn3h8IArizu1ueAY2UoY/main.png","https://arweave.net/hHTL3r4GK1EhUBe1B82DQxJBn3h8IArizu1ueAY2UoY/index.html","https://grimsyndicate.com","[{""trait_type"":""Rarity"",""value"":""Unique""},{""trait_type"":""Material"",""value"":""Default""}]","Lordrym's Workshop","Grim Syndicate","[{""uri"":""https://arweave.net/hHTL3r4GK1EhUBe1B82DQxJBn3h8IArizu1ueAY2UoY/index.html"",""type"":""text/html""},{""uri"":""https://arweave.net/hHTL3r4GK1EhUBe1B82DQxJBn3h8IArizu1ueAY2UoY/main.png"",""type"":""image/png""},{""uri"":""https://arweave.net/hHTL3r4GK1EhUBe1B82DQxJBn3h8IArizu1ueAY2UoY/front.png"",""type"":""image/png""},{""uri"":""https://arweave.net/hHTL3r4GK1EhUBe1B82DQxJBn3h8IArizu1ueAY2UoY/back.png"",""type"":""image/png""}]","html","[{""address"":""Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf"",""share"":20},{""address"":""7E8zGR9c7oiEAqAd2mRnseYSoTCZsG4TuFGZQZ4XnH8y"",""share"":80}]"
