"data.creators","data.name","data.share","data.symbol","data.uri","data.verified","is_mutable","mint","primary_sale_happened","update_authority","explorer_url","metaResult.name","metaResult.symbol","metaResult.description","metaResult.seller_fee_basis_points","metaResult.image","metaResult.attributes","metaResult.external_url","metaResult.properties.files","metaResult.properties.category","metaResult.properties.creators"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Count Dooku","[100]","NFTPro","https://www.arweave.net/ivkbNBYEN1IeQuDsJUEZjCdrlTRwOTH-Czftx2pB8dk?ext=json","[1]",true,"CNMDSELugN6ZpUTr4mfCAMNT1qd5EvgrxoUKtjHiTthW",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/CNMDSELugN6ZpUTr4mfCAMNT1qd5EvgrxoUKtjHiTthW","Count Dooku","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain .
",900,"https://www.arweave.net/L0DErqd67A2o6oNP1hcINc2lv6CCtW2ijmdpHC1s8AI?ext=PNG","[{""trait_type"":""Type"",""value"":""Fiction""},{""trait_type"":""Movie"",""value"":""Star Wars""},{""trait_type"":""Played By"",""value"":""Christopher Lee""}]","","[{""uri"":""https://www.arweave.net/8t3PBYTjVIVwp35ZTJLtTTOj_1YlAi5oTDxvgak1muk?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Nate Dogg","[100]","NFTPro","https://www.arweave.net/MzgbnG-6HLIzhKrjfhngokjOwKsTJgsYdObs7QTV7M0?ext=json","[1]",true,"8WBJQNDKpGZedLQqWNMvom4pZTecYw9tRijF3ktVVns1",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/8WBJQNDKpGZedLQqWNMvom4pZTecYw9tRijF3ktVVns1","Nate Dogg","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain .
",900,"https://www.arweave.net/MSJOUAbEd7nXa7mbJt1XU67lLf9XHukQLRRTAS8gCP4?ext=PNG","[{""trait_type"":""Type"",""value"":""Non-Fiction""},{""trait_type"":""Career"",""value"":""Singer""},{""trait_type"":""Birthday"",""value"":""19/8/1969""}]","","[{""uri"":""https://www.arweave.net/VsIsvPA2RQk7zpb0O3os9HfQqBbtOUeyWtTcpHMfgXo?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Idris Elba","[100]","NFTPro","https://www.arweave.net/qRkqvicHaRIeMp6vfA6WG_q6aMbZH1Qz_PZjOeyN9w8?ext=json","[1]",true,"H2n6xT6TUAk94KFjqem5RcnaAZDAKQqL9EiSA4FsrpwP",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/H2n6xT6TUAk94KFjqem5RcnaAZDAKQqL9EiSA4FsrpwP","Idris Elba","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain .
",900,"https://www.arweave.net/5R-nAzcPoaE3--_lfnnDnc3hCnlIZQPGql2YlucZTY4?ext=PNG","[{""trait_type"":""Type"",""value"":""Non-Fiction""},{""trait_type"":""Career"",""value"":""Singer""},{""trait_type"":""Birthday"",""value"":""6/9/1972""}]","","[{""uri"":""https://www.arweave.net/f41IpARJyLcsIL-xMQKqJBgaqQer-1C1KGl-8jj6nGc?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Cam Newton","[100]","NFTPro","https://www.arweave.net/KZr1KLt4x_soeIHI-elZMXlEXXgVccPd53yl-huLYOU?ext=json","[1]",true,"Dk2TwCXYbTGEdEFcZ7zwHwcS4TgG47eQJX3Q7SuV2APe",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/Dk2TwCXYbTGEdEFcZ7zwHwcS4TgG47eQJX3Q7SuV2APe","Cam Newton","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain .
",900,"https://www.arweave.net/1m-O5xmB0cXxQ6Q9NTr0poFOJ2oWU-cdH-xTKmXPMqk?ext=PNG","[{""trait_type"":""Type"",""value"":""Non-Fiction""},{""trait_type"":""Career"",""value"":""Rugby Player""},{""trait_type"":""Birthday"",""value"":""11/5/1989""}]","","[{""uri"":""https://www.arweave.net/sVpHccX8vZiioxUR297dnbNV9rSWQZfLxwAmS-ugfHE?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Timothée Chalamet","[100]","NFTPro","https://www.arweave.net/8hxjDrb2pGSFk2OCyxKydhLDdV6-dD-mrC2AJoLtrBk?ext=json","[1]",true,"FxvkvdfNMCbY3oLar5P3iggtCLBcWfaxvRmzuNGoQ7S8",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/FxvkvdfNMCbY3oLar5P3iggtCLBcWfaxvRmzuNGoQ7S8","Timothée Chalamet","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain .
",900,"https://www.arweave.net/UO1Ix9ZXLi5AKl9Ke5gp7DOFCHpfVkCoun7C42X4TbA?ext=PNG","[{""trait_type"":""Type"",""value"":""Non-Fiction""},{""trait_type"":""Career"",""value"":""Actor""},{""trait_type"":""Birthday"",""value"":""27/12/1995""}]","","[{""uri"":""https://www.arweave.net/Tt8wALJOMCdSI1pk6SdKhFTqj7uUXrcXk-XbmFz8AMU?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Tinker Bell","[100]","NFTPro","https://www.arweave.net/j13ubMFKP2bwos1aNotHDsdojyZQiYNUu2GdoKhJLp4?ext=json","[1]",true,"CRRm4oFMUyFrnXkQrsyQHhWTxm1EJwxVsD2AP5MuAhx9",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/CRRm4oFMUyFrnXkQrsyQHhWTxm1EJwxVsD2AP5MuAhx9","Tinker Bell","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain .
",900,"https://www.arweave.net/BNh0shTmZpyF8G-Wyz5x8RALhRablNJ7AfqldCez-zA?ext=PNG","[{""trait_type"":""Type"",""value"":""Fiction""},{""trait_type"":""Movie"",""value"":""Tinker Bell""},{""trait_type"":""Voiced By"",""value"":""Mae Whitman""}]","","[{""uri"":""https://www.arweave.net/9jXxVkMKDQww6I19egZZOm_aP2kOWC2QF47eml8yqV8?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Russell Westbrook","[100]","NFTPro","https://www.arweave.net/LLEqyhgcI9un2-mXC7_pgKCKo7g27KpoO22q5SHZZj4?ext=json","[1]",true,"DRpf37o1utUikmCG5uUNP4L3uUEfZv3MwzxrZzoUNNHB",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/DRpf37o1utUikmCG5uUNP4L3uUEfZv3MwzxrZzoUNNHB","Russell Westbrook","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain .
",900,"https://www.arweave.net/cgXYyg1KFtPSivMwCSLRePlNc5U6HXKvfINyvP7ONi8?ext=PNG","[{""trait_type"":""Type"",""value"":""Non-Fiction""},{""trait_type"":""Career"",""value"":""Basketball Player""},{""trait_type"":""Birthday"",""value"":""12/11/1988""}]","","[{""uri"":""https://www.arweave.net/0yi_C7WlZvCfIPFOwJfe_XfKPp69IGytKIdbccAKNCY?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Junya1gou","[100]","NFTPro","https://www.arweave.net/dnfPXns9vDgQlkbg9rSOiISbS9-tInXJc51rYoQvx3E?ext=json","[1]",true,"CGJU5uEdCtSy8DknDpTVhxqy3BXyehf8p9hxY3rmnKt",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/CGJU5uEdCtSy8DknDpTVhxqy3BXyehf8p9hxY3rmnKt","Junya1gou","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain . 
",800,"https://www.arweave.net/SRIweb95fbbHXCUVzYxUMo4k_0WIANedc7JwTkR0MaY?ext=PNG","[{""trait_type"":""Type"",""value"":""Non-Fiction""},{""trait_type"":""Career"",""value"":""Tiktoker""},{""trait_type"":""Birthday"",""value"":""28/11/1971""}]",,"[{""uri"":""https://www.arweave.net/TvT7Ta36RSGNP6kUIcfieaHBGVn91RRcfi860pZqpbc?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Krusty the Clown","[100]","NFTPro","https://www.arweave.net/RoBRZbuvaqeONL8HoDVe4ycCcbFuxzQJFEeelZmUMes?ext=json","[1]",true,"GC57wYnaJyYBbY4QrhSYqzXG5rCoLmKTxTjgs37UEHan",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/GC57wYnaJyYBbY4QrhSYqzXG5rCoLmKTxTjgs37UEHan","Krusty the Clown","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain .
",900,"https://www.arweave.net/COuX4HNPTP77ru0HapOaICJreaW6IhLz8l8TJIIzUno?ext=PNG","[{""trait_type"":""Type"",""value"":""Fiction""},{""trait_type"":""Movie"",""value"":""The Simpsons""},{""trait_type"":""Voiced By"",""value"":""Dan Castellaneta""}]","","[{""uri"":""https://www.arweave.net/gsgfSGm5NHVysPrHxiob83UlPMGjoCL_ONgPxKE8ZZo?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
"[""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn""]","Harley Quinn","[100]","NFTPro","https://www.arweave.net/cyYI4w58LDQvQPshf3gJWqtdwjAbp3xRdGY1Ha_FYXM?ext=json","[1]",true,"9pRjz7Td5T7MZEccAd5eQUEnLP7GrAt466QZ9sMRD2ty",false,"FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn","https://explorer.solana.com/address/9pRjz7Td5T7MZEccAd5eQUEnLP7GrAt466QZ9sMRD2ty","Harley Quinn","NFTPro","Sol Bit Stars are characters that crafted manually and meticulously with its very own way without utilizing the generating algorithm. These characters evolved all around this Solana Ecosystem. These Stars are considered as a unique collection that actually created from the ideas of the famous people and characters. They are equipped with the traits of the most famous movies, their names, careers, birthday year respectively. This Sol Bit Stars are actually crafted in 3d digital voxel art stored In Solana Blockchain . 
",800,"https://www.arweave.net/FtwjYkhr2i_OEQ8_VF7qZbZJjcve3sHC1ZPBMW7aVlM?ext=PNG","[{""trait_type"":""Type"",""value"":""Fiction""},{""trait_type"":""Movie"",""value"":""The Suicide Squad""},{""trait_type"":""Played By"",""value"":""Margot Robbie""}]",,"[{""uri"":""https://www.arweave.net/TZt_didb68-NAKWFZs103uhBw7PyyjbanrdBG5pPJkc?ext=PNG"",""type"":""image/png""}]","image","[{""address"":""FVpX4sSaAqtwDbj2NuFGCcAa24WxcBZ2pY71JpQ5soMn"",""verified"":true,""share"":100}]"
